,Pos,Players,INNs,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Roto Rank,ER,Status,Name,Elig,Team,Owner
12,SP,Brandon Woodruff SP | MIL,96,17,9,0,7,6,0,0,102,26,77,3.28,1.07,103,34.986666666666665,Bench,Brandon Woodruff,SP,MIL,Midnight
0,SP,Sandy Alcantara SP | MIA,117,17,14,1,7,5,0,0,99,31,93,3.08,1.06,80,40.04,Start,Sandy Alcantara,SP,MIA,Ugly Spuds
1,SP,Shane Baz SP | TB,80,16,6,0,5,4,0,0,72,22,63,3.49,1.06,274,31.022222222222222,Start,Shane Baz,SP,TB,Ugly Spuds
2,SP,Luis Castillo SP | CIN,106,17,11,0,6,6,0,0,97,38,93,3.57,1.24,243,42.04666666666667,Start,Luis Castillo,SP,CIN,Ugly Spuds
3,SP,"MacKenzie Gore RP,SP | SD",82,16,5,0,7,4,0,0,80,32,71,3.51,1.26,266,31.979999999999997,Start,MacKenzie Gore,"RP,SP",SD,Ugly Spuds
4,SP,"Michael Kopech RP,SP | CHW",78,17,6,0,4,3,0,0,81,26,52,2.77,1.00,186,24.006666666666664,Start,Michael Kopech,"RP,SP",CHW,Ugly Spuds
5,RP,Kendall Graveman RP | CHW,17,0,0,0,1,0,6,1,16,6,13,2.12,1.12,595,4.004444444444445,Start,Kendall Graveman,RP,CHW,Ugly Spuds
6,RP,Colin Poche RP | TB,38,0,0,0,1,1,12,2,31,10,21,1.18,0.82,260,4.982222222222221,Start,Colin Poche,RP,TB,Ugly Spuds
7,RP,"Luis Severino RP,SP | NYY",92,17,6,0,5,3,0,0,98,24,79,3.23,1.12,177,33.01777777777777,Start,Luis Severino,"RP,SP",NYY,Ugly Spuds
8,RP,Devin Williams RP | MIL,40,0,0,0,2,1,1,0,62,19,22,2.02,1.02,358,8.977777777777778,Start,Devin Williams,RP,MIL,Ugly Spuds
9,SP,Ian Anderson SP | ATL,94,17,6,0,8,4,0,0,77,36,82,3.64,1.26,255,38.01777777777778,Bench,Ian Anderson,SP,ATL,Ugly Spuds
10,RP,Liam Hendriks RP | CHW,38,0,0,0,1,2,19,3,56,8,27,2.60,0.92,156,10.97777777777778,Bench,Liam Hendriks,RP,CHW,Ugly Spuds
11,RP,"Drew Rasmussen RP,SP | TB",69,14,2,0,5,3,0,0,53,21,58,3.13,1.14,340,23.996666666666663,Bench,Drew Rasmussen,"RP,SP",TB,Ugly Spuds
12,RP,Drew Steckenrider RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9999,0.0,Bench,Drew Steckenrider,RP,SEA,Ugly Spuds
0,SP,Zach Davies SP | ARI,92,17,5,0,4,5,0,0,68,28,90,4.21,1.28,518,43.035555555555554,Start,Zach Davies,SP,ARI,Roiders
