,Pos,Players,INNs,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Roto Rank,ER,Status,Name,Elig,Team,Owner
11,SP,Patrick Corbin SP | WAS,98,17,7,1,7,8,0,0,77,30,102,4.50,1.35,449,49.0,Bench,Patrick Corbin,SP,WAS,Wu-Tang
12,SP,"Joe Musgrove RP,SP | SD",87,14,12,0,6,3,0,0,83,26,78,3.21,1.20,233,31.03,Bench,Joe Musgrove,"RP,SP",SD,Wu-Tang
0,SP,"Kyle Gibson RP,SP | PHI",92,17,9,0,5,4,0,0,77,31,106,4.50,1.49,619,46.0,Start,Kyle Gibson,"RP,SP",PHI,Young Guns
1,SP,Marco Gonzales SP | SEA,101,17,10,0,7,5,0,0,72,30,89,3.39,1.18,232,38.04333333333334,Start,Marco Gonzales,SP,SEA,Young Guns
2,SP,"Chad Kuhl RP,SP | COL",86,16,8,0,5,6,0,0,61,30,83,3.98,1.31,482,38.031111111111116,Start,Chad Kuhl,"RP,SP",COL,Young Guns
3,SP,Tyler Mahle SP | CIN,100,18,8,0,5,5,0,0,99,32,82,3.33,1.14,187,37.0,Start,Tyler Mahle,SP,CIN,Young Guns
4,SP,Miles Mikolas SP | STL,107,17,10,1,6,6,0,0,83,31,92,3.45,1.15,221,41.01666666666667,Start,Miles Mikolas,SP,STL,Young Guns
5,SP,"Michael Wacha RP,SP | BOS",85,16,3,1,5,3,0,0,70,23,78,3.60,1.19,336,34.0,Start,Michael Wacha,"RP,SP",BOS,Young Guns
6,SP,Adam Wainwright SP | STL,111,17,12,1,8,5,0,0,83,35,92,3.16,1.14,122,38.973333333333336,Start,Adam Wainwright,SP,STL,Young Guns
7,RP,Josh Hader RP | MIL,35,0,0,0,1,1,23,1,55,12,12,1.29,0.69,73,5.016666666666667,Start,Josh Hader,RP,MIL,Young Guns
8,RP,"David Robertson RP,SP | CHC",40,0,0,0,1,2,15,4,58,21,26,2.25,1.18,256,10.0,Start,David Robertson,"RP,SP",CHC,Young Guns
9,SP,Walker Buehler SP | LAD,27,5,3,0,2,1,0,0,26,7,22,3.00,1.07,612,9.0,Bench,Walker Buehler,SP,LAD,Young Guns
10,SP,Aaron Civale SP | CLE,100,18,7,0,7,7,0,0,85,28,94,3.87,1.22,269,43.0,Bench,Aaron Civale,SP,CLE,Young Guns
11,SP,Tyler Glasnow SP | TB,10,3,1,0,1,1,0,0,14,3,7,3.60,1.00,802,4.0,Bench,Tyler Glasnow,SP,TB,Young Guns
12,SP,"David Peterson RP,SP | NYM",31,7,2,0,2,3,0,0,27,14,26,4.06,1.29,740,13.984444444444444,Bench,David Peterson,"RP,SP",NYM,Young Guns
13,SP,Zach Plesac SP | CLE,106,18,9,0,6,4,0,0,75,22,100,3.82,1.15,292,44.99111111111111,Bench,Zach Plesac,SP,CLE,Young Guns
