ID,Org,League,Year,Team,W,L,T,Pct,GB,RF,RA,Season,Postseason
127,MABL,18+,2018,Blue Jays,11,5,0,0.688,3,115,81,0,0
128,MABL,18+,2018,Broncos,1,15,0,0.063,13,63,168,0,0
129,MABL,35+,2018,Mariners,10,3,1,0.769,0,112,86,1,0
130,MABL,35+,2018,Mammoths,9,4,1,0.692,1,114,58,0,0
131,MABL,35+,2018,Monarchs,10,4,0,0.714,0.5,127,70,0,0
132,MABL,35+,2018,Athletics,9,5,0,0.643,1.5,126,74,0,1
133,MABL,35+,2018,Pirates,8,6,0,0.571,2.5,106,95,0,0
134,MABL,35+,2018,HomeBrewers,6,8,0,0.429,4.5,94,75,0,0
135,MABL,35+,2018,Madison Braves,2,12,0,0.143,8.5,42,139,0,0
136,MABL,35+,2018,Mules,1,13,0,0.071,9.5,67,191,0,0
137,MABL,45+,2018,Sand Crabs,10,2,0,0.833,0,114,31,1,0
138,MABL,45+,2018,Crawfords,10,2,0,0.833,0,80,67,0,0
139,MABL,45+,2018,Grays,7,5,0,0.583,3,93,65,0,0
140,MABL,45+,2018,Brewers,3,9,0,0.25,7,77,104,0,0
141,MABL,45+,2018,Orioles,0,12,0,0,10,34,131,0,0
142,MABL,55+,2018,Reds,7,3,0,0.7,0,103,56,1,0
143,MABL,55+,2018,Bears,6,4,0,0.6,1,93,80,0,0
144,MABL,55+,2018,Bulldogs,2,8,0,0.2,5,46,106,0,0
145,MABL,18+,2019,Athletics,9,7,0,0.563,3,103,66,0,0
146,MABL,18+,2019,Angels,12,4,0,0.75,0,127,76,1,1
147,MABL,18+,2019,Los Banditos,11,5,0,0.688,1,145,96,0,0
148,MABL,18+,2019,Blue Jays,8,8,0,0.5,4,76,90,0,0
149,MABL,18+,2019,Jobu,0,16,0,0,12,66,189,0,0
150,MABL,35+,2019,Athletics,10,3,1,0.75,0,108,54,1,1
151,MABL,35+,2019,Pirates,9,5,0,0.643,1.5,105,76,0,0
152,MABL,35+,2019,Mammoths,6,7,1,0.464,4,77,94,0,0
153,MABL,35+,2019,HomeBrewers,4,10,0,0.286,6.5,89,105,0,0
154,MABL,35+,2019,Monarchs,10,4,0,0.714,0.5,123,76,0,0
155,MABL,35+,2019,Madison Braves,7,7,0,0.5,3.5,66,78,0,0
156,MABL,35+,2019,Mariners,7,7,0,0.5,3.5,97,83,0,0
157,MABL,35+,2019,Mules,2,12,0,0.143,8.5,63,162,0,0
