Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Diego Castillo,SEA,3,3,0,3.54326,63,0,3,14,63,265,55,27,25,7,23,3,66,9.48656,3.32446,2.85357,0.966,0.250129,0.0876548,0.1624738648533821,0.230573,1.24487,0.291452,0.745155,0.452737,,3.65083,0.346596,0.305118,585.6799926757812,,,,17496
Drew Pomeranz,SDP,3,2,0,3.55843,53,0,1,6,53,223,45,23,21,6,21,2,60,10.2105,3.58801,2.84572,1.091,0.269103,0.0945641,0.1745390221476555,0.222992,1.24153,0.285903,0.759361,0.391725,,3.72745,0.345609,0.371807,746.9099731445312,,,,11426
Cole Hamels,,3,4,5,4.67759,11,11,0,0,64,282,68,36,34,9,23,3,48,6.75911,3.19691,2.11426,1.27,0.171456,0.081095,0.0903610959649086,0.266576,1.41666,0.297876,0.703209,0.436,,4.64004,0.343211,0.286912,999.0,,,,4972
Joan Adon,WSN,3,4,4,4.68325,10,10,0,0,53,233,53,30,27,7,25,3,45,7.61474,4.19204,1.81648,1.161,0.191553,0.105453,0.0861000195145607,0.258636,1.47405,0.300777,0.705961,0.461677,,4.65295,0.342573,0.3343,999.0,,,,22925
JosÃ© Leclerc,TEX,3,3,0,3.89915,67,0,21,6,67,287,57,31,29,8,29,3,76,10.146,3.90349,2.59921,1.139,0.263232,0.101274,0.1619579866528511,0.222888,1.28094,0.282922,0.740051,0.345308,,3.94762,0.341557,0.216842,178.41000366210938,,,,14524
Dallas Keuchel,TEX,4,5,5,4.52256,13,13,0,0,69,306,77,38,35,8,26,3,44,5.68771,3.39,1.67779,1.033,0.142572,0.0849762,0.0575958043336868,0.27767,1.49266,0.305958,0.708758,0.525,,4.5811,0.337243,0.387656,999.0,,,,9434
Tommy Kahnle,NYY,3,3,0,3.50455,60,0,1,11,60,251,52,25,23,7,20,3,66,9.84964,2.9559,3.3322,1.045,0.261344,0.07843,0.1829142272472381,0.228925,1.20211,0.290711,0.748844,0.437039,,3.54662,0.336837,0.426441,617.5900268554688,,,,11384
James Kaprielian,OAK,7,11,10,4.75473,26,26,0,0,144,632,146,81,76,22,56,6,119,7.43151,3.5115,2.11634,1.356,0.18843,0.089036,0.0993941351771354,0.256038,1.40172,0.289432,0.703867,0.362209,,4.71361,0.336592,0.0847936,620.0900268554688,,,,18331
Connor Brogdon,PHI,3,3,0,3.95795,58,0,0,9,58,245,53,27,26,8,20,2,58,9.06523,3.09024,2.9335,1.222,0.238617,0.0813421,0.1572750732302665,0.237043,1.25393,0.287137,0.734751,0.38865,,4.00258,0.336282,0.335202,742.72998046875,,,,21205
Reiver Sanmartin,CIN,3,3,0,3.98463,61,0,2,13,61,261,60,29,27,7,22,2,58,8.49742,3.26277,2.60436,1.067,0.220933,0.0848318,0.1361008062958717,0.254275,1.3483,0.308171,0.733467,0.486153,,3.95554,0.334496,0.463267,999.0,,,,19754
Dylan Coleman,KCR,3,3,0,3.76546,68,0,3,13,68,289,58,31,28,7,32,3,73,9.62468,4.20133,2.29086,0.912,0.251418,0.109748,0.1416697055101394,0.229659,1.32556,0.294886,0.73791,0.410684,,3.83377,0.330555,0.520569,538.3599853515625,,,,22276
Bryan Baker,BAL,3,3,0,3.63205,64,0,0,12,64,272,56,28,26,7,24,3,69,9.69355,3.39155,2.85815,1.029,0.25354,0.0887078,0.1648320257663726,0.228618,1.25217,0.288542,0.745461,0.41783,,3.70261,0.319619,0.359107,999.0,,,,19804
Trevor May,OAK,3,3,0,3.72687,62,0,17,7,62,260,53,28,26,8,22,2,67,9.71721,3.20737,3.02965,1.125,0.257614,0.0850309,0.1725833341479301,0.226742,1.21852,0.283777,0.741995,0.352148,,3.74442,0.316346,0.148645,314.7699890136719,,,,6398
Matt Strahm,PHI,3,3,0,3.80735,55,0,0,6,55,230,50,25,23,7,17,3,57,9.31554,2.70934,3.4383,1.224,0.247069,0.0718577,0.1752108186483383,0.235927,1.20591,0.28858,0.74071,0.375287,,3.87227,0.314461,0.380289,747.9500122070312,,,,13799
David Robertson,NYM,3,3,0,3.6235,62,0,1,15,62,265,53,27,25,7,27,3,72,10.4721,3.93229,2.66311,0.985,0.272158,0.102196,0.1699627488851547,0.223242,1.28461,0.292471,0.749347,0.416874,,3.64255,0.31366,0.282441,451.1799926757813,,,,8241
Kenley Jansen,BOS,3,3,0,4.13623,63,0,26,5,63,269,56,31,29,8,25,3,71,10.207,3.5371,2.88569,1.194,0.265948,0.092161,0.1737866327166557,0.230105,1.2742,0.29208,0.721236,0.336717,,3.87361,0.300141,0.19765,73.7300033569336,,,,3096
Jake Diekman,CHW,3,3,0,3.64328,60,0,0,11,60,259,48,26,24,7,32,4,75,11.2192,4.77621,2.34899,1.026,0.289332,0.123173,0.1661589965224266,0.213123,1.32254,0.28785,0.760399,0.409154,,3.88033,0.291655,0.391653,749.8800048828125,,,,5003
Kutter Crawford,BOS,3,3,1,4.25941,37,3,0,1,52,220,50,26,25,8,16,2,52,8.9394,2.68825,3.32536,1.302,0.234491,0.070516,0.1639753505587577,0.247514,1.26404,0.297108,0.71571,0.36084,,4.01361,0.288979,0.280634,999.0,,,,20531
Tony Santillan,CIN,3,3,0,4.26895,60,0,1,11,60,258,54,30,28,9,26,3,68,10.2201,3.86055,2.64732,1.314,0.263679,0.0996022,0.1640767529606819,0.235656,1.32993,0.297036,0.732477,0.367501,,4.18936,0.288306,0.311569,999.0,,,,19926
Bobby Miller,LAD,2,2,1,3.95845,15,3,0,1,30,129,29,15,13,4,9,1,29,8.65398,2.79101,3.10066,1.146,0.226664,0.0731019,0.1535624489188194,0.24707,1.27036,0.297719,0.726701,0.455767,,3.91164,0.287586,0.176499,453.8200073242188,,,,sa3014422
Mike Baumann,BAL,2,2,1,3.80081,40,2,0,1,47,200,45,22,20,5,17,2,44,8.40185,3.15686,2.66146,1.02,0.219512,0.082478,0.1370337232947349,0.244732,1.29654,0.295437,0.735063,0.464164,,3.88349,0.285734,0.211009,750.8200073242188,,,,20206
Josh Sborz,TEX,2,2,0,3.86896,48,0,0,6,48,206,42,22,21,6,21,2,54,10.1209,3.95006,2.56222,1.081,0.261907,0.102219,0.1596883907914161,0.228826,1.31365,0.292709,0.742145,0.395458,,3.83745,0.285438,0.177962,748.6400146484375,,,,18323
Alexis DÃ­az,CIN,3,3,0,4.15874,68,0,20,6,68,294,58,34,31,9,33,3,84,11.0789,4.36873,2.53596,1.248,0.285098,0.112422,0.1726756393909454,0.224698,1.33547,0.294762,0.738452,0.354589,,4.05718,0.285413,0.352271,999.0,,,,21132
Jake Cousins,MIL,3,3,0,3.71714,54,0,0,6,54,231,45,24,22,6,24,3,62,10.3381,4.07448,2.53727,1.011,0.26902,0.106027,0.1629929021000862,0.222492,1.28992,0.289735,0.743958,0.422395,,3.79642,0.281825,0.419594,746.4099731445312,,,,21620
Trevor Megill,MIN,2,2,0,3.66023,48,0,0,4,48,203,42,21,20,5,18,2,52,9.82043,3.37387,2.91073,0.977,0.258278,0.0887331,0.1695445626974105,0.232071,1.2596,0.297089,0.739315,0.424291,,3.57875,0.280121,0.258948,999.0,,,,17722
Phil Bickford,LAD,2,2,0,3.95604,48,0,0,4,48,203,44,23,21,7,16,2,52,9.69988,3.00594,3.2269,1.247,0.254999,0.0790229,0.1759762167930603,0.237141,1.24693,0.294056,0.736615,0.390912,,3.88849,0.277672,0.121769,999.0,,,,18519
Reese Olson,DET,2,3,1,3.93808,31,3,0,1,46,197,43,22,20,5,16,2,43,8.4158,3.15885,2.6642,1.059,0.220155,0.0826346,0.1375200748443603,0.242311,1.28522,0.291344,0.72473,0.419559,,3.94763,0.275017,0.247641,999.0,,,,sa3008513
Shawn Dubin,HOU,2,2,2,3.85192,17,3,0,1,32,138,29,15,14,4,13,1,34,9.42225,3.64493,2.58503,1.066,0.246321,0.0952875,0.1510333493351936,0.234798,1.29942,0.29349,0.736543,0.445663,,3.88101,0.274929,0.260243,999.0,,,,sa3007248
Mike Burrows,PIT,3,4,3,4.48787,28,8,0,1,66,286,64,35,33,10,24,3,59,8.0856,3.2428,2.4934,1.356,0.207947,0.0833991,0.1245480552315712,0.248665,1.33491,0.287058,0.714125,0.360856,,4.47727,0.274798,0.321878,999.0,,,,sa3008517
Tommy Nance,MIA,3,3,0,3.69577,56,0,0,9,56,237,51,25,23,6,21,3,58,9.3239,3.44793,2.7042,0.911,0.24439,0.090374,0.1540155559778213,0.237179,1.28671,0.300227,0.733293,0.463762,,3.64418,0.274751,0.327011,999.0,,,,19178
Ryan Brasier,BOS,3,3,0,4.09301,58,0,0,10,58,246,56,28,26,7,18,2,58,8.93272,2.84017,3.14514,1.14,0.233937,0.0743807,0.1595567911863327,0.247826,1.28011,0.302174,0.718279,0.40205,,3.8262,0.272315,0.237535,999.0,,,,5615
Jay Groome,SDP,4,5,6,4.56175,13,13,0,0,74,324,74,40,37,11,31,4,57,6.94875,3.83678,1.81109,1.297,0.176112,0.0972411,0.0788709968328476,0.255385,1.42428,0.285427,0.718635,0.416292,,4.8707,0.266353,0.416608,745.9099731445312,,,,sa917925
Connor Seabold,COL,4,6,3,5.65708,27,13,0,1,85,375,98,56,53,17,26,5,66,7.01117,2.75173,2.54791,1.793,0.17565,0.0689388,0.1067113652825355,0.283615,1.46108,0.308886,0.674797,0.368405,,5.22873,0.266112,0.224907,999.0,,,,19695
Joey Lucchesi,NYM,3,3,2,4.04024,25,5,0,1,47,200,46,23,21,6,15,2,43,8.34136,2.80082,2.97819,1.229,0.217057,0.0728822,0.1441745907068252,0.248366,1.28563,0.292964,0.732394,0.406334,,4.07374,0.265891,0.197251,735.9099731445312,,,,19320
Shawn Armstrong,TBR,3,3,0,3.57672,59,0,1,10,59,245,52,25,23,7,19,3,61,9.36886,2.89522,3.23597,1.025,0.250461,0.0773991,0.173062153160572,0.231725,1.20017,0.290039,0.739791,0.417459,,3.60673,0.265794,0.332089,999.0,,,,12857
AnÃ­bal SÃ¡nchez,,5,8,6,5.20177,19,19,0,0,106,472,116,65,61,18,40,5,77,6.52088,3.35122,1.94582,1.504,0.163167,0.083855,0.0793120190501213,0.270555,1.46138,0.294213,0.689521,0.378,,5.08192,0.263695,-0.0417912,999.0,,,,3284
Enyel De Los Santos,CLE,3,3,0,3.67155,58,0,0,10,58,244,50,26,24,7,22,3,64,9.8856,3.4681,2.85043,1.073,0.260761,0.091481,0.1692795678973198,0.227734,1.24694,0.289342,0.745818,0.416958,,3.75231,0.26317,0.289921,748.5499877929688,,,,18403
Pierce Johnson,COL,3,3,0,4.65281,62,0,1,14,62,270,62,34,32,9,25,2,65,9.45145,3.60224,2.62377,1.334,0.240802,0.091777,0.1490251123905182,0.255594,1.40315,0.313595,0.713435,0.387039,,4.25086,0.262376,0.265967,714.5499877929688,,,,13435
Yerry De Los Santos,PIT,3,3,0,3.91285,52,0,0,6,52,224,49,25,23,6,20,2,51,8.82069,3.52418,2.50291,0.968,0.227672,0.0909631,0.1367092728614807,0.243424,1.33343,0.299939,0.727956,0.456817,,3.85717,0.260911,0.171911,999.0,,,,21420
Tucker Davidson,LAA,3,3,2,4.15407,37,5,0,1,58,249,56,29,27,7,22,2,53,8.17268,3.46457,2.35893,1.152,0.212444,0.0900596,0.1223843991756439,0.251455,1.35361,0.298515,0.728146,0.443202,,4.22691,0.260759,0.288664,750.5499877929688,,,,19871
Kevin Ginkel,ARI,3,3,0,3.88998,62,0,13,9,62,264,56,29,27,7,25,2,66,9.58979,3.63633,2.63721,0.991,0.249974,0.094787,0.1551865488290786,0.23731,1.31097,0.301133,0.729993,0.417629,,3.73535,0.259218,0.349516,550.77001953125,,,,19876
VÃ­ctor Arano,WSN,3,3,0,4.00006,58,0,1,10,58,247,54,28,26,7,21,3,57,8.78588,3.28956,2.67084,1.105,0.229409,0.085894,0.1435146108269691,0.242854,1.29868,0.295383,0.727194,0.424279,,3.99452,0.25758,0.26733,745.0,,,,15915
Keegan Akin,BAL,3,3,0,3.50585,58,0,0,10,58,242,53,25,23,7,17,2,60,9.26496,2.67384,3.46504,1.073,0.246448,0.0711242,0.1753240153193473,0.236332,1.20609,0.292769,0.75369,0.41783,,3.59599,0.254404,0.367433,739.77001953125,,,,19362
Josh Taylor,BOS,2,2,0,3.74192,42,0,0,1,42,179,38,19,17,5,16,2,45,9.61101,3.45675,2.78036,0.969,0.251062,0.0902982,0.1607634052634239,0.237748,1.29397,0.302548,0.737562,0.438235,,3.65551,0.252501,0.30066,999.0,,,,17359
Robert Stephenson,PIT,3,3,0,4.11912,63,0,1,12,63,268,59,31,29,9,21,2,64,9.0897,3.04881,2.98139,1.254,0.237241,0.0795741,0.1576672568917274,0.240622,1.27301,0.290821,0.728015,0.344862,,4.02718,0.247874,0.137285,701.1799926757812,,,,13594
Yency Almonte,LAD,3,3,0,4.0767,60,0,1,11,60,258,57,29,27,8,22,3,61,9.14338,3.25293,2.81082,1.156,0.236204,0.0840339,0.152169793844223,0.243992,1.31009,0.298944,0.727055,0.428047,,3.98937,0.247166,0.12575,737.1799926757812,,,,15068
Thad Ward,WSN,3,3,1,4.15054,50,2,0,4,57,246,55,29,26,7,23,2,53,8.40168,3.55602,2.36267,1.12,0.217101,0.091888,0.1252126097679138,0.246719,1.34843,0.295391,0.724284,0.437257,,4.17108,0.246659,0.212321,999.0,,,,sa3008098
Lucas Gilbreath,COL,3,3,0,4.50193,56,0,0,9,56,247,55,30,28,7,28,3,59,9.41749,4.44661,2.1179,1.134,0.236902,0.111857,0.1250450685620308,0.252185,1.47167,0.314926,0.721378,0.440164,,4.27897,0.245413,0.304629,748.9299926757812,,,,21290
Buck Farmer,CIN,3,3,0,4.38136,56,0,1,9,56,244,53,29,27,8,24,2,58,9.32434,3.83921,2.42871,1.29,0.237667,0.0978572,0.1398099288344383,0.244999,1.37921,0.298751,0.727357,0.40863,,4.31637,0.244602,0.193244,999.0,,,,14814
Ryne Stanek,HOU,3,3,0,3.86084,60,0,0,12,60,257,50,28,26,8,29,2,70,10.4367,4.28361,2.43642,1.127,0.270426,0.110993,0.15943294018507,0.221661,1.31299,0.285715,0.748991,0.362638,,3.957,0.244508,0.190575,750.3599853515625,,,,15947
Anthony Bass,TOR,3,3,0,3.83796,62,0,1,15,62,264,58,29,26,8,22,2,61,8.90186,3.17909,2.80013,1.141,0.231943,0.0828331,0.1491100341081619,0.239931,1.28345,0.290981,0.742394,0.432056,,3.94442,0.244164,0.158733,738.22998046875,,,,7982
Joey Wentz,DET,5,7,6,4.5246,26,16,0,1,100,436,99,54,50,14,43,4,83,7.5031,3.87737,1.9351,1.231,0.190738,0.0985674,0.0921704992651939,0.253861,1.42174,0.291223,0.717613,0.382953,,4.62538,0.241957,0.43062,999.0,,,,19962
Yimi Garcia,TOR,4,3,0,4.05962,70,0,0,15,70,295,65,34,32,10,22,3,68,8.6989,2.79667,3.11045,1.323,0.229361,0.073739,0.1556221395730972,0.239522,1.23492,0.283138,0.731008,0.370334,,4.15733,0.241173,0.0432597,723.72998046875,,,,12095
Joely RodrÃ­guez,BOS,3,3,0,3.83926,62,0,1,13,62,265,59,29,26,6,26,2,61,8.80155,3.80415,2.31367,0.839,0.228449,0.0987389,0.1297101452946663,0.247693,1.3699,0.310207,0.729464,0.503561,,3.73847,0.237836,0.345768,999.0,,,,11487
Taylor Hearn,TEX,3,3,0,3.81199,60,0,0,11,60,255,54,27,25,7,22,2,62,9.34854,3.36842,2.77535,1.121,0.24462,0.0881402,0.1564799845218658,0.235611,1.2781,0.291555,0.744621,0.386493,,3.88473,0.236612,0.273884,746.75,,,,18325
Brooks Raley,NYM,3,3,0,3.59632,62,0,1,12,62,262,56,27,25,7,21,3,65,9.4852,3.0144,3.14663,1.034,0.24925,0.079212,0.1700384467840194,0.233624,1.23213,0.29283,0.745449,0.420277,,3.66215,0.234942,0.284759,708.6799926757812,,,,10061
Brandon Walter,BOS,1,1,1,3.72741,12,2,0,1,19,81,19,9,8,2,5,1,18,8.40181,2.42084,3.47062,0.93,0.221316,0.0637685,0.1575476825237274,0.25331,1.25673,0.308966,0.722925,0.499549,,3.54488,0.233887,0.189763,999.0,,,,sa3010826
Bruce Zimmermann,BAL,3,4,3,4.28539,20,8,0,1,56,239,59,29,27,8,13,2,43,6.92011,2.1519,3.21581,1.355,0.180491,0.0561262,0.1243649199604988,0.263757,1.28958,0.293775,0.719458,0.426233,,4.36368,0.232796,0.271737,999.0,,,,20370
Yonny Chirinos,TBR,4,4,4,4.09437,40,8,0,1,78,329,78,38,35,10,22,3,63,7.33943,2.51592,2.9172,1.169,0.192045,0.0658321,0.1262131482362747,0.256623,1.28714,0.294436,0.718658,0.447492,,4.13006,0.228908,0.318986,609.0499877929688,,,,16401
Lucas Luetge,ATL,3,3,0,4.07811,58,0,0,11,58,249,57,28,26,7,18,3,54,8.33052,2.81725,2.95697,1.154,0.215483,0.0728728,0.1426100134849548,0.250618,1.30011,0.297724,0.724815,0.39988,,3.99895,0.226514,0.218893,999.0,,,,8337
Angel Zerpa,KCR,2,2,1,4.05401,25,3,0,1,40,172,40,20,18,4,14,2,32,7.16128,3.21464,2.2277,0.982,0.185857,0.0834296,0.102426953613758,0.258101,1.36005,0.299843,0.7209,0.464439,,4.12655,0.218321,0.283949,999.0,,,,22717
Thomas Szapucki,SFG,2,2,0,3.59453,32,0,0,1,32,135,27,14,13,3,13,1,37,10.3197,3.73185,2.76529,0.967,0.271062,0.0980231,0.1730393543839454,0.226532,1.26944,0.296647,0.748126,0.409463,,3.58615,0.216041,0.239173,999.0,,,,21065
Huascar Brazoban,MIA,2,2,0,3.64202,48,0,0,4,48,204,41,21,19,5,21,2,53,9.85254,3.91543,2.51634,0.921,0.257808,0.102454,0.1553541868925094,0.228346,1.29618,0.29478,0.742879,0.435088,,3.6786,0.215769,0.32624,999.0,,,,6107
Cionel PÃ©rez,CIN,3,3,0,3.49952,61,0,1,14,61,259,53,26,24,6,26,2,65,9.63599,3.85168,2.50177,0.91,0.252355,0.100871,0.1514845192432403,0.231024,1.30161,0.296007,0.755376,0.462168,,3.66874,0.214139,0.417356,743.3599853515625,,,,19614
Luke Jackson,SFG,2,2,0,3.8201,46,0,0,1,46,197,43,21,20,4,18,2,45,8.77107,3.54966,2.47096,0.851,0.228048,0.0922912,0.1357567608356475,0.245908,1.33839,0.306692,0.725703,0.492894,,3.69674,0.210148,0.249404,999.0,,,,11752
Ian Gibaut,CIN,2,3,0,4.30544,52,0,0,6,52,226,49,27,25,7,23,2,53,9.23611,3.95195,2.3371,1.194,0.236342,0.101126,0.1352160423994064,0.246463,1.39099,0.303046,0.726901,0.439888,,4.22459,0.209933,0.172809,744.0800170898438,,,,17871
Brandon Hughes,CHC,3,3,0,3.8715,64,0,23,6,64,273,56,30,28,8,25,3,70,9.86286,3.57508,2.75878,1.183,0.257311,0.09327,0.1640414521098137,0.229428,1.27176,0.287521,0.744956,0.362638,,3.97095,0.208964,0.295858,999.0,,,,23460
Justin Lawrence,COL,3,3,0,4.55157,58,0,0,11,58,255,59,32,29,7,27,3,58,8.97238,4.2034,2.13455,1.05,0.226403,0.106066,0.1203371956944465,0.260706,1.48185,0.323197,0.710591,0.485108,,4.16774,0.208324,0.231351,999.0,,,,17639
Hyun Jin Ryu,TOR,1,1,1,3.64332,14,2,0,1,21,87,21,9,8,3,4,1,18,7.69274,1.76826,4.35046,1.121,0.206395,0.0474421,0.1589531078934669,0.252541,1.18557,0.294335,0.735757,0.459391,,3.69644,0.206927,0.237543,723.5900268554688,,,,14444
Trevor Rosenthal,,3,2,0,3.85757,50,0,0,0,50,215,42,23,21,6,25,2,58,10.4581,4.42598,2.36288,1.008,0.269703,0.114141,0.1555611342191696,0.224415,1.33733,0.294151,0.741557,0.395,,3.86642,0.205487,0.247551,717.0900268554688,,,,10745
Steven Okert,MIA,3,3,0,3.77274,62,0,1,14,62,264,53,28,26,8,26,4,70,10.109,3.80259,2.65846,1.115,0.263621,0.099163,0.1644580885767936,0.224045,1.2697,0.285414,0.747823,0.353048,,3.91484,0.203858,0.327099,747.5,,,,13580
Chad Green,,1,1,0,3.7,29,0,0,0,29,120,25,13,12,4,8,1,31,9.73899,2.59048,3.75953,1.225,0.260789,0.0693673,0.1914212480187416,0.229164,1.16471,0.284014,0.744639,0.334,,3.68645,0.2031,0.179618,999.0,,,,15552
Trevor Richards,TOR,3,2,0,3.81106,54,0,0,7,54,229,47,24,23,8,20,2,60,9.9932,3.41193,2.9289,1.266,0.262377,0.0895822,0.1727948859333992,0.226453,1.24443,0.281947,0.755075,0.34445,,3.95247,0.201193,0.272665,999.0,,,,19309
Chris Flexen,SEA,5,6,3,4.26969,62,8,0,4,100,427,102,51,47,15,28,3,79,7.12906,2.52261,2.82606,1.317,0.185098,0.0654969,0.1196013316512107,0.257605,1.30273,0.289089,0.72284,0.381945,,4.36177,0.199403,0.00710908,635.22998046875,,,,13896
Andre Pallante,STL,4,3,0,3.69686,70,0,1,15,70,299,70,32,29,6,26,2,54,6.9866,3.36925,2.07363,0.739,0.181729,0.0876379,0.0940909907221794,0.258885,1.37427,0.305529,0.730138,0.56734,,3.85528,0.198945,0.335126,999.0,,,,26108
Richard Lovelady,KCR,3,3,0,3.8838,52,0,0,6,52,223,49,24,22,5,22,2,49,8.46054,3.72789,2.26953,0.925,0.219692,0.096801,0.1228914111852645,0.24604,1.35439,0.301396,0.731837,0.449844,,3.94158,0.198261,0.365165,999.0,,,,19337
Griffin Canning,LAA,2,2,1,4.25957,17,3,0,1,32,137,30,16,15,5,11,1,32,9.01892,3.10842,2.90145,1.361,0.234243,0.0807333,0.1535098701715469,0.244222,1.2955,0.291881,0.728369,0.375323,,4.23711,0.19613,0.184604,734.1400146484375,,,,19867
Sam Moll,OAK,3,3,0,3.66448,56,0,0,10,56,240,50,25,23,6,26,3,56,8.95089,4.12295,2.17099,0.894,0.232027,0.106876,0.1251510307192802,0.234236,1.34387,0.292611,0.746623,0.450196,,3.92914,0.195161,0.167052,999.0,,,,14874
Andrew Kittredge,TBR,1,1,0,3.45964,26,0,5,1,26,108,24,11,10,3,7,1,25,8.78618,2.49677,3.51901,0.964,0.234494,0.0666362,0.1678575053811073,0.240445,1.20263,0.295924,0.742705,0.472519,,3.49822,0.195048,0.147968,999.0,,,,12828
Rowan Wick,CHC,3,3,0,3.98765,62,0,1,14,62,266,57,30,27,7,26,2,62,9.01629,3.74844,2.40534,1.029,0.233122,0.0969182,0.1362033113837242,0.241095,1.34311,0.297842,0.73019,0.432136,,3.95719,0.193656,0.188411,701.5499877929688,,,,14646
Richard Bleier,MIA,3,3,0,3.74098,58,0,1,11,58,247,62,27,24,5,15,2,40,6.27913,2.31063,2.7175,0.809,0.163955,0.0603329,0.1036218293011188,0.269852,1.32456,0.308545,0.722246,0.540513,,3.78035,0.191752,0.220835,999.0,,,,7803
Jared Shuster,ATL,2,2,2,4.47206,5,5,0,0,28,120,29,15,14,4,9,1,23,7.32388,2.83424,2.58407,1.306,0.188061,0.0727772,0.1152840480208396,0.263442,1.36362,0.299014,0.714645,0.413876,,4.41034,0.191496,0.235697,999.0,,,,sa3014483
Will Vest,DET,3,3,0,3.83466,60,0,1,11,60,257,57,28,26,6,23,3,55,8.23936,3.40823,2.41749,0.903,0.214132,0.0885759,0.1255559027194976,0.246879,1.3303,0.299879,0.727733,0.470872,,3.84811,0.190677,0.188326,999.0,,,,19769
Zach Jackson,OAK,3,3,0,3.74643,65,0,7,11,65,280,53,29,27,7,33,3,76,10.5568,4.62928,2.28043,0.985,0.272247,0.119384,0.1528626978397369,0.216658,1.32762,0.284803,0.748531,0.362209,,3.85384,0.190272,0.195847,999.0,,,,19493
Steven Wilson,SDP,3,3,0,4.07953,61,0,0,12,61,260,53,29,28,9,24,3,65,9.5991,3.57265,2.68683,1.329,0.24979,0.0929682,0.1568219438195228,0.227873,1.26971,0.277199,0.740366,0.311782,,4.21852,0.189085,0.151139,999.0,,,,20353
Colin Holderman,PIT,2,2,0,4.10179,48,0,0,4,48,208,46,24,22,5,20,2,45,8.50834,3.77368,2.25465,1.005,0.218286,0.096816,0.1214703544974327,0.246128,1.37054,0.299017,0.722741,0.440824,,4.07152,0.188684,0.0642847,999.0,,,,22361
Jorge Alcala,MIN,3,3,0,3.75301,54,0,0,7,54,228,49,24,23,6,18,2,56,9.3067,3.0816,3.02009,1.051,0.24518,0.081183,0.1639967933297157,0.237048,1.25214,0.295117,0.736382,0.410215,,3.70187,0.185984,0.250909,693.4099731445312,,,,19459
Victor GonzÃ¡lez,LAD,2,2,0,3.78557,42,0,0,1,42,180,40,19,18,4,17,2,40,8.66604,3.56582,2.43031,0.942,0.224353,0.0923149,0.1320385485887527,0.246832,1.34582,0.303976,0.738937,0.493569,,3.88118,0.184377,0.226316,999.0,,,,16408
Drew Smith,NYM,3,3,0,3.89839,59,0,0,12,59,251,53,27,26,8,22,2,63,9.63096,3.32815,2.89378,1.234,0.251261,0.0868277,0.1644330248236656,0.23134,1.26112,0.285075,0.745324,0.354836,,3.97289,0.18024,0.126637,999.0,,,,17755
Javier Assad,CHC,3,4,2,4.60236,28,6,0,1,58,251,59,32,30,8,21,3,45,7.03098,3.20445,2.19413,1.301,0.179633,0.0818696,0.0977631211280822,0.260687,1.38494,0.292723,0.706757,0.416168,,4.63569,0.179884,0.10295,999.0,,,,21741
Carlos EstÃ©vez,LAA,3,3,0,4.10213,63,0,18,8,63,268,58,31,29,9,23,2,66,9.3892,3.2549,2.88464,1.263,0.245058,0.084953,0.1601053774356842,0.23935,1.28509,0.292801,0.732393,0.376945,,4.04736,0.178105,0.089472,249.67999267578125,,,,14542
Wandy Peralta,NYY,3,3,0,3.61499,64,0,3,14,64,272,60,28,26,7,23,2,60,8.42514,3.27261,2.57444,0.966,0.219896,0.0854153,0.1344811767339706,0.243099,1.30096,0.29513,0.747772,0.481903,,3.8395,0.177636,0.315884,731.6400146484375,,,,14295
Emilio PagÃ¡n,MIN,3,3,0,3.9146,62,0,0,12,62,261,54,29,27,9,21,2,70,10.1047,3.09718,3.26257,1.277,0.266653,0.0817309,0.1849218234419822,0.228215,1.21891,0.285337,0.740578,0.322095,,3.84366,0.175571,0.131894,721.0499877929688,,,,14771
Connor Thomas,STL,2,2,2,3.95376,15,3,0,1,30,130,32,15,13,3,9,1,20,5.84176,2.59703,2.2494,0.935,0.151559,0.0673773,0.0841814577579498,0.26858,1.34861,0.299372,0.719321,0.526316,,4.17243,0.17469,0.17131,999.0,,,,sa3010784
Cristopher SÃ¡nchez,PHI,2,2,1,3.85643,24,2,0,1,31,134,30,15,13,3,13,1,28,8.0276,3.74434,2.14393,0.911,0.207056,0.0965779,0.1104782223701477,0.250253,1.37857,0.301889,0.734763,0.516569,,4.02908,0.174018,0.217368,999.0,,,,20778
Joel Kuhnel,CIN,2,2,0,4.16017,36,0,0,1,36,154,36,18,17,5,12,2,34,8.58447,2.90998,2.95002,1.204,0.223292,0.0756919,0.1476004496216774,0.254504,1.317,0.30528,0.724195,0.457262,,4.04586,0.173416,0.18602,999.0,,,,19995
Michael Fulmer,,3,3,0,4.08759,63,0,0,0,63,270,60,31,29,8,23,3,59,8.46463,3.27431,2.58516,1.131,0.219328,0.0848412,0.1344869956374168,0.245942,1.31721,0.294531,0.725271,0.415,,4.09995,0.1731,0.099866,724.3599853515625,,,,13218
Louie Varland,MIN,2,2,1,4.1683,21,3,0,1,36,155,36,18,17,5,11,1,33,8.11168,2.73827,2.96234,1.219,0.211206,0.071297,0.1399089395999908,0.250352,1.28649,0.293345,0.7187,0.401768,,4.10256,0.171664,0.11492,999.0,,,,27691
