,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,247.0,46.0,75.0,13.0,46.0,32.0,63.0,5.0,1.0,0.304,0.385,0.53,6.0,STL,1B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,0,0,0,0,80,0,5,0,0,0.0,h,7.011723100913343,,,2.0624511410565627,1.1629509903801236,1.8531941202073399,0.040109451624942796,1.5193173685358237,6.638023071804792,,,,,,0.0,6.638023071804792,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Adolis Garcia,207.0,37.0,56.0,13.0,41.0,19.0,61.0,5.0,1.0,0.271,0.336,0.527,31.0,TEX,RF,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,89,5,0,0,0.0,h,-0.9780296279795024,,,0.6532021807928468,1.1629509903801236,1.1714574934876174,0.040109451624942796,-0.21192185991177262,2.8157982563737582,,,,,,0.0,2.8157982563737582,"['OF', 'DH']"
2,2,9 Gran...,Ozzie Albies,245.0,37.0,66.0,12.0,42.0,18.0,44.0,5.0,1.0,0.269,0.325,0.486,33.0,ATL,2B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,92,0,0,92,0,0,5,0,0,0.0,h,-1.4377645355312865,,,0.6532021807928468,0.8633492870657321,1.3078048188315619,0.040109451624942796,-0.31153834788669754,2.552927390428386,,,,,,0.0,2.552927390428386,"['2B', 'MI', 'DH']"
3,3,9 Gran...,Dansby Swanson,246.0,36.0,68.0,8.0,35.0,25.0,64.0,5.0,1.0,0.276,0.345,0.443,71.0,CHC,SS,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,83,83,0,0,5,0,0,0.0,h,0.28697928269103556,,,0.4966189629857672,-0.3350575261918343,0.3533735414239504,0.040109451624942796,0.062183375231352166,0.6172278050741784,,,,,,0.0,0.6172278050741784,"['SS', 'MI', 'DH']"
4,4,9 Gran...,Andres Gimenez,205.0,29.0,58.0,8.0,28.0,14.0,43.0,10.0,2.0,0.283,0.355,0.473,73.0,CLE,2B,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86,0,0,86,0,0,5,0,0,0.0,h,1.5724827355758606,,,-0.5994635616637898,-0.3350575261918343,-0.6010577359836611,1.169859005727501,0.34072941807583945,-0.02499040003594477,,,,,,0.0,-0.02499040003594477,"['2B', 'MI', 'DH']"
5,5,9 Gran...,Brandon Nimmo,230.0,39.0,66.0,8.0,29.0,31.0,54.0,2.0,1.0,0.287,0.384,0.47,92.0,NYM,CF,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,88,5,0,0,0.0,h,2.69107819113389,,,0.9663686164070059,-0.3350575261918343,-0.4647104106397166,-0.6377402808365921,0.583109426461108,0.11196982519997095,,,,,,0.0,0.11196982519997095,"['OF', 'DH']"
6,6,9 Gran...,Jorge Polanco,216.0,30.0,58.0,10.0,34.0,21.0,52.0,3.0,1.0,0.269,0.333,0.468,105.0,MIN,2B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,0,0,29,0,0,5,0,0,0.0,h,-1.4553352639786112,,,-0.4428803438567102,0.2641458804369489,0.21702621608000588,-0.41179037001608043,-0.3153456164458866,-0.6888442338017224,,,,,,0.0,-0.6888442338017224,"['2B', 'MI', 'DH']"
7,7,9 Gran...,Jeimer Candelario,216.0,31.0,58.0,10.0,31.0,19.0,54.0,3.0,1.0,0.269,0.339,0.509,111.0,WAS,3B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,84,0,0,84,0,5,0,0,0.0,h,-1.4553352639786112,,,-0.28629712604963065,0.2641458804369489,-0.1920157599518276,-0.41179037001608043,-0.3153456164458866,-0.9413029920264764,,,,,,0.0,-0.9413029920264764,"['3B', 'CI', 'DH']"
8,8,9 Gran...,Steven Kwan,216.0,37.0,63.0,3.0,20.0,25.0,27.0,8.0,1.0,0.292,0.367,0.412,129.0,CLE,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,90,5,0,0,0.0,h,3.5446647360213888,,,0.6532021807928468,-1.8330660427637924,-1.6918363387352169,0.7179591840864776,0.7680666537405384,-1.3856743628791466,,,,,,0.0,-1.3856743628791466,"['OF', 'DH']"
9,9,9 Gran...,Kris Bryant,238.0,34.0,70.0,8.0,25.0,26.0,48.0,1.0,0.0,0.294,0.372,0.437,130.0,COL,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,5,0,0,0.0,h,4.489028736912459,,,0.18345252737160805,-0.3350575261918343,-1.0100997120154944,-0.8636901916571037,0.9726937629580843,-1.05270113953474,,,,,,0.0,-1.05270113953474,"['OF', 'DH']"
