Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Jacob deGrom","TEX","SP",29.270000457763672,172.268,3.3969755069557968,-1.7735542581373034,10.05772008483844,11.878832620458667,4.942158743330296,28.5021326974459,7.205582160087141,36.70771485753304,"10954"
"Gerrit Cole","NYY","SP",17.639999389648438,197.475,4.279251473593063,-1.7735542581373034,4.613726822141397,7.690199646031339,5.626865695935757,20.43648937956425,7.205582160087141,28.64207153965139,"13125"
"Carlos Rodon","NYY","SP",45.90999984741211,180.526,3.6590505840241483,-1.7735542581373034,4.854936467041286,7.029294443174675,4.886357099482272,18.656084335585078,7.205582160087141,26.86166649567222,"16137"
"Corbin Burnes","MIL","SP",15.180000305175781,196.938,3.9602822102030806,-1.7735542581373034,5.106727569495702,5.347035671280936,5.115286281731266,17.75577747457368,7.205582160087141,25.961359634660823,"19361"
"Max Scherzer","NYM","SP",50.18000030517578,191.452,3.6916688567117624,-1.7735542581373034,2.940240492668937,7.9859073131457095,4.624606992215899,17.468869396605008,7.205582160087141,25.674451556692144,"3137"
"Shane McClanahan","TBR","SP",40.31999969482422,183.539,3.7862925247949137,-1.7735542581373034,6.395816768057248,4.609733130856788,3.8191804337005784,16.837468599272224,7.205582160087141,25.04305075935937,"21483"
"Shohei Ohtani","LAA","SP",9.680000305175781,173.356,3.1967560226330813,-1.7735542581373034,4.4901765566806935,4.748767195401413,3.9860187088529484,14.648164225430836,7.205582160087141,22.853746385517976,"19755"
"Justin Verlander","NYM","SP",45.18000030517578,179.662,3.0501228814296293,-1.7735542581373034,2.3262416553748717,6.6496151763118885,3.260176238405664,13.51260169338475,7.205582160087141,21.718183853471892,"8700"
"Spencer Strider","ATL","SP",31.049999237060547,153.921,2.6795211602009172,-1.7735542581373034,4.547566153367509,3.112424777039523,3.535551785420393,12.101509617891038,7.205582160087141,20.30709177797818,"27498"
"Tyler Glasnow","TBR","SP",88.91000366210938,160.185,2.4266908418810247,-1.7735542581373034,3.7466643698830904,3.9279782800977534,3.3343724205075116,11.662151654232076,7.205582160087141,19.867733814319216,"14374"
"Aaron Nola","PHI","SP",38.04999923706055,198.749,3.6710003915799168,-1.7735542581373034,0.955438261071941,4.281158856272393,4.013845585231341,11.147888836018288,7.205582160087141,19.35347099610543,"16149"
"Kevin Gausman","TOR","SP",58.36000061035156,180.696,3.440416841909012,-1.7735542581373034,1.2910922196372001,4.7171457350903845,2.931406558833493,10.606507097332786,7.205582160087141,18.812089257419927,"14107"
"Edwin Diaz","NYM","RP",21.360000610351562,64,-3.0199084461782295,7.019227500430684,4.5417896533717,3.8591841431752765,-1.9949145765444867,10.405378274254945,7.205582160087141,18.610960434342086,"14710"
"Shane Bieber","CLE","SP",58.77000045776367,202.796,3.8698673514989768,-1.7735542581373034,1.0824133556262185,1.7385919503622762,3.6000961278833015,8.51741452723347,7.205582160087141,16.72299668732061,"19427"
"Brandon Woodruff","MIL","SP",37.13999938964844,172.877,2.4568284113566357,-1.7735542581373034,1.0113985330690463,2.861683801611366,2.991579551988961,7.547936039888706,7.205582160087141,15.753518199975845,"16162"
"Luis Castillo","SEA","SP",62.77000045776367,194.522,3.3945707802073803,-1.7735542581373034,2.744671369632109,-0.24850605112170643,3.397483776133704,7.514665616714183,7.205582160087141,15.720247776801322,"15689"
"Zack Wheeler","PHI","SP",53.63999938964844,189.367,3.2810074699185177,-1.7735542581373034,1.4575358215528376,1.8832287680624273,2.582977482990301,7.43119528438678,7.205582160087141,15.636777444473921,"10310"
"Josh Hader","SDP","RP",33.90999984741211,66,-3.0193070853013535,6.671084321124971,2.784396790957951,2.445949281939508,-2.1097364414104574,6.77238686731062,7.205582160087141,14.977969027397762,"14212"
"Emmanuel Clase","CLE","RP",26.639999389648438,70,-2.909577002628148,7.321721204113179,3.5542362294065977,1.5997572999996115,-3.035743666047288,6.530394064843953,7.205582160087141,14.735976224931093,"21032"
"Blake Snell","SDP","SP",118.5,160.183,2.75279974257085,-1.7735542581373034,1.6479781387124486,0.22162569018046854,2.868764562828453,5.717613876154917,7.205582160087141,13.923196036242055,"13543"
"Clayton Kershaw","LAD","SP",123.36000061035156,172.158,2.891089807961614,-1.7735542581373034,0.5651480488449406,1.7079868612654634,2.1296025536794327,5.5202730136141485,7.205582160087141,13.72585517370129,"2036"
"Sandy Alcantara","MIA","SP",29.450000762939453,210.615,3.3736012762575505,-1.7735542581373034,0.11127723757091249,-0.6471546598961209,3.139252698464722,4.203422294259761,7.205582160087141,12.409004454346903,"18684"
"Framber Valdez","HOU","SP",81.2699966430664,195.519,4.17162507885029,-1.7735542581373034,3.9696278971903656,-4.73172835890099,2.360005976595858,3.9959763355982214,7.205582160087141,12.201558495685362,"17295"
"Andres Munoz","SEA","RP",149,65,-3.024718437244381,0.7762606384851333,4.775161068232007,3.443952784147225,-2.1997616405201645,3.77089441309982,7.205582160087141,11.976476573186961,"20373"
"Chris Sale","BOS","SP",164.5,146.602,1.5024773008622812,-1.7735542581373034,0.6810981479730684,1.6634720151514635,1.6952238458514912,3.7687170517010005,7.205582160087141,11.974299211788141,"10603"
"Ryan Helsley","STL","RP",66.5,68,-3.0411028332926833,6.017823841786024,2.127003220049372,1.0390528251885112,-2.5900252142048403,3.5527518395263824,7.205582160087141,11.758333999613521,"18138"
"Andrew Heaney","TEX","SP",216.63999938964844,139.753,0.8786689627911963,-1.7735542581373034,-0.06742425976612546,2.505723720251622,1.188000991845318,2.7314151569847076,7.205582160087141,10.936997317071848,"15423"
"Yu Darvish","SDP","SP",78.91000366210938,189.168,3.2168224101289606,-1.7735542581373034,-3.9355623428776707,2.2792005447407253,2.9283047377882374,2.715211091642949,7.205582160087141,10.920793251730089,"13074"
"Robbie Ray","SEA","SP",98.18000030517578,191.03,2.7177007666712334,-1.7735542581373034,-2.6176299408347345,0.03316093169124008,4.098397257216772,2.458074756607207,7.205582160087141,10.663656916694348,"11486"
"Joe Musgrove","SDP","SP",76.86000061035156,194.217,3.6871590085147314,-1.7735542581373034,-2.138693320483457,-0.04494771962134616,2.5874406804491454,2.3174043907217707,7.205582160087141,10.52298655080891,"12970"
"Ryan Pressly","HOU","RP",52.95000076293945,62,-3.308363304000803,6.190190068790908,1.79465188452889,0.8421454876014357,-3.397614096148949,2.121010040771482,7.205582160087141,10.326592200858624,"7005"
"Felix Bautista","BAL","RP",999,66,-3.2471099680809066,5.901076556377233,1.7738187037717652,0.32347230981759933,-2.645709323554037,2.1055482783316544,7.205582160087141,10.311130438418795,"20666"
"Dylan Cease","CHW","SP",36.77000045776367,187.576,2.9558002521644613,-1.7735542581373034,-1.8734259589935334,-1.8487555485334313,4.480045007275367,1.9401094937755596,7.205582160087141,10.1456916538627,"18525"
"Jhoan Duran","MIN","RP",999,68,-2.968801193563017,1.0136906038288225,4.11630647606363,1.8628607137128717,-2.413994729357628,1.6100618706846792,7.205582160087141,9.81564403077182,"21029"
"Nick Lodolo","CIN","SP",999,175.623,1.978750814794143,-1.7735542581373034,-1.1610365883370628,-0.9897118892664998,3.489758476578615,1.544206555631893,7.205582160087141,9.749788715719033,"26378"
"Raisel Iglesias","ATL","RP",54.63999938964844,66,-3.2309509927665463,6.101252504380084,0.4968876991488059,1.0827541535963043,-3.12288148619404,1.327061878164608,7.205582160087141,9.532644038251748,"17130"
"Luis Severino","NYY","SP",111.05000305175781,144.973,1.373280758051893,-1.7735542581373034,0.02938066904677435,0.540155592366932,1.1517824636002008,1.321045224928497,7.205582160087141,9.526627385015637,"15890"
"Jordan Romano","TOR","RP",45.68000030517578,66,-3.231101332985765,6.698631332207976,0.7678129883523563,0.17987982725902676,-3.094524147822589,1.3206986670110052,7.205582160087141,9.526280827098146,"16122"
"Max Fried","ATL","SP",70,189.535,3.509411355195402,-1.7735542581373034,-0.26558676291428523,-2.344213910835152,1.77831684465278,0.9043732679614417,7.205582160087141,9.10995542804858,"13743"
"Pete Fairbanks","TBR","RP",195.91000366210938,65,-3.1712007006592966,2.532455903603017,2.6534301543107515,1.5415456816324644,-2.7698817972573115,0.7863492416296248,7.205582160087141,8.991931401716764,"17998"
"Devin Williams","MIL","RP",47.36000061035156,65,-3.2843129902905015,5.255949075605627,1.8470261783207387,-0.27865573128570903,-2.771758846554836,0.7682476857953194,7.205582160087141,8.97382984588246,"15816"
"George Kirby","SEA","SP",999,142.759,0.9370661929254732,-1.7735542581373034,-0.25669156467319226,1.1394779688742755,-0.09338346561349432,-0.04708512662424104,7.205582160087141,8.158497033462899,"25436"
"David Bednar","PIT","RP",102.41000366210938,66,-3.3672117339825096,6.429718961255172,0.13343264679936992,-0.23743322531061717,-3.131731989630698,-0.1732253408692827,7.205582160087141,8.032356819217856,"19569"
