playerid,Name,Team,G,PA,AB,H,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA
19521,Andrew Young,WSN,113,378,332,71,17,47,51,25,142,16,2,1,0.214,0.298,0.437,0.735,0.316
12180,Jorge Alfaro,SDP,110,382,355,85,10,32,43,17,123,9,7,2,0.239,0.291,0.369,0.66,0.287
14145,Daniel Robertson,,91,280,240,53,5,30,20,31,74,7,1,1,0.221,0.326,0.321,0.647,0.292
sa3010692,Orelvis Martinez,TOR,103,466,434,98,22,53,68,26,128,4,2,1,0.226,0.275,0.426,0.702,0.3
17468,Kelvin Gutierrez,BAL,114,442,409,96,9,41,40,27,108,4,5,2,0.235,0.287,0.347,0.635,0.278
sa3007788,Sean Roby,SFG,101,438,404,83,14,45,43,30,132,2,2,0,0.205,0.263,0.356,0.62,0.27
12399,Taylor Motter,,88,326,289,63,11,37,35,32,81,2,2,2,0.218,0.298,0.394,0.693,0.3
19890,Emmanuel Rivera,KCR,112,460,427,105,10,51,45,24,91,3,4,1,0.246,0.288,0.372,0.661,0.285
17838,Willie Calhoun,TEX,107,422,386,99,15,47,47,31,60,3,1,1,0.256,0.315,0.433,0.748,0.321
9112,Khris Davis,,100,383,345,76,17,43,54,31,106,4,0,0,0.22,0.29,0.409,0.699,0.3
sa3005784,Johan Rojas,PHI,104,455,426,97,11,54,45,22,101,3,17,6,0.228,0.269,0.354,0.624,0.271
12510,Curt Casali,SFG,75,225,198,43,6,20,24,22,63,3,0,0,0.217,0.304,0.354,0.657,0.288
4962,Asdrúbal Cabrera,CIN,105,385,343,82,13,43,58,36,87,2,1,0,0.239,0.312,0.414,0.726,0.312
12160,Ben Gamel,PIT,125,388,335,84,7,44,27,46,97,3,4,5,0.251,0.344,0.391,0.735,0.321
3648,René Rivera,,66,239,218,45,10,25,31,14,80,3,0,0,0.206,0.263,0.376,0.639,0.276
14103,Rio Ruiz,,120,409,371,90,12,43,44,32,88,1,3,1,0.243,0.302,0.394,0.696,0.301
sa917934,Joe Rizzo,SEA,120,505,469,104,12,56,49,29,126,3,2,3,0.222,0.27,0.343,0.614,0.266
sa3008140,Cadyn Grenier,BAL,109,453,404,78,9,51,37,39,153,7,7,3,0.193,0.274,0.309,0.584,0.261
18063,Kyle Garlick,MIN,88,285,265,62,14,37,38,15,87,3,2,0,0.234,0.281,0.464,0.745,0.313
4922,Ender Inciarte,NYY,88,292,262,61,4,36,24,23,55,3,6,3,0.233,0.3,0.324,0.624,0.276
sa875626,Max McDowell,NYY,67,241,209,40,3,25,16,21,61,8,2,1,0.191,0.289,0.273,0.561,0.258
2396,Carlos Santana,KCR,128,542,463,107,16,60,59,73,86,2,2,0,0.231,0.336,0.374,0.709,0.312
15730,Tyler Wade,LAA,129,344,309,69,4,44,21,29,87,3,19,6,0.223,0.295,0.324,0.619,0.274
9433,Dustin Garneau,DET,55,188,167,33,8,21,23,14,52,4,0,0,0.198,0.273,0.389,0.662,0.286
sa3006923,John Valente,DET,73,284,267,69,3,28,18,13,34,2,7,3,0.258,0.297,0.341,0.638,0.28
sa3006728,Drew Mount,CIN,69,273,256,62,10,26,30,13,78,3,5,4,0.242,0.286,0.41,0.696,0.299
sa3010712,Vito Friscia,PHI,72,287,255,55,6,37,26,24,85,3,2,0,0.216,0.288,0.333,0.621,0.274
21646,Rafael Marchan,PHI,93,350,320,71,5,43,26,24,65,4,1,1,0.222,0.284,0.319,0.602,0.267
15271,Austin Wynns,,74,248,227,53,6,28,24,16,50,2,1,0,0.233,0.289,0.339,0.628,0.277
19892,Pavin Smith,ARI,133,524,474,125,12,61,47,44,96,2,2,1,0.264,0.326,0.405,0.731,0.317
12371,Tommy La Stella,SFG,91,274,249,66,6,33,28,22,28,2,0,0,0.265,0.328,0.39,0.718,0.313
9205,Logan Morrison,,63,210,189,47,10,28,30,17,42,3,0,0,0.249,0.319,0.466,0.785,0.336
sa875729,Chad De La Guerra,,58,231,212,48,7,24,21,17,68,2,4,1,0.226,0.29,0.387,0.677,0.294
22871,Tucupita Marcano,PIT,124,497,447,106,6,63,36,44,75,0,11,7,0.237,0.304,0.322,0.626,0.278
9345,Brock Holt,,85,286,256,62,3,28,24,25,56,3,4,2,0.242,0.315,0.336,0.651,0.289
10322,Danny Santana,,104,391,360,89,16,52,50,23,110,4,13,5,0.247,0.297,0.456,0.753,0.319
13367,Stephen Piscotty,OAK,93,338,309,75,11,35,41,22,79,4,2,0,0.243,0.3,0.401,0.701,0.303
sa876363,Dalton Kelly,OAK,112,454,397,84,13,53,46,44,135,6,12,3,0.212,0.297,0.355,0.652,0.287
sa3011258,Zach Watson,BAL,102,409,384,82,17,41,53,15,120,4,12,3,0.214,0.249,0.393,0.642,0.273
sa873984,C.J. Chatham,,94,378,353,92,5,39,30,16,80,3,3,2,0.261,0.295,0.357,0.652,0.282
sa736945,Michael Beltre,NYY,107,422,381,83,10,43,38,37,114,2,20,3,0.218,0.29,0.344,0.634,0.28
sa3011587,Luke Berryhill,HOU,79,319,283,64,13,41,44,24,106,8,3,1,0.226,0.303,0.41,0.713,0.309
15794,Yonathan Daza,COL,121,435,402,111,5,42,36,24,75,2,6,4,0.276,0.319,0.381,0.699,0.305
11481,Henry Ramos,,98,369,339,90,9,42,41,23,70,2,4,3,0.265,0.314,0.404,0.718,0.31
sa738204,Daniel Pinero,DET,102,406,365,78,9,42,38,32,106,5,3,4,0.214,0.284,0.351,0.635,0.278
sa3006218,Ryan Fitzgerald,BOS,110,438,402,93,9,45,41,28,107,4,4,5,0.231,0.286,0.363,0.649,0.283
17806,Braden Bishop,,84,337,308,77,7,39,31,21,74,5,6,2,0.25,0.307,0.38,0.687,0.3
7349,Sean Kazmar Jr.,,81,277,257,56,7,26,23,15,49,2,2,0,0.218,0.264,0.35,0.615,0.265
14140,José Rondón,,77,214,197,45,9,25,27,14,52,1,3,1,0.228,0.28,0.416,0.697,0.298
sa3009889,Joseph Ortiz,BAL,45,194,179,41,4,20,15,13,38,2,3,0,0.229,0.289,0.346,0.635,0.279
17837,Jakson Reetz,MIL,84,331,293,56,9,35,29,28,96,8,1,1,0.191,0.279,0.328,0.606,0.27
9856,Brandon Snyder,,84,325,298,64,14,38,44,19,109,6,1,0,0.215,0.274,0.399,0.673,0.29
14335,Dilson Herrera,,92,338,305,63,14,38,40,25,108,5,4,2,0.207,0.276,0.397,0.673,0.289
19961,Colton Welker,COL,85,322,292,73,10,37,36,22,73,2,1,1,0.25,0.303,0.411,0.714,0.306
15722,Allen Córdoba,CIN,91,377,343,85,6,49,36,21,73,9,9,7,0.248,0.307,0.364,0.671,0.294
sa3007511,Max Schuemann,OAK,118,494,449,95,7,50,34,30,116,11,26,5,0.212,0.276,0.314,0.59,0.262
11602,Yolmer Sánchez,,121,448,404,94,6,49,38,34,103,5,6,3,0.233,0.299,0.342,0.64,0.283
sa3003197,David García,TEX,86,334,313,72,6,42,30,16,80,1,0,0,0.23,0.268,0.329,0.597,0.261
sa3006856,Brandon Lockridge,NYY,97,430,398,86,11,44,39,25,131,4,13,4,0.216,0.268,0.349,0.617,0.269
6938,Eric Campbell,,71,293,260,59,5,32,27,27,64,3,3,2,0.227,0.305,0.331,0.636,0.283
sa3007307,Brian Rey,CIN,95,381,343,88,9,50,38,19,63,11,3,4,0.257,0.312,0.376,0.688,0.301
sa3006895,Ji-hwan Bae,PIT,95,411,373,90,7,44,30,31,95,3,16,7,0.241,0.303,0.359,0.662,0.29
sa873282,Nate Mondou,OAK,102,427,377,81,6,47,34,35,89,6,2,4,0.215,0.288,0.308,0.596,0.266
12649,Alex Dickerson,,106,328,297,73,11,40,39,24,76,6,1,0,0.246,0.314,0.418,0.732,0.315
8090,Matt Carpenter,,120,373,316,64,9,41,38,49,108,6,3,0,0.203,0.319,0.345,0.664,0.295
13006,Mitch Walding,,73,280,240,41,9,31,28,37,127,2,2,1,0.171,0.286,0.325,0.611,0.271
sa918314,Jack Suwinski,PIT,117,470,411,92,17,55,49,49,134,3,7,4,0.224,0.308,0.406,0.715,0.309
3086,Mitch Moreland,,79,275,248,58,11,33,39,24,63,1,0,0,0.234,0.302,0.423,0.725,0.31
10067,Tomás Telis,LAD,100,415,395,110,9,51,44,16,54,2,3,1,0.278,0.309,0.385,0.694,0.3
5503,Corban Joseph,,95,373,345,89,7,40,39,22,52,2,1,0,0.258,0.303,0.38,0.683,0.295
18425,Trey Amburgey,CIN,102,416,384,94,14,51,50,23,115,4,4,1,0.245,0.293,0.424,0.717,0.306
sa3005081,Jacob Amaya,LAD,120,509,465,100,12,58,52,35,114,2,4,1,0.215,0.271,0.342,0.613,0.268
sa876187,Ford Proctor,TBR,104,433,380,79,7,50,34,45,118,3,4,4,0.208,0.295,0.308,0.603,0.27
5384,Juan Lagares,,119,304,285,72,5,35,29,14,72,1,2,2,0.253,0.289,0.372,0.661,0.285
14636,Webster Rivas,SDP,70,258,232,52,5,25,18,21,59,2,0,0,0.224,0.293,0.323,0.616,0.273
17684,Vimael Machín,OAK,112,449,394,89,7,52,38,45,91,4,3,1,0.226,0.309,0.332,0.642,0.283
13854,Anthony Bemboom,,70,249,222,45,7,28,22,20,63,2,1,1,0.203,0.272,0.338,0.61,0.268
13755,Tomás Nido,NYM,64,193,183,40,4,18,19,7,52,2,1,0,0.219,0.254,0.339,0.593,0.254
12547,John Hicks,,79,301,283,66,11,33,37,15,87,1,3,1,0.233,0.273,0.403,0.676,0.29
sa3007009,Hayden Senger,NYM,73,292,264,53,5,21,17,17,85,8,0,0,0.201,0.268,0.311,0.579,0.257
16442,Ryan O'Hearn,KCR,118,419,378,86,16,41,51,35,109,3,2,0,0.228,0.296,0.413,0.709,0.303
sa739597,Wendell Rijo,PHI,99,378,346,75,14,38,35,26,96,4,5,2,0.217,0.279,0.39,0.669,0.289
sa3014496,Kaden Polcovich,SEA,101,445,394,74,11,56,43,38,121,7,12,2,0.188,0.269,0.312,0.581,0.259
18551,Ali Sánchez,STL,85,324,305,71,3,31,22,16,61,1,1,2,0.233,0.272,0.305,0.577,0.255
sa919293,Jonathan Aranda,TBR,99,403,358,84,9,48,38,32,94,6,3,1,0.235,0.305,0.363,0.668,0.293
15653,Dominic Smith,NYM,139,465,424,108,13,50,62,30,109,7,2,1,0.255,0.312,0.41,0.722,0.311
sa3011642,JJ Bleday,MIA,106,444,397,88,13,54,41,41,105,2,3,2,0.222,0.296,0.373,0.669,0.293
15694,Chance Sisco,NYM,90,317,276,59,9,34,31,29,93,11,0,0,0.214,0.312,0.351,0.664,0.295
sa737619,Gosuke Katoh,TOR,112,414,372,85,8,45,32,37,110,2,7,4,0.228,0.301,0.347,0.648,0.286
14897,Daniel Palka,NYM,116,460,411,91,18,55,56,45,121,1,3,1,0.221,0.298,0.399,0.698,0.3
11863,Yadiel Rivera,,103,285,269,58,6,28,25,11,81,1,9,4,0.216,0.247,0.32,0.567,0.246
17216,Monte Harrison,MIA,91,351,317,64,11,39,33,26,137,5,20,4,0.202,0.272,0.344,0.616,0.271
sa739013,Dominic Miroglio,ARI,85,333,303,70,6,32,27,21,75,5,1,2,0.231,0.29,0.353,0.643,0.28
sa875231,Gabriel Cancel,KCR,100,409,378,85,12,43,44,23,119,4,13,3,0.225,0.275,0.381,0.655,0.282
sa3014438,Garrett Mitchell,MIL,77,324,292,65,10,44,33,30,92,2,10,2,0.223,0.299,0.363,0.662,0.291
sa3004996,Mark Kolozsvary,CIN,68,260,229,41,7,25,23,21,91,9,0,1,0.179,0.273,0.319,0.592,0.265
19703,Jake Noll,WSN,123,493,460,118,14,58,55,24,92,4,3,1,0.257,0.297,0.404,0.702,0.302
sa858829,Mitchell Tolman,,100,389,348,73,6,41,29,29,108,7,5,3,0.21,0.282,0.313,0.596,0.264
sa917132,Ismael Munguia,SFG,97,417,397,105,7,60,41,11,35,4,11,4,0.264,0.29,0.373,0.663,0.286
sa921577,Luis Santana,HOU,70,260,241,57,5,26,20,12,61,5,4,2,0.237,0.286,0.332,0.618,0.272
16852,John Nogowski,ATL,111,408,357,85,8,50,43,40,63,7,3,1,0.238,0.324,0.35,0.674,0.3
sa3014838,Pedro Leon,HOU,79,332,296,58,9,42,32,31,110,5,14,7,0.196,0.283,0.324,0.607,0.27
18288,Austin Dean,SFG,115,396,358,91,12,47,53,31,96,3,2,3,0.254,0.316,0.427,0.744,0.32
sa511026,Aderlin Rodríguez,,112,459,426,109,17,59,75,25,113,6,1,1,0.256,0.305,0.43,0.735,0.315
14553,Nomar Mazara,,97,378,346,85,12,41,49,26,98,3,1,1,0.246,0.302,0.402,0.703,0.303
20056,Alan Trejo,COL,120,448,416,97,13,49,47,22,111,3,2,4,0.233,0.275,0.385,0.659,0.283
sa877500,Rodolfo Durán,NYY,51,195,184,38,5,17,16,9,50,1,0,0,0.207,0.246,0.332,0.578,0.251
2539,Pete Kozma,,109,436,402,82,4,42,31,25,92,4,4,1,0.204,0.255,0.291,0.546,0.241
sa829488,J.J. Matijevic,HOU,102,431,392,85,19,49,56,35,145,1,6,3,0.217,0.281,0.423,0.705,0.302
sa737020,Luis Liberato,,92,366,332,75,8,39,33,24,97,0,3,2,0.226,0.275,0.349,0.624,0.271
7226,Matt Davidson,,102,400,358,83,19,45,63,31,115,6,0,0,0.232,0.302,0.441,0.743,0.317
sa3004615,Jeter Downs,BOS,110,454,409,87,14,51,45,32,130,4,17,4,0.213,0.273,0.369,0.643,0.278
10542,Derek Dietrich,,96,326,283,58,12,42,38,25,93,17,1,1,0.205,0.307,0.375,0.681,0.301
sa3014442,Patrick Bailey,SFG,85,379,349,74,9,40,29,28,96,2,4,0,0.212,0.274,0.338,0.613,0.268
sa1170003,Brett Wisely,TBR,105,455,421,100,12,58,50,28,116,1,13,4,0.238,0.285,0.363,0.648,0.282
3142,Robinson Chirinos,,72,227,196,41,7,23,26,22,72,6,0,0,0.209,0.305,0.372,0.678,0.297
sa857232,Brett Sullivan,MIL,95,374,345,80,8,40,35,24,64,2,9,4,0.232,0.283,0.362,0.646,0.281
14567,Franchy Cordero,BOS,116,428,389,92,12,57,50,35,137,3,9,2,0.237,0.304,0.404,0.708,0.306
20263,Mario Feliciano,MIL,83,323,296,65,10,36,37,16,98,4,1,1,0.22,0.266,0.375,0.641,0.275
sa915868,Matt Whatley,TEX,93,344,307,61,5,32,21,28,95,4,9,5,0.199,0.273,0.287,0.559,0.25
16291,Nick Ciuffo,,43,154,141,29,4,14,15,10,51,0,1,0,0.206,0.255,0.34,0.595,0.258
sa3014822,Michael Guldberg,OAK,57,236,217,48,5,22,16,13,51,4,7,1,0.221,0.277,0.336,0.613,0.269
14593,David Bote,CHC,111,359,316,72,11,40,47,34,86,5,2,2,0.228,0.31,0.386,0.696,0.303
sa918961,Eli Wilson,PIT,61,242,216,49,4,38,24,20,62,4,0,0,0.227,0.303,0.343,0.645,0.286
21622,Jake McCarthy,ARI,102,412,373,83,9,46,37,33,116,4,25,6,0.223,0.292,0.373,0.665,0.29
19528,Jacob Robson,DET,104,422,374,88,8,51,35,43,137,3,15,2,0.235,0.318,0.361,0.679,0.301
10700,Ryan LaMarre,,94,339,309,71,7,37,33,24,98,5,10,5,0.23,0.295,0.356,0.651,0.285
sa3014820,Jacob Hurtubise,CIN,109,433,382,95,0,72,21,38,84,11,22,5,0.249,0.333,0.291,0.624,0.285
sa3004840,Jack Larsen,SEA,111,484,435,90,14,55,52,42,156,3,5,3,0.207,0.28,0.352,0.632,0.276
8609,Tim Federowicz,,51,177,162,33,5,15,16,11,51,1,0,0,0.204,0.257,0.34,0.597,0.26
sa3014886,J.D. Mundy,BAL,79,336,308,73,13,45,53,26,82,2,1,0,0.237,0.301,0.419,0.719,0.308
sa3004255,Renae Martinez,ARI,81,327,297,60,7,31,27,24,96,4,2,1,0.202,0.269,0.32,0.589,0.261
sa3014475,Drew Millas,WSN,91,402,361,84,6,58,35,32,75,3,7,2,0.233,0.298,0.327,0.625,0.276
sa737626,Ben DeLuzio,STL,88,338,309,66,3,32,21,20,92,6,14,6,0.214,0.273,0.307,0.58,0.257
sa3005373,Braxton Martinez,LAA,85,365,321,73,14,51,49,35,68,3,0,1,0.227,0.307,0.417,0.724,0.312
sa550391,Damek Tomscha,,92,354,326,71,9,38,35,19,90,7,1,1,0.218,0.274,0.347,0.621,0.272
sa873706,David MacKinnon,LAA,97,414,363,89,10,58,45,42,89,4,1,1,0.245,0.328,0.388,0.716,0.314
sa873990,Vince Fernandez,OAK,81,305,270,49,11,32,31,25,125,6,2,1,0.181,0.264,0.352,0.616,0.268
sa3014441,Gage Workman,DET,124,536,501,104,13,50,49,29,165,2,16,4,0.208,0.253,0.347,0.6,0.259
20352,Ernie Clement,CLE,90,375,345,83,3,38,23,19,50,3,7,5,0.241,0.284,0.328,0.611,0.268
sa3010403,Bryce Windham,CHC,54,211,192,48,2,29,17,17,32,0,2,1,0.25,0.31,0.333,0.643,0.285
7949,Tim Beckham,,81,321,298,70,13,37,42,20,87,2,2,2,0.235,0.287,0.423,0.709,0.304
17710,Matt Beaty,LAD,128,324,293,75,8,42,50,22,55,9,3,1,0.256,0.327,0.399,0.726,0.317
sa3006787,David Fry,MIL,110,446,407,85,13,47,46,32,121,5,2,2,0.209,0.274,0.356,0.63,0.275
sa3009876,Peyton Burdick,MIA,105,456,399,81,16,48,42,47,140,8,5,4,0.203,0.298,0.373,0.672,0.295
14556,Max Moroff,,53,181,158,33,6,21,20,20,53,2,2,1,0.209,0.306,0.367,0.673,0.298
sa1170373,Anthony Mulrine,LAA,59,211,186,36,4,24,15,14,52,9,0,1,0.194,0.281,0.29,0.571,0.26
17098,Dustin Fowler,,112,453,421,98,12,48,43,24,130,4,8,2,0.233,0.279,0.366,0.645,0.279
15983,Clint Frazier,CHC,100,378,333,77,13,43,41,38,108,5,4,2,0.231,0.317,0.414,0.732,0.318
14523,Pedro Severino,MIL,111,400,360,83,10,34,46,33,99,3,1,0,0.231,0.298,0.361,0.659,0.288
sa917025,Cristian Perez,NYY,90,303,281,63,4,30,21,17,52,3,8,3,0.224,0.275,0.31,0.584,0.259
sa3014466,Alec Burleson,STL,126,528,493,120,17,66,63,29,107,0,2,1,0.243,0.284,0.383,0.667,0.288
15104,Jonathan Davis,MIL,106,350,305,62,8,44,30,29,94,12,11,3,0.203,0.296,0.334,0.63,0.282
18395,Travis Blankenhorn,NYM,102,385,357,81,12,40,39,23,114,3,5,2,0.227,0.279,0.378,0.657,0.284
sa597007,Jecksson Flores,WSN,98,375,338,77,6,36,29,25,69,4,8,3,0.228,0.286,0.328,0.615,0.271
sa3014532,Jesse Franklin V,ATL,112,447,409,87,23,41,54,27,130,5,14,3,0.213,0.268,0.433,0.701,0.297
sa3006735,Justin Toerner,STL,92,372,329,64,7,41,28,34,112,7,5,4,0.195,0.283,0.295,0.578,0.26
sa3008251,Jax Biggers,TEX,92,337,308,70,4,38,25,21,64,2,10,4,0.227,0.278,0.308,0.587,0.26
sa872732,Daniel Brito,PHI,92,365,337,79,7,33,25,22,80,3,4,7,0.234,0.286,0.347,0.633,0.276
sa3007655,Kyle Mottice,,47,186,159,36,0,22,9,15,29,9,8,3,0.226,0.328,0.27,0.598,0.279
sa3008602,Víctor Víctor Mesa,MIA,96,413,384,89,3,39,24,20,78,3,8,2,0.232,0.273,0.289,0.562,0.249
19267,Will Craig,,101,420,378,85,15,47,50,31,114,8,1,2,0.225,0.295,0.397,0.692,0.298
11287,Bryan Holaday,,62,173,157,35,4,16,19,11,37,2,1,1,0.223,0.279,0.35,0.629,0.272
sa3004164,Mark Contreras,MIN,113,444,399,80,13,51,49,30,150,9,11,6,0.201,0.27,0.361,0.631,0.274
sa917939,Andy Yerzy,ARI,105,433,376,79,24,56,56,41,123,12,6,1,0.21,0.306,0.434,0.74,0.319
sa918049,Michael Cruz,LAA,59,208,187,39,8,24,24,14,56,5,0,0,0.209,0.28,0.374,0.655,0.284
13910,Patrick Kivlehan,,105,412,374,80,15,47,50,27,125,6,3,2,0.214,0.276,0.388,0.663,0.286
sa918012,Conner Capel,STL,115,432,395,89,10,46,40,30,99,2,6,4,0.225,0.281,0.352,0.633,0.276
10030,Chris Owings,,96,305,279,62,9,34,32,23,92,2,8,4,0.222,0.285,0.384,0.669,0.289
sa3004140,Bubba Thompson,TEX,102,442,414,95,11,40,37,22,120,3,16,5,0.229,0.272,0.372,0.644,0.278
13663,Jack López,,89,338,310,75,7,41,32,17,80,4,10,2,0.242,0.287,0.361,0.649,0.282
15156,Ian Miller,,115,456,416,103,5,53,36,30,84,5,19,4,0.248,0.304,0.341,0.645,0.283
sa3005271,Ezequiel Duran,TEX,108,477,439,99,12,56,47,27,127,5,11,5,0.226,0.276,0.358,0.634,0.274
sa3007637,Scott Schreiber,HOU,85,348,325,81,12,43,42,16,83,5,5,3,0.249,0.294,0.406,0.7,0.301
sa738703,Jordan Cowan,,100,411,374,89,4,40,27,31,82,3,12,3,0.238,0.3,0.316,0.616,0.274
16192,Derek Fisher,MIN,93,323,287,61,11,41,35,33,100,2,6,2,0.213,0.297,0.383,0.68,0.297
14691,Harold Castro,DET,121,422,397,109,5,40,40,15,90,1,3,3,0.275,0.299,0.358,0.657,0.285
21558,Matt Vierling,PHI,116,445,403,94,10,48,40,28,107,6,10,3,0.233,0.29,0.36,0.649,0.282
14137,Tim Lopes,COL,118,447,409,105,10,48,46,28,97,4,14,6,0.257,0.308,0.403,0.711,0.307
sa1169919,Nick Sogard,BOS,85,352,317,76,7,37,29,25,72,3,8,4,0.24,0.298,0.35,0.648,0.283
sa3005472,Jeferson Morales,MIN,101,411,376,85,13,50,49,26,84,7,6,2,0.226,0.288,0.383,0.671,0.292
12983,Charles Tilson,,87,323,297,71,3,34,26,19,68,4,9,2,0.239,0.293,0.313,0.606,0.269
sa3010844,Nick Conti,,38,135,117,23,3,13,10,14,37,2,2,1,0.197,0.291,0.325,0.616,0.275
12495,T.J. Rivera,,81,274,247,57,8,32,32,14,61,3,1,1,0.231,0.275,0.381,0.656,0.281
1159,Andrew Romine,CHC,93,312,291,71,3,35,21,17,65,2,5,4,0.244,0.289,0.316,0.606,0.268
sa3004726,Chris Sharpe,PIT,114,421,373,74,8,45,35,35,133,8,7,5,0.198,0.279,0.327,0.606,0.269
22164,Payton Henry,MIA,96,374,340,68,8,35,29,22,128,9,0,1,0.2,0.265,0.312,0.577,0.255
sa828692,Michael Gettys,,103,412,379,76,14,46,50,24,149,4,10,4,0.201,0.254,0.38,0.634,0.271
13151,José Briceño,,36,120,110,26,5,13,14,6,28,1,1,0,0.236,0.28,0.409,0.689,0.295
sa3008247,Bo Naylor,CLE,96,395,362,70,12,44,42,28,128,2,8,1,0.193,0.254,0.337,0.591,0.257
17689,Kevin Kramer,,105,392,347,74,9,44,40,33,114,5,2,3,0.213,0.287,0.343,0.63,0.276
sa829805,Travis Jones,,77,282,250,55,5,31,20,23,78,8,8,3,0.22,0.305,0.324,0.629,0.282
14453,Scott Heineman,,68,251,229,56,8,29,25,17,60,4,6,3,0.245,0.307,0.406,0.713,0.309
14678,Tzu-Wei Lin,,73,256,235,54,3,27,18,18,63,0,5,3,0.23,0.283,0.328,0.611,0.269
5667,Steven Souza Jr.,,67,242,215,45,9,24,30,22,77,3,3,1,0.209,0.29,0.395,0.686,0.296
sa3015018,Nick Raposo,STL,46,150,135,30,1,20,10,11,32,2,1,0,0.222,0.289,0.289,0.577,0.26
13012,John Andreoli,,88,353,306,59,7,38,27,41,117,2,7,2,0.193,0.29,0.31,0.6,0.27
27459,Yoshi Tsutsugo,PIT,121,439,377,85,15,49,50,52,104,2,0,1,0.225,0.32,0.401,0.72,0.313
sa738521,Charles Leblanc,MIA,111,449,411,87,10,49,40,34,137,1,4,2,0.212,0.272,0.328,0.601,0.264
16953,Chadwick Tromp,ATL,65,228,209,45,8,25,25,14,58,2,0,1,0.215,0.269,0.378,0.647,0.279
16429,Jason Martin,,109,387,354,81,13,44,53,28,96,1,6,5,0.229,0.286,0.398,0.684,0.294
sa3011890,Davis Wendzel,TEX,66,271,245,53,6,32,25,19,67,5,1,2,0.216,0.285,0.331,0.616,0.273
13355,Luke Maile,MIL,57,176,157,32,2,20,15,16,52,2,1,0,0.204,0.286,0.293,0.579,0.262
sa3004753,Bryce Johnson,SFG,110,459,412,91,5,51,33,42,136,3,21,6,0.221,0.297,0.313,0.61,0.272
7290,Jake Elmore,,98,360,325,83,3,38,27,28,59,4,3,6,0.255,0.32,0.335,0.656,0.29
sa1169761,Johnny Rizer,BAL,96,395,372,88,10,44,41,17,100,4,8,3,0.237,0.277,0.366,0.642,0.279
sa3009882,Logan Driscoll,TBR,57,233,214,46,5,23,20,14,67,2,1,1,0.215,0.267,0.341,0.608,0.265
sa3007823,Connor Kaiser,PIT,69,266,235,42,5,25,19,26,76,2,2,1,0.179,0.265,0.277,0.542,0.246
sa3017075,Luke Waddell,ATL,35,134,123,29,5,15,14,8,27,1,2,1,0.236,0.286,0.39,0.676,0.292
sa3010039,Will Brennan,CLE,103,446,406,106,5,60,36,29,75,6,10,5,0.261,0.318,0.362,0.68,0.299
17893,Tyler Nevin,BAL,122,495,446,105,16,56,54,39,108,4,2,1,0.235,0.301,0.395,0.695,0.302
sa3007646,Clayton Daniel,LAD,63,229,210,48,3,25,19,16,42,1,1,2,0.229,0.285,0.319,0.604,0.267
sa920180,Jhailyn Ortiz,PHI,104,429,394,83,16,45,47,28,131,6,2,1,0.211,0.273,0.368,0.641,0.278
sa738300,Narciso Crook,CHC,106,360,325,72,11,41,42,27,108,6,7,3,0.222,0.292,0.388,0.68,0.296
sa915708,Dane Myers,DET,47,183,167,41,4,23,15,9,49,3,2,1,0.246,0.293,0.371,0.664,0.288
sa548175,Matt Lipka,,104,370,338,75,9,41,34,23,98,4,17,6,0.222,0.278,0.355,0.633,0.276
11400,Ronald Torreyes,PHI,112,380,352,86,8,37,39,18,46,3,2,1,0.244,0.285,0.355,0.64,0.277
17738,Chris Shaw,,111,422,386,90,19,51,59,29,129,5,1,1,0.233,0.294,0.443,0.737,0.314
17807,Drew Jackson,OAK,84,310,271,54,6,37,28,30,96,5,13,3,0.199,0.289,0.31,0.599,0.268
sa3003219,Rafael Lantigua,TOR,96,392,364,82,10,41,35,24,91,2,14,6,0.225,0.276,0.363,0.638,0.277
sa3004885,Mason Martin,PIT,125,514,462,96,23,59,73,35,181,8,1,2,0.208,0.273,0.42,0.692,0.295
21794,Sherten Apostel,TEX,90,356,324,71,10,40,35,25,102,4,0,0,0.219,0.282,0.364,0.646,0.282
sa3008051,Josh Breaux,NYY,86,361,336,72,15,38,48,19,103,1,1,0,0.214,0.256,0.39,0.646,0.276
18872,Jahmai Jones,BAL,116,460,417,94,13,49,43,35,120,3,9,5,0.225,0.288,0.372,0.66,0.287
sa3006724,Grant Williams,BOS,101,368,343,85,3,33,24,18,48,3,7,6,0.248,0.29,0.329,0.619,0.272
sa738999,Robbie Tenerowicz,CIN,89,343,309,70,10,38,36,20,90,8,4,4,0.227,0.288,0.372,0.66,0.288
19151,Estevan Florial,NYY,98,413,371,76,13,43,41,36,139,2,11,7,0.205,0.277,0.358,0.636,0.278
11145,Christian Colón,,111,444,395,94,10,50,43,31,60,7,8,7,0.238,0.301,0.367,0.668,0.292
sa1115496,Spencer Horwitz,TOR,103,456,411,101,11,61,47,37,77,3,3,2,0.246,0.311,0.38,0.69,0.302
sa599531,Drew Stankiewicz,ARI,44,155,139,31,1,14,9,14,39,0,1,0,0.223,0.292,0.324,0.616,0.273
sa3010009,Jake Alu,WSN,95,360,339,82,8,38,33,16,82,3,7,2,0.242,0.281,0.363,0.644,0.28
3516,Eric Hosmer,SDP,143,573,522,134,14,57,72,43,115,4,4,4,0.257,0.316,0.387,0.703,0.305
