playerid,Name,Team,G,PA,AB,H,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA
7476,Alex Avila,,48,148,121,22,4,10,13,24,53,2,0,0,0.182,0.327,0.331,0.657,0.294
sa918192,Samad Taylor,TOR,99,405,361,82,14,50,41,32,124,5,19,6,0.227,0.296,0.388,0.684,0.295
21538,Nick Fortes,MIA,102,389,349,79,9,48,38,28,73,7,4,1,0.226,0.295,0.358,0.653,0.285
sa3014531,Joey Wiemer,MIL,116,500,455,108,21,62,62,36,127,5,15,3,0.237,0.299,0.413,0.712,0.305
13593,José Peraza,NYY,115,373,346,87,9,44,38,18,55,6,7,3,0.251,0.298,0.382,0.68,0.294
19997,Santiago Espinal,TOR,115,408,375,95,5,44,31,28,65,2,7,5,0.253,0.308,0.347,0.655,0.288
sa737824,Jamie Westbrook,MIL,107,430,388,92,14,52,50,28,86,6,2,1,0.237,0.295,0.399,0.695,0.299
sa3010703,Andrew Navigato,DET,97,368,333,71,8,41,31,25,91,5,7,4,0.213,0.276,0.327,0.603,0.266
sa913274,Corey Julks,HOU,99,421,388,90,9,38,32,30,109,2,10,5,0.232,0.29,0.363,0.653,0.284
10711,Arismendy Alcántara,,89,336,308,70,11,38,39,24,105,1,7,1,0.227,0.284,0.396,0.68,0.291
19896,Connor Wong,BOS,85,351,328,74,12,38,41,19,122,3,7,2,0.226,0.274,0.402,0.676,0.29
sa881850,Ronaldo Hernández,BOS,106,423,397,95,12,44,47,15,87,6,2,1,0.239,0.275,0.393,0.668,0.286
11205,Adam Eaton,,112,446,391,95,9,62,36,38,92,10,7,1,0.243,0.325,0.371,0.696,0.308
sa3005579,Jhonkensy Noel,CLE,83,345,324,78,14,53,62,14,82,4,5,2,0.241,0.279,0.42,0.699,0.294
sa829203,Michael Papierski,HOU,102,410,352,67,7,51,30,48,106,7,1,4,0.19,0.299,0.287,0.586,0.269
18032,Mark Mathias,MIL,98,394,350,80,7,42,35,33,94,5,9,2,0.229,0.301,0.351,0.652,0.287
sa596560,Esteban Quiroz,TBR,78,302,262,58,8,40,36,33,76,4,1,0,0.221,0.316,0.366,0.682,0.302
sa3010279,Dustin Harris,TEX,116,482,443,118,14,67,58,29,90,4,13,2,0.266,0.315,0.406,0.722,0.312
13770,Rob Refsnyder,BOS,77,274,245,62,6,33,28,25,69,2,1,1,0.253,0.325,0.392,0.717,0.312
sa3014944,Francisco Urbaez,CIN,104,423,389,105,5,57,30,29,66,5,2,1,0.27,0.329,0.365,0.694,0.306
19615,Luis Barrera,OAK,96,380,348,80,4,42,30,25,82,2,8,3,0.23,0.284,0.333,0.617,0.271
5452,Ji-Man Choi,TBR,101,376,318,72,12,40,48,51,105,3,1,1,0.226,0.335,0.396,0.731,0.32
sa3010151,Greg Jones,TBR,73,322,294,63,7,33,26,23,103,4,18,3,0.214,0.28,0.333,0.613,0.27
20034,Hunter Owen,PIT,103,386,351,74,16,41,46,21,135,10,2,2,0.211,0.273,0.39,0.664,0.286
19331,Jose Rojas,LAA,116,472,432,99,16,59,54,35,111,1,5,2,0.229,0.287,0.403,0.689,0.296
sa917339,Jose Fermin,CLE,102,405,371,95,8,55,37,21,52,8,6,5,0.256,0.308,0.369,0.678,0.297
17273,Jorge Mateo,BAL,123,435,412,98,10,46,39,17,120,4,17,8,0.238,0.274,0.393,0.667,0.285
sa601044,Christian Lopes,,99,391,343,76,9,45,36,36,100,6,7,4,0.222,0.304,0.356,0.66,0.291
sa3010152,CJ Abrams,SDP,50,217,199,48,4,29,22,13,47,2,11,3,0.241,0.292,0.362,0.653,0.285
sa3014511,Nick Loftin,KCR,98,443,410,106,9,64,45,26,68,5,6,1,0.259,0.31,0.383,0.693,0.302
sa3007643,Terrin Vavra,BAL,76,339,299,73,7,39,27,33,71,2,8,4,0.244,0.32,0.375,0.695,0.305
20325,Alex Kirilloff,MIN,85,351,327,88,12,37,44,20,81,3,3,3,0.269,0.316,0.434,0.75,0.321
sa3006783,Marty Costes,HOU,93,373,324,81,6,54,32,34,71,9,7,3,0.25,0.335,0.358,0.693,0.308
15674,Reese McGuire,TOR,93,303,276,65,6,31,22,20,62,2,1,0,0.236,0.29,0.362,0.652,0.283
