,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
34,1,Brewbi...,Michael Conforto,24.9,4.3,6.3,1.2,4.6,3.5,6.6,0.4,0.1,0.255,0.355,0.442,107.0,SF,RF,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,72,5,0,0,0.0,h,-0.5636431694316348,,,1.8888234133851967,1.2038627173561578,2.210632300929414,-0.09251772145818812,-1.1350323610921316,4.075768349120448,,,,,,0.0,4.075768349120448,"['OF', 'DH']"
35,2,Brewbi...,Juan Soto,20.2,3.9,6.0,1.2,3.4,6.2,4.2,0.4,0.2,0.299,0.463,0.555,117.0,SD,RF,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,93,5,0,0,0.0,h,0.43190393483859335,,,1.2853996764058058,1.2038627173561578,0.5353100639021896,-0.09251772145818812,0.8697434290193995,3.801798165225364,,,,,,0.0,3.801798165225364,"['OF', 'DH']"
36,3,Brewbi...,Christopher Morel,20.4,4.0,5.6,1.1,3.7,2.1,5.8,0.4,0.2,0.273,0.342,0.505,148.0,CHC,CF,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,4,0,13,4,24,5,0,0,0.0,h,-0.023225729172906107,,,1.4362556106506537,0.8703335382853536,0.9541406231589962,-0.09251772145818812,-0.04677064435605938,3.1214414062807556,,,,,,0.0,3.1214414062807556,"['2B', 'OF', 'MI', 'DH']"
37,4,Brewbi...,Tyler O'Neill,21.1,3.7,5.4,1.0,3.2,2.1,7.5,0.7,0.2,0.256,0.33,0.455,209.0,STL,LF,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,28,5,0,0,0.0,h,-0.41617955321315314,,,0.9836878079161104,0.5368043592145487,0.25608969106431917,0.6520296559910342,-0.8380785691027323,1.5905329450832801,,,,,,0.0,1.5905329450832801,"['OF', 'DH']"
38,5,Brewbi...,Michael Harris,19.9,3.2,5.5,0.7,2.5,1.2,4.4,1.1,0.1,0.275,0.325,0.465,229.0,ATL,CF,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,70,5,0,0,0.0,h,0.014598430855842004,,,0.22940813669187143,-0.46378317799786534,-0.721181613868229,1.644759492589998,0.02939748468744163,0.7186003221032167,,,,,,0.0,0.7186003221032167,"['OF', 'DH']"
39,6,Brewbi...,Austin Riley,21.1,3.8,6.0,1.0,3.1,1.8,5.1,0.1,0.0,0.286,0.352,0.495,230.0,ATL,3B,Brewbirds,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,92,0,0,92,0,5,0,0,0.0,h,0.1838204467868465,,,1.1345437421609577,0.5368043592145487,0.11647950464538362,-0.8370650989074105,0.37016709693098254,1.320929604044462,,,,,,0.0,1.320929604044462,"['3B', 'CI', 'DH']"
40,7,Brewbi...,Sean Murphy,15.7,2.7,4.8,1.0,3.6,1.6,4.1,0.0,0.0,0.302,0.379,0.576,278.0,ATL,C,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0,0,0,0,0,0,5,0,0,0.0,h,0.4723213750973221,,,-0.5248715345323676,0.5368043592145487,0.8145304367400606,-1.0852475580571515,0.9511337573940423,0.6923494607591326,,,,,,0.0,0.6923494607591326,"['C', 'DH']"
41,8,Brewbi...,Jake Fraley,15.8,2.5,4.7,0.7,3.0,1.6,3.2,0.7,0.2,0.295,0.365,0.486,302.0,CIN,LF,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,70,5,0,0,0.0,h,0.3447565430915729,,,-0.8265834030220635,-0.46378317799786534,-0.02313068177355192,0.6520296559910342,0.6942509983785997,0.03278339157615329,,,,,,0.0,0.03278339157615329,"['OF', 'DH']"
42,9,Brewbi...,Gleyber Torres,21.6,3.2,6.1,0.8,2.6,2.0,4.1,0.5,0.3,0.28,0.344,0.447,317.0,NYY,2B,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,82,0,0,82,0,0,5,0,0,0.0,h,0.1459962867580984,,,0.22940813669187143,-0.13025399892706038,-0.5815714274492935,0.15566473769155265,0.29399896788748153,-0.03275358410544821,,,,,,0.0,-0.03275358410544821,"['2B', 'MI', 'DH']"
43,10,Brewbi...,Spencer Torkelson,22.2,3.5,5.8,0.9,3.4,2.7,5.8,0.1,0.0,0.259,0.346,0.448,338.0,DET,1B,Brewbirds,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89,0,0,0,0,89,0,5,0,0,0.0,h,-0.31939270527639785,,,0.6819759394264145,0.20327518014374418,0.5353100639021896,-0.8370650989074105,-0.6431747531883175,-0.05967866862337967,,,,,,0.0,-0.05967866862337967,"['1B', 'CI', 'DH']"
