"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Jorge Polanco","MIN","129","557","506","138","29","3","22","79","78","44","101","3","8","6","",".272",".332",".475",".807",".344","","-0.8","-1.7","","12.1","-0.8","3.0","13152"
"Pete Alonso","NYM","127","541","472","122","21","1","33","72","93","52","126","13","1","0","",".259",".346",".521",".867",".365","","-0.4","-1.1","","23.3","-11.5","3.0","19251"
"Austin Riley","ATL","128","530","476","129","26","1","27","69","79","44","143","8","1","1","",".271",".340",".501",".841",".357","","-0.7","-3.1","","13.2","-1.2","3.0","18360"
"Joey Gallo","NYY","114","448","365","74","12","1","31","66","71","76","169","5","5","1","",".203",".345",".491",".836",".356","","0.5","3.3","","15.4","-1.1","3.0","14128"
"Byron Buxton","MIN","78","296","275","75","20","2","19","49","47","13","77","5","10","2","",".272",".315",".565",".880",".367","","1.1","6.7","","13.5","5.4","2.9","14161"
"Ty France","SEA","132","548","486","140","25","2","19","71","75","37","95","21","1","1","",".288",".362",".462",".824",".356","","-0.2","-0.4","","20.7","-10.4","2.9","17982"
"J.P. Crawford","SEA","132","554","493","133","27","3","11","69","49","49","98","6","4","4","",".270",".342",".400",".742",".324","","-1.3","-1.3","","5.3","4.5","2.9","15491"
"Austin Meadows","DET","124","508","453","122","27","4","23","69","89","47","99","6","6","4","",".270",".344",".498",".842",".357","","-0.9","1.2","","16.0","-4.9","2.9","15672"
"Jose Altuve","HOU","111","501","449","121","21","2","20","80","59","45","75","3","6","3","",".269",".339",".458",".797",".341","","-1.2","-0.8","","10.6","0.7","2.8","5417"
"Bryan Reynolds","PIT","132","542","476","130","26","6","18","73","65","58","114","5","4","2","",".273",".357",".466",".824",".352","","-0.5","-4.8","","13.9","-3.6","2.8","19326"
"Jake Cronenworth","SDP","121","515","456","122","25","6","14","72","56","46","76","7","5","3","",".268",".342",".439",".782",".336","","-0.5","2.7","","7.9","3.1","2.8","18036"
"Willy Adames","MIL","127","505","450","113","23","2","22","68","62","50","144","1","5","4","",".252",".327",".454",".781",".335","","-1.0","1.3","","3.8","7.0","2.8","15986"
"Tim Anderson","CHW","116","496","472","141","25","2","18","78","52","17","99","3","16","5","",".298",".326",".469",".795",".338","","0.7","-4.5","","10.2","0.6","2.8","15172"
"Shohei Ohtani","LAA","127","500","431","111","21","5","31","77","82","64","144","2","18","7","",".257",".355",".541",".896",".372","","0.3","0.0","","23.2","-13.2","2.7","19755"
"Tyler O'Neill","STL","127","480","429","111","21","2","28","76","78","37","147","9","13","4","",".259",".328",".513",".841",".355","","0.3","1.0","","16.0","-5.1","2.7","15711"
"Max Kepler","MIN","109","444","387","93","21","2","20","60","58","48","79","6","7","2","",".240",".331",".464",".795",".340","","0.4","7.1","","9.0","2.8","2.7","12144"
"Yasmani Grandal","CHW","102","404","328","74","13","1","18","48","57","69","96","3","1","1","",".227",".364",".437",".801",".350","","-0.8","2.7","","10.8","2.3","2.7","11368"
"DJ LeMahieu","NYY","120","535","483","137","23","2","11","74","53","45","73","3","4","2","",".283",".347",".404",".751",".328","","-0.6","4.1","","4.9","3.4","2.7","9874"
"Bobby Witt Jr.","KCR","110","491","447","118","24","3","17","57","54","31","109","5","20","7","",".264",".318",".443",".761",".326","","0.9","4.3","","3.6","6.0","2.6","25764"
