last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,2019,36,7.9,36.1,120.6,92.7,101,85.1,445,184,435,17,13.5,47.2,10,27.8,13.9
Lewis, Kyle,641786,2019,43,10.4,41.9,108.9,90.3,98.3,83.8,434,170,408,20,13.7,46.5,10,23.3,13.3
Cron, Kevin,605196,2019,44,14.2,40.9,113.8,89.9,97.9,79.3,453,206,409,22,12.5,50,10,22.7,12.8
Ríos, Edwin,621458,2019,26,5.4,50,112.5,95,101.7,87.3,473,198,417,17,14.5,65.4,7,26.9,12.5
Cruz, Nelson,443558,2019,326,13.1,38.3,117,93.7,99.2,89,478,198,411,168,17.2,51.5,65,19.9,12.5
Sánchez, Gary,596142,2019,272,19.2,33.5,118.3,91.1,96,86.2,481,209,417,112,13.6,41.2,52,19.1,11.7
Gallo, Joey,608336,2019,129,22.4,34.9,115.4,94.8,101.4,82.7,467,239,418,68,12.8,52.7,34,26.4,11.4
Garlick, Kyle,664247,2019,29,25,48.3,105.5,91.6,94.7,87,413,247,397,12,11.4,41.4,6,20.7,11.3
Trout, Mike,545361,2019,354,22.2,44.1,116.6,90.9,95,84.2,486,234,419,155,16.8,43.8,66,18.6,11
Sanó, Miguel,593934,2019,222,15.9,36.5,114.2,94.4,99.6,89,496,207,416,127,15.2,57.2,47,21.2,10.7
Cron, C.J.,543068,2019,353,12.8,34,115.9,91.1,96.2,87.7,464,187,404,158,16.2,44.8,53,15,10.6
Judge, Aaron,592450,2019,238,11.2,39.1,118.1,96,99.6,91.8,467,200,396,136,16.9,57.1,47,19.7,10.5
Yelich, Christian,592885,2019,374,11.3,33.2,117.9,93.3,96.8,91,462,185,407,182,17.6,48.7,59,15.8,10.2
Soler, Jorge,624585,2019,415,15.5,34.9,115.7,92.6,97.2,88.8,465,200,414,207,17.1,49.9,69,16.6,10.2
Alvarez, Yordan,670541,2019,221,13.4,39.4,117.9,92.2,96.5,86.5,454,203,410,107,16.6,48.4,37,16.7,10
Freese, David,501896,2019,118,11,36.4,110,91.5,93.3,91.3,428,173,391,59,17.6,50,18,15.3,9.7
Alonso, Pete,624413,2019,417,14.8,36.9,118.3,90.7,96.6,85.9,489,191,414,176,13.7,42.2,66,15.8,9.5
Castro, Jason,488771,2019,151,14.4,41.7,110.5,91.8,96.5,85.8,443,207,415,71,13.7,47,26,17.2,9.5
Donaldson, Josh,518626,2019,396,13.3,33.3,114.2,92.9,98.1,89,443,186,406,200,16.6,50.5,62,15.7,9.4
Springer, George,543807,2019,370,10.5,31.6,114.3,89.8,95.4,85.7,474,177,408,160,15.8,43.2,52,14.1,9.4
Bruce, Jay,457803,2019,231,21.6,33.8,109.2,90.2,95.7,84.1,437,222,398,97,14,42,31,13.4,9.3
Reyes, Franmil,614177,2019,345,9.5,33.3,115,93.3,98.2,88.6,457,182,408,176,16.1,51,51,14.8,9.3
Wallach, Chad,595453,2019,36,14.3,27.8,108,89.8,95.4,83,405,198,405,14,13.2,38.9,5,13.9,9.3
Duvall, Adam,594807,2019,82,25.6,30.5,112.3,90.7,96.3,83.5,440,228,420,26,10.1,31.7,12,14.6,9.2
Acuña Jr., Ronald,660670,2019,439,14.2,40.5,115.9,90.6,95.6,84.8,466,192,416,208,15,47.4,66,15,9.2
Garver, Mitch,641598,2019,226,15.3,33.6,109.7,91.1,97.2,84.8,443,200,400,113,21.5,50,33,14.6,9.2
Lowe, Brandon,664040,2019,184,19.2,40.2,114.3,91.6,96,85.6,455,220,403,85,12,46.2,30,16.3,9.2
Olson, Matt,621566,2019,346,19.4,36.1,111.9,92.7,97.2,89,450,207,400,171,16.5,49.4,50,14.5,9.1
Thomas, Lane,657041,2019,30,6.4,26.7,108.7,91.7,97.6,89,410,160,378,13,18.3,43.3,4,13.3,9.1
Schwarber, Kyle,656941,2019,379,15.5,35.6,117.6,93.5,97.9,90,473,201,406,193,17.7,50.9,55,14.5,9
Happ, Ian,664023,2019,102,16,27.5,112.7,89.8,95.5,86.3,474,185,405,39,11.9,38.2,14,13.7,9
Avila, Alex,488671,2019,96,9.4,42.7,107.9,91.4,96.6,86.6,448,185,395,47,15.6,49,18,18.8,9
Abreu, José,547989,2019,492,10.9,35.2,117.9,92.1,96,89.6,447,170,404,236,17.4,48,62,12.6,8.9
Greinke, Zack,425844,2019,42,5.9,33.3,106.5,88.9,93.2,87.1,413,159,394,13,12.9,31,5,11.9,8.9
Kendrick, Howie,435062,2019,290,10.8,36.9,112.4,91.7,94.4,90.4,435,176,411,140,21.1,48.3,33,11.4,8.9
Bellinger, Cody,641355,2019,455,17.8,39.8,110.6,91.2,95,86.4,442,209,405,207,17.3,45.5,58,12.7,8.8
Adams, Matt,571431,2019,196,19.6,39.8,112.1,88.6,95.6,80.2,438,210,405,86,13.1,43.9,29,14.8,8.7
Rendon, Anthony,543685,2019,468,19.5,38.7,107.7,90.4,93.5,88.3,431,209,398,218,19.3,46.6,56,12,8.7
Harper, Bryce,547180,2019,399,13.7,37.6,116.4,91.9,96.8,86.5,466,198,411,182,13.5,45.6,59,14.8,8.7
Báez, Javier,595879,2019,377,7.7,36.3,114.1,91.1,96.1,86.7,460,174,404,163,14.8,43.2,48,12.7,8.6
Bell, Josh,605137,2019,416,13,34.9,116.2,92.4,96.1,89.9,474,186,411,193,16.4,46.4,52,12.5,8.5
Meadows, Austin,640457,2019,399,16.7,38.1,115.4,90.4,94.7,85.8,447,206,399,171,16.2,42.9,50,12.5,8.5
