,,,,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,,,,,lg_zBA,,,
,,,MEAN,145,533.4,600.4,143.7,24.4,82.5,78.9,55.3,6.6,8.6,0.269,,,,,0.20088,,,
,,,STDEV,10.8,53.6,59.6,22.5,10.4,17.6,19.9,20.9,5,8.8,0.026,,,,,13.92049032,,,
,,,,,,,,,,,,,,,,,,,,,,
playerid,Year,Name,Team,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,zSB,zHR,zR,zRBI,zBA,zAVG,Total Z,adjZ
15223,2021,Adam Frazier,- - -,155,577,639,176,5,83,43,48,10,10,0.305025997,0.1591,-1.865384615,0.028409091,-1.804020101,20.787,1.478836098,-2.0031,-1.301994601
11445,2021,Mark Canha,OAK,141,519,625,120,17,93,61,77,27,12,0.231213873,0.3864,-0.711538462,0.596590909,-0.899497487,-19.611,-1.423216851,-2.0513,-1.333343866
10243,2019,Randal Grichuk,TOR,151,586,628,136,31,75,80,35,5,2,0.232081911,-0.7500,0.634615385,-0.426136364,0.055276382,-21.634,-1.568542192,-2.0548,-1.335611413
5209,2019,Alex Gordon,KCR,150,556,633,148,13,77,76,51,19,5,0.26618705,-0.4091,-1.096153846,-0.3125,-0.145728643,-1.564,-0.126782632,-2.0903,-1.35866642
7859,2021,Charlie Blackmon,COL,150,514,582,139,13,76,78,54,11,3,0.270428016,-0.6364,-1.096153846,-0.369318182,-0.045226131,0.734,0.03829776,-2.1088,-1.370696623
19363,2021,Austin Hays,BAL,131,488,529,125,22,73,71,28,9,4,0.256147541,-0.5227,-0.230769231,-0.539772727,-0.396984925,-6.272,-0.46498911,-2.1552,-1.400908122
4940,2019,Jason Heyward,CHC,147,513,589,129,21,78,62,68,5,8,0.251461988,-0.0682,-0.326923077,-0.255681818,-0.849246231,-8.997,-0.660743709,-2.1608,-1.404504825
17901,2019,Andrew Benintendi,BOS,138,541,615,144,13,72,68,59,7,10,0.266173752,0.1591,-1.096153846,-0.596590909,-0.547738693,-1.529,-0.124268353,-2.2057,-1.43367958
18314,2019,Dansby Swanson,ATL,127,483,545,121,17,77,65,51,5,10,0.250517598,0.1591,-0.711538462,-0.3125,-0.698492462,-8.927,-0.65571515,-2.2192,-1.442450857
6609,2019,Freddy Galvis,- - -,147,557,589,145,23,67,70,28,1,4,0.26032316,-0.5227,-0.134615385,-0.880681818,-0.447236181,-4.833,-0.361616314,-2.3469,-1.525470031
20126,2021,Dylan Carlson,STL,149,542,619,144,18,79,65,57,11,2,0.265682657,-0.7500,-0.615384615,-0.198863636,-0.698492462,-1.798,-0.143592385,-2.4063,-1.564116514
17992,2019,David Fletcher,LAA,154,596,653,173,6,83,49,55,0,8,0.290268456,-0.0682,-1.769230769,0.028409091,-1.502512563,12.676,0.896169841,-2.4153,-1.569975042
5038,2021,Josh Donaldson,MIN,135,457,543,113,26,73,72,74,4,0,0.24726477,-0.9773,0.153846154,-0.539772727,-0.346733668,-9.933,-0.72798272,-2.4379,-1.584645198
1177,2019,Albert Pujols,LAA,131,491,545,120,23,55,93,43,3,3,0.244399185,-0.6364,-0.134615385,-1.5625,0.708542714,-12.079,-0.882143956,-2.5071,-1.629602171
