,,,,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,,,,,lg_zBA,,,
,,,MEAN,145,533.4,600.4,143.7,24.4,82.5,78.9,55.3,6.6,8.6,0.269,,,,,0.20088,,,
,,,STDEV,10.8,53.6,59.6,22.5,10.4,17.6,19.9,20.9,5,8.8,0.026,,,,,13.92049032,,,
,,,,,,,,,,,,,,,,,,,,,,
playerid,Year,Name,Team,G,AB,PA,H,HR,R,RBI,BB,HBP,SB,AVG,zSB,zHR,zR,zRBI,zBA,zAVG,Total Z,adjZ
18401,2019,Ronald Acuna Jr.,ATL,156,626,715,175,41,127,101,76,9,37,0.279552716,3.2273,1.596153846,2.528409091,1.110552764,6.606,0.460121982,8.9225,5.799631766
11477,2019,Christian Yelich,MIL,130,489,580,161,44,100,97,80,8,30,0.329243354,2.4318,1.884615385,0.994318182,0.909547739,29.459,2.10180266,8.3221,5.409366396
15998,2019,Cody Bellinger,LAD,156,558,660,170,47,121,115,95,3,15,0.304659498,0.7273,2.173076923,2.1875,1.814070352,19.898,1.414973405,8.3169,5.405980715
19611,2021,Vladimir Guerrero Jr.,TOR,161,604,698,188,48,123,111,86,6,4,0.311258278,-0.5227,2.269230769,2.301136364,1.613065327,25.524,1.819125836,7.4798,4.861890165
17350,2019,Rafael Devers,BOS,156,647,702,201,32,129,115,48,4,8,0.310664606,-0.0682,0.730769231,2.642045455,1.814070352,26.957,1.922067612,7.0408,4.57650104
19612,2021,Bo Bichette,TOR,159,640,690,191,29,121,102,40,6,25,0.2984375,1.8636,0.442307692,2.1875,1.16080402,18.84,1.338970335,6.9932,4.545591967
16252,2021,Trea Turner,- - -,148,595,646,195,28,107,77,41,6,32,0.327731092,2.6591,0.346153846,1.392045455,-0.095477387,34.945,2.495897974,6.7977,4.418512018
12861,2019,Anthony Rendon,WSN,146,545,646,174,34,117,126,80,12,5,0.319266055,-0.4091,0.923076923,1.960227273,2.366834171,27.395,1.953532021,6.7946,4.416476661
17678,2019,Alex Bregman,HOU,156,554,690,164,41,122,112,119,9,5,0.296028881,-0.4091,1.596153846,2.244318182,1.663316583,14.974,1.061250233,6.1559,4.001366157
5361,2019,Freddie Freeman,ATL,158,597,692,176,38,113,121,87,6,6,0.29480737,-0.2955,1.307692308,1.732954545,2.115577889,15.407,1.092355459,5.9531,3.869531676
9777,2019,Nolan Arenado,COL,155,588,662,185,41,102,118,62,4,3,0.31462585,-0.6364,1.596153846,1.107954545,1.964824121,26.828,1.912800697,5.9454,3.864490222
13510,2021,Jose Ramirez,CLE,152,552,636,147,36,111,103,72,7,27,0.266304348,2.0909,1.115384615,1.619318182,1.211055276,-1.488,-0.121323054,5.9153,3.844973672
19709,2021,Fernando Tatis Jr.,SDP,130,478,546,135,42,99,97,62,2,25,0.282426778,1.8636,1.692307692,0.9375,0.909547739,6.418,0.44661671,5.8496,3.802245528
10155,2019,Mike Trout,LAA,134,470,600,137,45,110,104,110,16,11,0.291489362,0.2727,1.980769231,1.5625,1.261306533,10.57,0.744882066,5.8222,3.784420317
19755,2021,Shohei Ohtani,LAA,158,537,639,138,46,103,100,96,4,26,0.25698324,1.9773,2.076923077,1.164772727,1.060301508,-6.453,-0.477991525,5.8013,3.770831034
12564,2019,Trevor Story,COL,145,588,656,173,35,111,85,58,7,23,0.294217687,1.6364,1.019230769,1.619318182,0.306532663,14.828,1.050762096,5.6322,3.660934776
12161,2019,Xander Bogaerts,BOS,155,614,698,190,33,110,117,76,2,4,0.309446254,-0.5227,0.826923077,1.5625,1.914572864,24.834,1.769558616,5.5508,3.608037735
12533,2021,Marcus Semien,TOR,162,652,724,173,45,115,102,66,3,15,0.265337423,0.7273,1.980769231,1.846590909,1.16080402,-2.388,-0.185975949,5.5295,3.59414961
13611,2019,Mookie Betts,BOS,150,597,706,176,29,135,80,97,3,16,0.29480737,0.8409,0.442307692,2.982954545,0.055276382,15.407,1.092355459,5.4138,3.51897206
10071,2019,Jonathan Villar,BAL,162,642,714,176,24,111,73,61,4,40,0.274143302,3.5682,-0.038461538,1.619318182,-0.296482412,3.302,0.22277402,5.0753,3.298964545
20123,2019,Juan Soto,WSN,150,542,659,153,34,110,110,108,3,12,0.282287823,0.3864,0.923076923,1.5625,1.56281407,7.202,0.502936566,4.9377,3.209499277
9874,2019,DJ LeMahieu,NYY,145,602,655,197,26,109,102,46,2,5,0.327242525,-0.4091,0.153846154,1.505681818,1.16080402,35.062,2.50430285,4.9155,3.195103557
13613,2019,Ketel Marte,ARI,144,569,628,187,32,97,92,53,4,10,0.328646749,0.1591,0.730769231,0.823863636,0.658291457,33.939,2.423630405,4.7956,3.117169665
19251,2019,Pete Alonso,NYM,161,597,693,155,53,103,120,72,21,1,0.259631491,-0.8636,2.75,1.164772727,2.065326633,-5.593,-0.416212092,4.7003,3.055163088
12533,2019,Marcus Semien,OAK,162,657,747,187,33,123,92,87,2,10,0.284627093,0.1591,0.826923077,2.301136364,0.658291457,10.267,0.723115592,4.6686,3.034562309
13066,2021,Teoscar Hernandez,TOR,143,550,595,163,32,92,116,36,7,12,0.296363636,0.3864,0.730769231,0.539772727,1.864321608,15.05,1.066709811,4.5879,2.982159058
20123,2021,Juan Soto,WSN,151,502,654,157,29,111,95,145,2,9,0.312749004,0.0455,0.442307692,1.619318182,0.809045226,21.962,1.563244045,4.4794,2.911590299
11579,2021,Bryce Harper,PHI,141,488,599,151,35,101,84,100,5,13,0.30942623,0.5000,1.019230769,1.051136364,0.256281407,19.728,1.402761192,4.2294,2.749116326
5361,2021,Freddie Freeman,ATL,159,600,695,180,31,120,83,85,8,8,0.3,-0.0682,0.634615385,2.130681818,0.206030151,18.6,1.321729563,4.2249,2.746168814
9218,2021,Paul Goldschmidt,STL,158,603,679,177,31,102,99,67,4,12,0.293532338,0.3864,0.634615385,1.107954545,1.010050251,14.793,1.048247817,4.1872,2.721700563
17350,2021,Rafael Devers,BOS,156,591,664,165,38,101,113,62,7,5,0.279187817,-0.4091,1.307692308,1.051136364,1.713567839,6.021,0.4180976,4.0814,2.652912081
14221,2019,Jorge Soler,KCR,162,589,679,156,48,95,117,73,10,3,0.264855688,-0.6364,2.269230769,0.710227273,1.914572864,-2.441,-0.189783287,4.0679,2.644124589
11579,2019,Bryce Harper,PHI,157,573,682,149,35,98,114,99,6,15,0.260034904,0.7273,1.019230769,0.880681818,1.763819095,-5.137,-0.383454626,4.0075,2.60490736
6184,2019,J.D. Martinez,BOS,146,575,657,175,36,98,105,72,4,2,0.304347826,-0.7500,1.115384615,0.880681818,1.311557789,20.325,1.445647612,4.0033,2.602126693
7304,2021,Salvador Perez,KCR,161,620,665,169,48,88,121,28,13,1,0.272580645,-0.8636,2.269230769,0.3125,2.115577889,2.22,0.145046873,3.9787,2.586167459
16556,2021,Ozzie Albies,ATL,156,629,686,163,30,103,106,47,3,20,0.259141494,1.2955,0.538461538,1.164772727,1.361809045,-6.201,-0.459888715,3.9006,2.535395942
7859,2019,Charlie Blackmon,COL,140,580,634,182,32,112,86,40,9,2,0.313793103,-0.7500,0.730769231,1.676136364,0.35678392,25.98,1.851883303,3.8656,2.512622331
9241,2021,Starling Marte,- - -,120,467,526,145,12,89,55,43,13,47,0.310492505,4.3636,-1.192307692,0.369318182,-1.201005025,19.377,1.377546563,3.7172,2.416172454
9241,2019,Starling Marte,PIT,132,539,586,159,23,97,82,25,16,25,0.294990724,1.8636,-0.134615385,0.823863636,0.155778894,14.009,0.991927962,3.7006,2.405384457
12916,2019,Francisco Lindor,CLE,143,598,654,170,32,101,74,46,3,22,0.284280936,1.5227,0.730769231,1.051136364,-0.246231156,9.138,0.642012127,3.7004,2.405268995
14344,2021,Matt Olson,OAK,156,565,673,153,39,101,111,88,9,4,0.27079646,-0.5227,1.403846154,1.051136364,1.613065327,1.015,0.05848383,3.6038,2.342472861
11737,2021,Nick Castellanos,CIN,138,531,585,164,34,95,100,41,7,3,0.308851224,-0.6364,0.923076923,0.710227273,1.060301508,21.161,1.505702968,3.5629,2.315914273
12856,2019,George Springer,HOU,122,479,556,140,39,96,96,67,6,6,0.292275574,-0.2955,1.403846154,0.767045455,0.859296482,11.149,0.786475429,3.5212,2.288785833
17929,2021,Cedric Mullins II,BAL,159,602,675,175,30,91,59,59,8,30,0.290697674,2.4318,0.538461538,0.482954545,-1,13.062,0.923898749,3.3771,2.19513646
16556,2019,Ozzie Albies,ATL,160,640,702,189,24,102,86,54,4,15,0.2953125,0.7273,-0.038461538,1.107954545,0.35678392,16.84,1.195297235,3.3488,2.176750478
2434,2019,Nelson Cruz,MIN,120,454,521,141,41,81,108,56,7,0,0.310572687,-0.9773,1.596153846,-0.085227273,1.462311558,18.874,1.341412778,3.3374,2.169295818
15149,2019,Trey Mancini,BAL,154,602,679,175,35,106,97,63,9,1,0.290697674,-0.8636,1.019230769,1.335227273,0.909547739,13.062,0.923898749,3.3243,2.160774308
12552,2019,Eugenio Suarez,CIN,159,575,662,156,49,87,103,70,11,3,0.271304348,-0.6364,2.365384615,0.255681818,1.211055276,1.325,0.080753161,3.2765,2.129732302
6153,2019,Eduardo Escobar,ARI,158,636,699,171,35,94,118,50,3,5,0.268867925,-0.4091,1.019230769,0.653409091,1.964824121,-0.084,-0.020464538,3.2079,2.085140547
16252,2019,Trea Turner,WSN,122,521,569,155,19,96,57,43,3,35,0.297504798,3.0000,-0.519230769,0.767045455,-1.100502513,14.851,1.052414337,3.1997,2.079822231
18360,2021,Austin Riley,ATL,160,590,662,179,33,91,107,52,12,0,0.303389831,-0.9773,0.826923077,0.482954545,1.412060302,20.29,1.443133333,3.1878,2.072069044
2396,2019,Carlos Santana,CLE,158,573,686,161,34,110,93,108,3,4,0.280977312,-0.5227,0.923076923,1.5625,0.708542714,6.863,0.478583975,3.1500,2.04748462
15640,2021,Aaron Judge,NYY,148,550,633,158,39,89,98,75,3,6,0.287272727,-0.2955,1.403846154,0.369318182,0.959798995,10.05,0.70752706,3.1450,2.0442733
11281,2019,Whit Merrifield,KCR,162,681,735,206,16,105,74,45,5,20,0.302496329,1.2955,-0.807692308,1.278409091,-0.246231156,22.811,1.624233276,3.1442,2.043712742
11281,2021,Whit Merrifield,KCR,162,664,720,184,10,97,74,40,4,40,0.277108434,3.5682,-1.384615385,0.823863636,-0.246231156,5.384,0.372337718,3.1335,2.036798811
15676,2019,Jose Abreu,CHW,159,634,693,180,33,85,123,36,13,2,0.283911672,-0.7500,0.826923077,0.142045455,2.216080402,9.454,0.664712476,3.0998,2.014844916
13145,2019,Josh Bell,PIT,143,527,613,146,37,94,116,74,5,0,0.277039848,-0.9773,1.211538462,0.653409091,1.864321608,4.237,0.289941195,3.0419,1.977259458
11493,2021,Manny Machado,SDP,153,564,640,157,28,92,106,63,2,12,0.278368794,0.3864,0.346153846,0.539772727,1.361809045,5.284,0.365154063,2.9993,1.949514656
13152,2021,Jorge Polanco,MIN,152,588,644,158,33,97,98,45,5,11,0.268707483,0.2727,0.826923077,0.823863636,0.959798995,-0.172,-0.026786154,2.8565,1.856742437
19198,2019,Yuli Gurriel,HOU,144,564,612,168,31,85,104,37,5,5,0.29787234,-0.4091,0.634615385,0.142045455,1.261306533,16.284,1.155356113,2.7842,1.809751174
5417,2021,Jose Altuve,HOU,146,601,678,167,31,117,83,66,4,5,0.277870216,-0.4091,0.634615385,1.960227273,0.206030151,5.331,0.36853038,2.7603,1.794202982
18345,2021,Kyle Tucker,HOU,140,506,567,149,30,83,92,53,1,14,0.294466403,0.6136,0.538461538,0.028409091,0.658291457,12.886,0.911255516,2.7501,1.787535078
15711,2021,Tyler O'Neill,STL,138,482,537,138,34,89,80,38,13,15,0.286307054,0.7273,0.923076923,0.369318182,0.055276382,8.342,0.584830233,2.6598,1.72885339
16997,2019,Gleyber Torres,NYY,144,546,604,152,38,96,90,48,3,5,0.278388278,-0.4091,1.307692308,0.767045455,0.557788945,5.126,0.353803888,2.5772,1.675205796
15672,2019,Austin Meadows,TBR,138,530,591,154,33,83,89,54,7,12,0.290566038,0.3864,0.826923077,0.028409091,0.507537688,11.43,0.806661499,2.5559,1.661331745
14274,2021,Mitch Haniger,SEA,157,620,691,157,39,110,100,54,9,1,0.253225806,-0.8636,1.403846154,1.5625,1.060301508,-9.78,-0.716991727,2.4460,1.589912721
12155,2019,Eddie Rosario,MIN,137,562,590,155,32,91,109,22,0,3,0.275800712,-0.6364,0.730769231,0.482954545,1.512562814,3.822,0.260129026,2.3501,1.527533787
10322,2019,Danny Santana,TEX,130,474,511,134,28,81,81,25,6,21,0.282700422,1.4091,0.346153846,-0.085227273,0.105527638,6.494,0.452076288,2.2276,1.447953916
18882,2021,Brandon Lowe,TBR,149,535,615,132,39,97,99,68,9,7,0.246728972,-0.1818,1.403846154,0.823863636,1.010050251,-11.915,-0.870362762,2.1856,1.420626414
19556,2021,Yordan Alvarez,HOU,144,537,598,149,33,92,104,50,8,1,0.277467412,-0.8636,0.826923077,0.539772727,1.261306533,4.547,0.312210525,2.0766,1.349774724
19326,2021,Bryan Reynolds,PIT,159,559,646,169,24,93,90,75,8,5,0.302325581,-0.4091,-0.038461538,0.596590909,0.557788945,18.629,1.323812823,2.0306,1.319916149
15429,2019,Kris Bryant,CHC,147,543,634,153,31,108,77,74,15,4,0.281767956,-0.5227,0.634615385,1.448863636,-0.095477387,6.933,0.483612534,1.9489,1.266776482
17232,2019,Yoan Moncada,CHW,132,511,559,161,25,83,79,40,4,10,0.315068493,0.1591,0.057692308,0.028409091,0.005025126,23.541,1.676673957,1.9269,1.252479404
13301,2019,Max Muncy,LAD,141,487,589,122,35,101,98,90,8,4,0.250513347,-0.5227,1.019230769,1.051136364,0.959798995,-9.003,-0.661174728,1.8463,1.200071683
3473,2019,Anthony Rizzo,CHC,146,512,613,150,27,89,94,71,27,5,0.29296875,-0.4091,0.25,0.369318182,0.75879397,12.272,0.867147874,1.8362,1.193509926
12979,2019,Javier Baez,CHC,138,531,561,149,29,89,85,28,0,11,0.280602637,0.2727,0.442307692,0.369318182,0.306532663,6.161,0.428154717,1.8190,1.182376343
12979,2021,Javier Baez,- - -,138,502,547,133,31,80,87,28,13,18,0.264940239,1.0682,0.634615385,-0.142045455,0.407035176,-2.038,-0.160833157,1.8070,1.174519949
13152,2019,Jorge Polanco,MIN,153,631,704,186,22,107,79,60,4,4,0.294770206,-0.5227,-0.230769231,1.392045455,0.005025126,16.261,1.153703873,1.7973,1.168230667
5038,2019,Josh Donaldson,ATL,155,549,659,142,37,96,94,100,8,4,0.258652095,-0.5227,1.211538462,0.767045455,0.75879397,-5.681,-0.422533709,1.7921,1.164875988
4106,2019,Michael Brantley,HOU,148,575,637,179,22,88,90,51,7,3,0.311304348,-0.6364,-0.230769231,0.3125,0.557788945,24.325,1.732993812,1.7361,1.128497428
15172,2021,Tim Anderson,CHW,123,527,551,163,17,94,61,22,1,18,0.309297913,1.0682,-0.711538462,0.653409091,-0.899497487,21.237,1.511162546,1.6217,1.054116379
9218,2019,Paul Goldschmidt,STL,161,597,682,155,34,97,97,78,2,3,0.259631491,-0.6364,0.923076923,0.823863636,0.909547739,-5.593,-0.416212092,1.6039,1.04254317
6184,2021,J.D. Martinez,BOS,148,570,634,163,28,92,99,55,3,0,0.285964912,-0.9773,0.346153846,0.539772727,1.010050251,9.67,0.680229171,1.5989,1.039306625
5343,2021,Brandon Crawford,SFG,138,483,549,144,24,79,90,56,5,11,0.298136646,0.2727,-0.038461538,-0.198863636,0.557788945,14.073,0.996525501,1.5897,1.033315753
5417,2019,Jose Altuve,HOU,124,500,548,149,31,89,74,41,3,6,0.298,-0.2955,0.634615385,0.369318182,-0.246231156,14.5,1.027199708,1.4894,0.968140923
15676,2021,Jose Abreu,CHW,152,566,659,148,30,86,117,61,22,1,0.261484099,-0.8636,0.538461538,0.198863636,1.914572864,-4.254,-0.320022952,1.4682,0.95435517
15172,2019,Tim Anderson,CHW,123,498,518,167,18,81,56,15,3,17,0.335341365,0.9545,-0.615384615,-0.085227273,-1.150753769,33.038,2.358905673,1.4621,0.950355556
14162,2021,Carlos Correa,HOU,148,555,640,155,26,104,92,75,4,0,0.279279279,-0.9773,0.153846154,1.221590909,0.658291457,5.705,0.39539725,1.4519,0.943704478
16376,2019,Michael Conforto,NYM,151,549,648,141,33,90,92,84,10,7,0.256830601,-0.1818,0.826923077,0.426136364,0.658291457,-6.681,-0.494370259,1.2352,0.802855597
19290,2021,Randy Arozarena,TBR,141,529,604,145,20,94,69,56,14,20,0.274102079,1.2955,-0.423076923,0.653409091,-0.497487437,2.699,0.179456581,1.2078,0.785041307
8709,2019,Elvis Andrus,TEX,147,600,648,165,12,81,72,34,4,31,0.275,2.5455,-1.192307692,-0.085227273,-0.346733668,3.6,0.244181312,1.1654,0.757488696
13301,2021,Max Muncy,LAD,144,497,592,124,36,95,94,83,11,2,0.249496982,-0.7500,1.115384615,0.710227273,0.75879397,-9.693,-0.710741948,1.1237,0.730381542
16505,2019,Matt Chapman,OAK,156,583,670,145,36,102,91,73,11,1,0.248713551,-0.8636,1.115384615,1.107954545,0.608040201,-11.827,-0.864041145,1.1037,0.717406204
11737,2019,Nick Castellanos,- - -,151,615,664,178,27,100,73,41,5,2,0.289430894,-0.7500,0.25,0.994318182,-0.296482412,12.565,0.888195984,1.0860,0.70592064
11739,2019,J.T. Realmuto,PHI,145,538,593,148,25,92,83,41,5,9,0.275092937,0.0455,0.057692308,0.539772727,0.206030151,3.278,0.221049943,1.0700,0.695499788
15362,2019,Jeff McNeil,NYM,133,510,567,162,23,83,75,35,21,5,0.317647059,-0.4091,-0.134615385,0.028409091,-0.195979899,24.81,1.767834539,1.0566,0.686762334
12144,2019,Max Kepler,MIN,134,524,596,132,36,98,90,60,8,1,0.251908397,-0.8636,1.115384615,0.880681818,0.557788945,-8.956,-0.65779841,1.0324,0.671073393
