,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
388,Hunter Dozier,KCR,101,407,368,85,53,18,3,11,43,41,32,0,106,4,3,1,8,4,2,0.231246,0.0782249,0.260278,0.300544,0.297093,0.385342,0.299621,0.682435,0.154097,4.47881,0.292399,-0.972839,-0.346322,43.2778,-3.27314,93.2193,-1.31916,-2.09686,-4.47590708732605,-5.299453258514404,0.370848,501.6799926757813,3.62552,0.774652,0.392699,15117
389,Gilberto Celestino,MIN,63,226,203,49,35,10,1,3,23,19,19,0,50,2,1,1,6,3,1,0.241182,0.0841504,0.22018,0.382189,0.310202,0.344564,0.291737,0.654766,0.103382,4.09208,0.303375,-0.459134,-0.0188486,22.594,-3.22966,90.3133,-0.477982,-0.477314,-2.939712882041931,-0.7214154750108719,0.369418,999.0,2.49691,-0.524749,1.20948,20233
390,Stuart Fairchild,CIN,84,289,259,60,37,13,1,10,33,32,22,0,82,6,1,1,5,5,2,0.231583,0.0768848,0.283139,0.271545,0.305512,0.401827,0.310469,0.707339,0.170244,4.59915,0.297863,-0.128453,-0.109577,33.2629,0.166246,92.5705,-0.23803,-0.359511,-2.736443892121315,-3.494927018880844,0.366388,743.5900268554688,4.49221,1.75017,0.791525,20321
391,Robinson Chirinos,,50,175,155,31,19,7,0,4,17,17,15,0,54,3,1,1,4,1,0,0.197468,0.0848646,0.306765,0.276644,0.278845,0.328499,0.272316,0.607345,0.131031,2.99565,0.267078,-0.76113,-0.0359623,14.7908,-5.1953,75.4495,-0.797093,-0.329949,-5.6258704662323,3.5258593261241917,0.362926,999.0,1.88154,-0.562822,1.07585,3142
392,Curt Casali,CIN,62,222,191,40,26,7,0,7,24,24,25,1,65,3,1,1,3,1,0,0.21108,0.113166,0.292302,0.387154,0.310163,0.361353,0.299625,0.671516,0.150272,2.22944,0.275793,-0.210864,-0.26965,23.5888,-1.78341,85.1583,-0.480514,0.255427,-4.306682139635086,0.2799416072666645,0.359656,741.4500122070312,1.88464,-0.133188,0.858683,12510
393,Nelson Cruz,,86,357,320,78,51,14,0,13,40,45,30,1,85,4,3,0,9,2,1,0.244802,0.0835194,0.237443,0.351746,0.31503,0.413705,0.318612,0.728735,0.168903,2.68592,0.289756,-1.32014,-0.283628,43.3842,2.5165,106.407,-1.60377,0.0,1.014910340309143,-9.290468215942385,0.35774,576.72998046875,8.917,0.0104621,0.539832,2434
394,Alan Trejo,COL,48,177,166,41,25,9,1,5,20,20,8,0,43,2,1,1,4,2,1,0.246397,0.0431383,0.240485,0.17938,0.283471,0.406845,0.298874,0.690316,0.160448,4.3021,0.299023,0.073579,-0.175392,18.732,-1.52985,76.7621,-0.101813,0.513977,-4.885884322226048,2.3363181948661804,0.357157,999.0,4.11407,1.3245,1.26428,20056
395,Josh Lowe,TBR,69,278,249,56,35,13,1,6,31,29,25,1,91,2,2,1,2,7,2,0.225974,0.0912808,0.326767,0.279345,0.300604,0.367451,0.294752,0.668055,0.141477,5.58665,0.325454,-0.0821918,0.507317,28.5387,-3.31714,89.838,0.425125,-0.358628,-2.812368243932724,-2.907097309827805,0.35563,426.7300109863281,5.89962,1.75677,0.994828,19953
396,Od̼bel Herrera,,48,185,171,43,29,9,1,5,21,20,11,0,34,2,1,1,3,4,1,0.25281,0.0597933,0.185922,0.321605,0.30366,0.401022,0.307409,0.704682,0.148212,5.01949,0.288609,-0.305988,0.204015,20.8401,-0.343743,96.0658,-0.101973,-0.982944,-0.948777049779892,-1.8870578408241272,0.35553,999.0,5.02958,1.08699,1.33052,11476
397,Kyle Isbel,KCR,89,316,288,68,45,14,3,6,35,31,21,0,80,4,2,1,5,10,4,0.234641,0.0665715,0.253077,0.263049,0.293247,0.368551,0.29091,0.661798,0.133911,6.18989,0.300351,-0.0487323,0.241888,31.4209,-4.72888,87.1699,0.193155,0.334943,-4.445334360003471,-2.574445515871048,0.347986,643.1799926757812,2.31029,-0.477731,1.06114,21614
398,Carlos P̩rez,CHW,25,86,79,19,13,4,0,2,8,9,5,0,10,1,1,0,3,0,0,0.235592,0.0549635,0.119068,0.461615,0.283233,0.363145,0.28369,0.646378,0.127553,2.58004,0.245427,-0.0751332,-0.00372247,8.05586,-1.77982,82.1561,-0.0788556,0.400167,-1.8340876027941704,2.316694408655166,0.34589,999.0,1.58281,1.09594,1.58939,20805
399,David Hamilton,BOS,27,109,99,23,15,5,1,2,12,9,8,0,25,1,1,1,1,7,1,0.230206,0.0733221,0.227141,0.322804,0.290626,0.357542,0.285347,0.648167,0.127336,7.33159,0.286288,-0.20929,0.63172,10.3759,-2.11689,78.7578,0.422429,1.18886,-2.1891814172267914,1.9895334243774412,0.343718,999.0,3.59081,0.500623,1.68918,sa3014434
400,Mark Mathias,TEX,33,122,108,25,16,5,0,3,13,12,10,0,34,1,1,1,1,3,1,0.229433,0.0841938,0.283618,0.296856,0.301383,0.370234,0.296378,0.671617,0.140801,4.28594,0.301942,-0.0664439,0.0312636,12.6116,-1.29062,92.1361,-0.0351803,1.05052,-1.1110754683613775,0.4743480086326599,0.338967,749.9099731445312,5.31108,1.95395,1.48153,18032
401,Jordan Walker,STL,73,306,280,70,46,15,1,8,34,32,20,1,74,3,2,1,6,6,2,0.25058,0.0666254,0.241844,0.275489,0.307211,0.399061,0.308672,0.706272,0.148481,4.97157,0.310811,-0.364314,0.288924,34.7942,-0.261435,99.5043,-0.0753901,-2.28026,-0.2491733506321907,-6.55094575881958,0.338206,999.0,5.47649,-0.752234,0.975398,sa3014464
402,Carter Kieboom,WSN,50,198,173,39,27,8,0,4,20,19,20,0,46,3,2,0,5,1,0,0.227968,0.10054,0.233408,0.430746,0.31548,0.348806,0.297088,0.664286,0.120838,2.92053,0.284111,-0.0492764,-0.213679,20.6328,-1.98854,88.9646,-0.262956,-0.533821,-2.799404054880142,-0.687783733010292,0.331472,719.9500122070312,2.54969,2.24285,1.1253,19958
403,Miguel And̼jar,PIT,69,278,260,66,45,13,1,7,30,33,13,0,44,2,3,1,6,4,1,0.255642,0.04792,0.157908,0.303467,0.293491,0.391366,0.297542,0.684857,0.135724,4.48959,0.281755,-0.179513,0.197747,29.1475,-2.69904,90.2567,0.0182343,-0.406627,-3.134501673281193,-3.0644640028476715,0.331239,549.1799926757812,1.56128,-2.99446,1.04396,15878
404,Willi Castro,,19,73,68,17,13,3,0,1,8,7,4,0,17,1,0,0,1,1,0,0.252009,0.0508955,0.230291,0.221005,0.298014,0.350737,0.286451,0.648751,0.0987282,4.79258,0.319521,0.0164306,0.0403856,6.98439,-1.34802,86.5826,0.0568163,1.93993,-1.0434225276112556,1.84368909150362,0.327258,738.72998046875,6.85051,2.42749,1.68944,17338
405,Elly De La Cruz,CIN,42,174,162,41,25,9,1,6,20,21,9,1,55,1,1,1,2,8,2,0.252372,0.0540542,0.315538,0.171308,0.295465,0.435871,0.314793,0.731337,0.183499,6.7521,0.340905,-0.555966,0.702892,20.5711,0.696632,95.5259,0.146926,-2.17126,-0.7565659284591675,-1.9796930104494093,0.325607,999.0,2.58949,-0.465096,1.47199,sa3009289
406,Yuli Gurriel,,105,431,396,103,69,24,1,9,46,45,27,0,54,4,5,1,9,4,1,0.259258,0.0614461,0.124713,0.4927,0.309012,0.388478,0.305374,0.69749,0.129221,3.56744,0.278273,-0.947742,-0.109609,47.8613,-1.49873,99.1149,-1.05735,-1.05345,-1.4872980117797852,-9.159775733947754,0.322976,574.0,6.06507,-0.63675,0.668277,19198
407,Didi Gregorius,,45,178,163,38,25,7,1,4,18,19,10,0,28,2,2,0,2,1,1,0.233326,0.0568136,0.158023,0.359528,0.284889,0.369477,0.286142,0.654366,0.136151,3.83954,0.255801,0.16868,-0.197942,16.9921,-3.33156,81.5295,-0.0292628,-1.13234,-3.8434533942490816,0.939543604850769,0.321858,999.0,1.884,1.51031,1.21748,6012
408,Nick Solak,CIN,58,222,198,49,34,9,0,6,25,23,16,0,49,4,1,1,4,5,1,0.248465,0.0734066,0.220354,0.33313,0.317733,0.386449,0.311184,0.704182,0.137985,4.42216,0.299744,0.0244601,0.123659,25.6087,0.253169,93.0588,0.148119,-1.48695,-1.6401251703500748,-2.773427128791809,0.318527,641.8599853515625,6.96241,0.400518,1.20977,19294
409,Brett Phillips,LAA,40,145,127,24,13,4,1,5,17,14,15,0,55,1,1,1,1,4,1,0.187565,0.10319,0.37881,0.272405,0.278784,0.360662,0.283247,0.639445,0.173097,6.66963,0.275987,0.0723415,0.296547,13.5695,-3.06038,81.0851,0.368889,2.13769,-2.726683974266052,1.106679081916809,0.315353,750.5900268554688,4.43322,0.891659,1.25869,14735
410,Matt Reynolds,CIN,41,146,133,32,22,8,0,1,15,12,13,0,43,1,0,0,3,2,0,0.244774,0.0861462,0.290949,0.296087,0.312742,0.345907,0.293637,0.658648,0.101133,4.27248,0.34869,-0.292708,0.104403,14.8653,-1.87256,81.0654,-0.188305,0.863683,-3.408457964658737,1.4930044412612915,0.315059,749.1400146484375,6.12114,-0.0640825,1.47967,13788
411,Dominic Smith,WSN,108,402,363,89,56,22,1,11,42,45,28,1,88,6,4,1,5,2,1,0.24582,0.0690958,0.218752,0.315863,0.307558,0.398312,0.308179,0.70587,0.152492,2.91993,0.29297,-0.482117,-0.281822,45.4888,-0.500396,96.5453,-0.763939,0.243433,-2.3782268166542053,-8.132691323757172,0.314644,501.8599853515625,3.65017,0.282183,0.465928,15653
412,Elehuris Montero,COL,76,301,272,69,42,15,1,11,34,37,22,0,74,4,2,1,6,1,0,0.2532,0.0740224,0.245522,0.301491,0.317025,0.436516,0.328015,0.753541,0.183316,3.54846,0.307263,-0.086699,-0.114232,38.8061,4.36919,96.6801,-0.200931,-2.94521,-1.3625742346048355,-5.842235565185547,0.305513,999.0,6.06859,0.874233,0.808047,20543
