,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,279.0,53.0,87.0,16.0,53.0,38.0,71.0,6.0,1.0,0.312,0.396,0.556,3.0,STL,1B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,0,0,0,72,0,5,0,0,0.0,h,10.254041570438801,,,2.1189782895954554,1.598183812012326,2.0178365476201656,0.10468960571794579,1.8849630728894622,7.724651327835355,,,,,,0.0,7.724651327835355,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Adolis Garcia,235.0,40.0,62.0,14.0,46.0,20.0,69.0,6.0,1.0,0.264,0.326,0.506,42.0,TEX,RF,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,81,5,0,0,0.0,h,-2.64265315751571,,,0.40806491133701495,1.0514367184291618,1.1686367483193274,0.10468960571794579,-0.48578929411914595,2.2470386896843038,,,,,,0.0,2.2470386896843038,"['OF', 'DH']"
2,2,9 Gran...,Ozzie Albies,272.0,40.0,73.0,13.0,46.0,20.0,50.0,5.0,1.0,0.268,0.321,0.482,49.0,ATL,2B,9 Gran...,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,84,0,0,84,0,0,5,0,0,0.0,h,-1.820432590826698,,,0.40806491133701495,0.7780631716375798,1.1686367483193274,-0.09636202344492738,-0.33464348538290234,1.9237593224660923,,,,,,0.0,1.9237593224660923,"['2B', 'MI', 'DH']"
3,3,9 Gran...,Brandon Nimmo,267.0,48.0,78.0,10.0,36.0,36.0,63.0,2.0,1.0,0.292,0.39,0.491,57.0,NYM,CF,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,79,5,0,0,0.0,h,4.55494300826939,,,1.4609346825729783,-0.042057468737166315,-0.04450582211044139,-0.6995169109335468,0.8373185646580549,1.5121730454498787,,,,,,0.0,1.5121730454498787,"['OF', 'DH']"
4,4,9 Gran...,Dansby Swanson,284.0,41.0,78.0,9.0,39.0,29.0,74.0,5.0,2.0,0.275,0.344,0.437,69.0,CHC,SS,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,81,0,0,5,0,0,0.0,h,-0.12133402865728726,,,0.5396736327415104,-0.31543101552874836,0.31943694901848924,-0.09636202344492738,-0.022304392071438087,0.42501315071488577,,,,,,0.0,0.42501315071488577,"['SS', 'MI', 'DH']"
5,5,9 Gran...,Andres Gimenez,237.0,33.0,67.0,8.0,31.0,16.0,50.0,10.0,2.0,0.283,0.353,0.464,89.0,CLE,2B,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,78,0,0,78,0,0,5,0,0,0.0,h,1.8071966028458633,,,-0.5131961384944529,-0.5888045623203304,-0.6510771073253258,0.9088961223694384,0.3322103619743728,-0.5119713237962978,,,,,,0.0,-0.5119713237962978,"['2B', 'MI', 'DH']"
6,6,9 Gran...,Salvador Perez,234.0,31.0,64.0,15.0,40.0,9.0,61.0,0.0,0.0,0.274,0.315,0.513,95.0,KC,C,9 Gran...,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1,0,0,0,0,1,0,5,0,0,0.0,h,-0.36757803769648945,,,-0.7764135813034436,1.3248102652207439,0.4407512060614661,-1.101620169259293,-0.06757053038096827,-0.180042809661495,,,,,,0.0,-0.180042809661495,"['C', 'DH']"
7,7,9 Gran...,Jeimer Candelario,245.0,36.0,66.0,11.0,35.0,22.0,60.0,3.0,1.0,0.269,0.339,0.502,110.0,WAS,3B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,80,0,0,80,0,5,0,0,0.0,h,-1.3934043557078724,,,-0.11836997428096666,0.2313160780544157,-0.16582007915341826,-0.4984652817706737,-0.2561444419812576,-0.8074836991319005,,,,,,0.0,-0.8074836991319005,"['3B', 'CI', 'DH']"
8,8,9 Gran...,Kris Bryant,265.0,37.0,78.0,9.0,28.0,28.0,55.0,2.0,0.0,0.294,0.369,0.438,129.0,COL,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,5,0,0,0.0,h,5.105093247907817,,,0.013238747123528754,-0.31543101552874836,-1.0150198784542563,-0.6995169109335468,0.9384506772144647,-1.0782783805785578,,,,,,0.0,-1.0782783805785578,"['OF', 'DH']"
9,9,9 Gran...,Steven Kwan,241.0,43.0,68.0,3.0,21.0,29.0,32.0,9.0,1.0,0.282,0.361,0.394,145.0,CLE,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,81,5,0,0,0.0,h,1.7068961235689954,,,0.8028910755505012,-1.9556722962782405,-1.8642196777550946,0.7078444932065653,0.3137724905915362,-1.995383914684732,,,,,,0.0,-1.995383914684732,"['OF', 'DH']"
