Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1,ADP,playerid
Hyun Jin Ryu,TOR,31,31,175,13,9,0,0,174,76,24,150,39,1.22,7.71,2,3.9,3.98,,2.7,3.6,,206.4,14444
Trevor Rogers,MIA,28,28,146,10,8,0,0,126,58,17,166,52,1.21,10.19,3.17,3.54,3.59,,2.7,2.8,,94.6,22286
Pablo López,MIA,29,29,155,10,9,0,0,143,64,18,154,41,1.19,8.98,2.4,3.71,3.71,,2.7,2.6,,139.9,17085
Mike Clevinger,SDP,24,24,141,10,7,0,0,120,56,18,155,47,1.19,9.87,3.01,3.6,3.73,,2.6,2.7,,188.1,12808
Blake Snell,SDP,29,29,151,10,8,0,0,123,62,20,185,67,1.26,11.07,3.97,3.73,3.79,,2.6,2.7,,117.1,13543
Chris Bassitt,OAK,31,31,178,10,9,0,0,163,76,22,168,51,1.2,8.48,2.6,3.86,3.97,,2.6,3,,136.7,12304
Stephen Strasburg,WSN,26,26,151,10,9,0,0,141,69,21,156,51,1.27,9.27,3.01,4.09,4.03,,2.5,2.5,,282.7,10131
Sonny Gray,CIN,29,29,157,10,9,0,0,143,73,21,167,63,1.31,9.53,3.58,4.16,4.15,,2.5,2.6,,178.6,12768
John Means,BAL,29,29,165,11,11,0,0,159,79,31,150,38,1.19,8.19,2.07,4.32,4.6,,2.5,2.4,,221.6,16269
Luis Severino,NYY,24,38,151,11,8,0,1,141,65,21,157,44,1.22,9.34,2.64,3.85,3.84,,2.5,2.6,,179.9,15890
Lance McCullers Jr.,HOU,24,24,137,9,6,0,0,117,55,14,151,58,1.28,9.9,3.82,3.63,3.73,,2.5,2.8,,178.9,14120
Jack Flaherty,STL,31,31,168,11,9,0,0,144,70,24,183,56,1.19,9.82,2.98,3.74,3.96,,2.4,2.9,,79.1,17479
Luis Garcia,HOU,29,29,160,11,9,0,0,146,73,24,170,57,1.27,9.57,3.19,4.11,4.13,,2.4,2.4,,148.9,23735
Trevor Bauer,LAD,21,21,128,9,6,0,0,106,53,19,153,43,1.16,10.73,3.01,3.7,3.83,,2.4,2.3,,210.4,12703
Alex Wood,SFG,29,29,158,10,8,0,0,149,66,19,159,47,1.24,9.07,2.66,3.77,3.82,,2.3,2.6,,221.7,13781
Zac Gallen,ARI,31,31,173,11,10,0,0,159,80,25,186,64,1.29,9.69,3.32,4.2,4.14,,2.3,2.6,,135,19291
Shane McClanahan,TBR,28,28,148,11,8,0,0,132,61,20,165,51,1.23,10.01,3.08,3.72,3.78,,2.3,2.7,,111,21483
Alek Manoah,TOR,26,26,141,10,7,0,0,119,60,19,160,51,1.21,10.26,3.26,3.84,4.01,,2.2,3,,98.4,26410
Patrick Corbin,WSN,29,29,172,11,10,0,0,175,83,26,161,55,1.34,8.41,2.87,4.33,4.28,,2.2,2.2,,413.8,9323
Ian Anderson,ATL,29,29,156,10,8,0,0,141,71,19,160,68,1.34,9.24,3.92,4.09,4.12,,2.2,2.4,,151.7,19951
Liam Hendriks,CHW,0,68,68,5,3,29,2,49,21,9,100,16,0.97,13.21,2.17,2.84,2.75,,2.2,2.2,,32,3548
Patrick Sandoval,LAA,26,26,143,9,8,0,0,130,64,20,155,59,1.32,9.75,3.7,4.02,4.16,,2.2,2.4,,206.5,19447
Jon Gray,TEX,31,31,169,11,11,0,0,161,79,23,172,62,1.32,9.19,3.33,4.22,4.16,,2.1,2.3,,243.8,14916
Mike Minor,KCR,29,29,170,10,10,0,0,168,84,26,153,49,1.28,8.06,2.59,4.43,4.35,,2.1,2.4,,491.4,10021
Tarik Skubal,DET,29,29,153,10,10,0,0,141,71,25,165,51,1.26,9.7,2.99,4.19,4.24,,2.1,2.4,,198.7,22267
Josh Hader,MIL,0,67,67,5,2,26,2,40,20,8,111,27,0.99,14.91,3.6,2.64,2.74,,2.1,2.4,,31.1,14212
Jameson Taillon,NYY,28,28,146,9,8,0,0,142,72,24,139,42,1.27,8.59,2.61,4.46,4.41,,2,1.8,,305.1,11674
Antonio Senzatela,COL,31,31,174,8,10,0,0,204,97,24,122,49,1.45,6.3,2.51,5.01,4.58,,2,2,,579,15488
Alex Cobb,SFG,28,28,149,10,9,0,0,147,67,17,135,48,1.31,8.13,2.88,4.04,3.91,,2,1.9,,254.2,6562
Carlos Carrasco,NYM,26,26,140,10,8,0,0,133,63,21,145,42,1.25,9.28,2.71,4.05,4.04,,2,1.6,,291.6,6632
Anthony DeSclafani,SFG,31,31,168,10,10,0,0,165,80,24,149,48,1.27,7.97,2.56,4.28,4.16,,2,1.8,,215.8,13050
Shane Baz,TBR,21,21,104,7,5,0,0,89,42,13,119,34,1.18,10.27,2.95,3.62,3.67,,2,2,,137.8,22264
Brady Singer,KCR,28,28,141,9,9,0,0,142,66,17,130,53,1.38,8.33,3.36,4.24,4.16,,1.9,2.3,,463.7,25377
Emmanuel Clase,CLE,0,67,67,5,3,31,2,54,20,5,79,20,1.1,10.65,2.73,2.69,2.7,,1.9,2.3,,58.1,21032
Yusei Kikuchi,SEA,28,28,149,9,9,0,0,145,70,21,143,52,1.32,8.65,3.16,4.24,4.21,,1.9,2,,347.7,20633
Zack Greinke,,28,28,159,9,9,0,0,163,76,25,126,36,1.25,7.14,2.01,4.3,4.37,,1.9,2,,314.3,1943
Taylor Rogers,MIN,0,67,67,5,3,24,4,55,21,6,84,18,1.09,11.31,2.4,2.86,2.8,,1.9,2.1,,194.1,13449
Dane Dunning,TEX,28,28,140,9,8,0,0,141,66,17,127,49,1.36,8.18,3.16,4.26,4.17,,1.9,1.8,,445.4,19409
Adam Wainwright,STL,31,31,190,12,11,0,0,190,89,27,151,55,1.29,7.17,2.63,4.25,4.41,,1.8,2.1,,204.1,2233
Steven Matz,STL,29,29,155,10,10,0,0,152,72,22,139,49,1.3,8.08,2.84,4.14,4.29,,1.8,1.9,,252.3,13361
Joe Ryan,MIN,24,24,129,8,7,0,0,118,61,21,135,36,1.2,9.41,2.48,4.24,4.15,,1.8,1.9,,227.6,21390
Nick Pivetta,BOS,29,29,157,10,9,0,0,151,83,25,163,63,1.36,9.33,3.62,4.74,4.47,,1.8,1.8,,372,15454
Bailey Ober,MIN,26,26,132,7,6,0,0,131,64,23,130,33,1.25,8.88,2.28,4.37,4.3,,1.8,1.8,,266.6,21224
Kyle Gibson,PHI,32,32,187,11,11,0,0,189,96,28,162,71,1.39,7.78,3.43,4.6,4.64,,1.8,1.7,,383.2,10123
Marco Gonzales,SEA,31,31,181,10,12,0,0,183,90,30,140,49,1.29,6.99,2.43,4.49,4.67,,1.8,1.8,,318.8,15467
Raisel Iglesias,LAA,0,70,70,6,3,31,2,55,24,9,95,19,1.05,12.2,2.41,3.03,3.03,,1.8,2,,49.6,17130
Casey Mize,DET,31,31,161,9,10,0,0,162,79,23,133,49,1.3,7.39,2.73,4.39,4.46,,1.8,2,,280.4,20492
José Quintana,PIT,28,28,149,8,9,0,0,150,74,21,140,58,1.39,8.47,3.47,4.49,4.36,,1.8,1.4,,555.7,11423
Ryan Yarbrough,TBR,24,24,161,9,9,0,0,167,78,23,119,37,1.26,6.67,2.05,4.35,4.43,,1.8,1.6,,518.9,16502
Corey Kluber,TBR,26,26,142,9,7,0,0,134,64,20,137,46,1.27,8.68,2.93,4.05,4.15,,1.7,2,,342.7,2429
Wade Miley,CHC,29,29,163,10,10,0,0,172,79,21,120,56,1.4,6.58,3.09,4.35,4.51,,1.7,2,,454,8779
Drew Rasmussen,TBR,24,41,141,8,7,0,1,125,61,17,151,57,1.28,9.64,3.61,3.9,3.92,,1.7,2,,283.7,25385
José Urquidy,HOU,26,26,137,8,8,0,0,135,68,24,122,33,1.23,8.05,2.2,4.48,4.51,,1.7,1.5,,209.1,18413
Logan Gilbert,SEA,26,26,133,8,8,0,0,123,61,22,138,37,1.21,9.37,2.53,4.17,4.23,,1.7,1.8,,163.7,22250
Zach Eflin,PHI,23,23,128,8,8,0,0,133,62,21,113,32,1.28,7.9,2.23,4.33,4.35,,1.7,1.6,,484.6,13774
Brad Keller,KCR,28,28,156,10,10,0,0,159,77,18,127,65,1.44,7.36,3.77,4.45,4.43,,1.7,2.1,,562.7,15734
Kyle Freeland,COL,29,29,158,9,11,0,0,180,91,25,124,56,1.5,7.06,3.19,5.17,4.81,,1.7,1.5,,560.4,16256
Chris Flexen,SEA,29,29,166,9,10,0,0,172,81,25,133,46,1.31,7.19,2.47,4.37,4.47,,1.7,1.8,,384.5,13896
Ryan Pressly,HOU,0,66,66,5,3,30,2,54,22,7,81,18,1.1,11.1,2.48,2.96,2.98,,1.6,2,,66.9,7005
Kyle Hendricks,CHC,31,31,179,10,11,0,0,195,92,29,131,41,1.32,6.58,2.04,4.61,4.68,,1.6,1.7,,279.5,12049
Aroldis Chapman,NYY,0,64,64,5,3,32,2,41,21,7,104,35,1.17,14.57,4.87,2.95,3.12,,1.6,1.8,,81.9,10233
Andrew Heaney,LAD,24,24,135,9,8,0,0,128,65,25,148,38,1.23,9.84,2.52,4.36,4.4,,1.6,1.4,,297.2,15423
Edwin Díaz,NYM,0,67,67,5,3,33,2,47,22,8,100,26,1.09,13.44,3.45,2.96,3.06,,1.6,1.6,,65.1,14710
Huascar Ynoa,ATL,23,23,119,7,6,0,0,112,55,17,126,43,1.3,9.49,3.25,4.18,4.11,,1.5,1.8,,242.5,20468
Devin Williams,MIL,0,65,65,6,3,2,12,46,22,7,96,31,1.18,13.3,4.3,2.99,3.1,,1.5,1.8,,306.2,15816
Sixto Sánchez,MIA,16,16,91,6,6,0,0,88,38,10,78,25,1.25,7.79,2.52,3.8,3.81,,1.5,1.5,,363.1,19680
Michael Pineda,,29,29,158,10,10,0,0,169,81,27,128,36,1.3,7.3,2.07,4.6,4.57,,1.5,1.5,,451.4,5372
Jonathan Loáisiga,NYY,0,70,70,6,4,2,13,60,26,7,78,22,1.18,9.98,2.88,3.35,3.37,,1.5,1.5,,401.5,19753
Cal Quantrill,CLE,29,29,165,10,11,0,0,169,83,25,138,52,1.34,7.54,2.86,4.53,4.59,,1.5,1.8,,265.4,19312
Dylan Bundy,MIN,29,29,156,10,10,0,0,157,83,26,147,54,1.35,8.51,3.09,4.78,4.64,,1.4,1.4,,467.1,12917
Miles Mikolas,STL,26,26,141,9,8,0,0,148,67,21,100,31,1.27,6.4,1.97,4.3,4.47,,1.4,1.4,,485.8,9803
Merrill Kelly,ARI,29,29,171,10,11,0,0,184,92,28,137,52,1.38,7.19,2.72,4.85,4.73,,1.4,1.3,,486.6,11156
Austin Gomber,COL,29,29,148,10,10,0,0,157,84,26,142,57,1.44,8.63,3.44,5.08,4.8,,1.4,1.6,,522.3,16561
Randy Dobnak,MIN,23,35,139,9,9,0,1,157,71,17,89,41,1.43,5.79,2.69,4.58,4.49,,1.4,1.4,,595.3,23798
JT Brubaker,PIT,24,24,132,8,9,0,0,132,66,20,125,45,1.34,8.5,3.05,4.51,4.45,,1.4,1.2,,500,17578
Danny Duffy,,18,18,97,6,6,0,0,89,46,16,102,35,1.28,9.49,3.22,4.29,4.4,,1.4,1.3,,580.2,3542
Giovanny Gallegos,STL,0,76,76,5,3,23,7,61,29,10,91,23,1.1,10.76,2.71,3.43,3.48,,1.3,1.3,,115,14986
Tanner Houck,BOS,18,49,119,7,6,0,1,111,57,16,129,45,1.31,9.72,3.41,4.31,4.03,,1.3,1.4,,208.7,19879
Andrew Kittredge,TBR,0,70,70,5,3,20,7,61,25,7,77,17,1.12,9.88,2.23,3.19,3.19,,1.3,1.5,,274,12828
Blake Treinen,LAD,0,70,70,6,3,27,6,59,27,7,78,26,1.22,10.02,3.37,3.43,3.44,,1.3,1.2,,172.1,12572
Nestor Cortes,NYY,19,50,140,7,6,0,1,134,70,27,148,45,1.28,9.53,2.91,4.49,4.6,,1.3,1.3,,352,17874
Tyler Anderson,,29,29,163,8,10,0,0,169,87,30,136,46,1.31,7.49,2.51,4.78,4.84,,1.3,1.3,,557.3,12880
Scott Barlow,KCR,0,74,74,4,3,27,4,63,30,8,91,31,1.27,11.05,3.75,3.68,3.56,,1.3,1.4,,165.3,14993
Adbert Alzolay,CHC,23,27,124,8,8,0,1,119,63,20,127,44,1.31,9.19,3.2,4.54,4.45,,1.3,1.2,,360.4,17859
Josiah Gray,WSN,24,24,129,6,7,0,0,124,69,25,138,50,1.35,9.56,3.51,4.82,4.84,,1.3,1,,287,24580
Dallas Keuchel,CHW,29,29,162,10,10,0,0,176,82,23,109,56,1.44,6.08,3.11,4.57,4.81,,1.3,1.6,,558.8,9434
Taijuan Walker,NYM,29,29,159,9,10,0,0,154,80,26,149,57,1.32,8.39,3.2,4.53,4.62,,1.3,0.9,,366.6,11836
José Suarez,LAA,24,24,133,9,9,0,0,132,67,20,121,52,1.37,8.15,3.48,4.53,4.65,,1.3,1.4,,497.2,19911
James Karinchak,CLE,0,66,66,6,4,2,13,47,24,8,98,33,1.21,13.32,4.54,3.31,3.32,,1.3,1.4,,422.3,20151
