,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,8 Gran...,Adolis Garcia,20.3,3.7,5.3,1.1,4.1,2.1,5.8,0.6,0.1,0.262,0.333,0.487,139.0,TEX,RF,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,73,5,0,0,0.0,h,-0.32917477076965795,,,0.9661746285363988,0.9652716888952482,1.4991574557188716,0.3994422734033211,-0.6676419188602063,3.162404127693633,,,,,,0.0,3.162404127693633,"['OF', 'DH']"
1,1,8 Gran...,Paul Goldschmidt,20.7,3.7,6.0,1.1,3.6,2.7,5.6,0.4,0.0,0.292,0.378,0.517,148.0,STL,1B,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,66,0,0,0,0,66,0,5,0,0,0.0,h,0.25990552931369937,,,0.9661746285363988,0.9652716888952482,0.8629002733570205,-0.09330038502851314,0.527148012916213,3.2281942186763675,,,,,,0.0,3.2281942186763675,"['1B', 'CI', 'DH']"
2,2,8 Gran...,Andres Gimenez,19.4,3.0,5.9,0.7,2.9,1.4,3.7,0.8,0.2,0.302,0.375,0.485,210.0,CLE,2B,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,71,0,0,71,0,0,5,0,0,0.0,h,0.5203945540427908,,,-0.006578210236843351,-0.32685437386353955,-0.02785978194957215,0.8921849318351556,1.0554794883373684,1.586372054122569,,,,,,0.0,1.586372054122569,"['2B', 'MI', 'DH']"
3,3,8 Gran...,Steven Kwan,19.9,3.9,6.1,0.3,2.2,2.5,2.5,0.9,0.2,0.308,0.389,0.43,237.0,CLE,LF,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,75,5,0,0,0.0,h,0.5817449291469856,,,1.244104011043039,-1.6189804366223266,-0.9186198372561643,1.1385562610510727,1.1799121174285572,1.024972115644178,,,,,,0.0,1.024972115644178,"['OF', 'DH']"
4,4,8 Gran...,Ozzie Albies,19.7,3.3,5.2,1.0,3.2,1.7,3.9,0.5,0.1,0.263,0.324,0.487,242.0,ATL,2B,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77,0,0,77,0,0,5,0,0,0.0,h,-0.26279522089469154,,,0.4103158635231172,0.642240173205551,0.3538945274675392,0.15307094418740397,-0.533008970083549,1.0265125383000624,,,,,,0.0,1.0265125383000624,"['2B', 'MI', 'DH']"
5,5,8 Gran...,Brandon Nimmo,23.7,4.0,6.8,0.7,2.9,3.0,5.7,0.2,0.1,0.288,0.381,0.452,254.0,NYM,CF,Madness,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,72,5,0,0,0.0,h,0.22800777993887245,,,1.3830687022963595,-0.32685437386353955,-0.02785978194957215,-0.5860430434603475,0.46245206264597327,0.9047635656688735,,,,,,0.0,0.9047635656688735,"['OF', 'DH']"
6,6,8 Gran...,Dansby Swanson,21.1,3.0,5.8,0.6,3.0,2.0,5.7,0.4,0.1,0.276,0.341,0.432,346.0,CHC,SS,Madness,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,74,0,0,5,0,0,0.0,h,-0.05101417060294544,,,-0.006578210236843351,-0.6498858895532363,0.0993916545227983,-0.09330038502851314,-0.1034684361464807,-0.7538412664422752,,,,,,0.0,-0.7538412664422752,"['SS', 'MI', 'DH']"
7,7,8 Gran...,Kris Bryant,20.3,3.1,6.0,0.8,2.4,2.2,4.4,0.1,0.0,0.294,0.372,0.452,373.0,COL,LF,Madness,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,38,5,0,0,0.0,h,0.3708252292303422,,,0.13238648101647704,-0.0038228581738424423,-0.6641169643114239,-0.8324143726762646,0.752118599570212,-0.6158491145748419,,,,,,0.0,-0.6158491145748419,"['OF', 'DH']"
8,8,8 Gran...,Salvador Perez,17.2,2.4,4.6,1.1,3.1,0.6,4.7,0.0,0.0,0.27,0.308,0.507,403.0,KC,C,Madness,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,1,0,0,0,0,1,0,5,0,0,0.0,h,-0.16954709641567067,,,-0.8403663577567652,0.9652716888952482,0.22664309099516877,-1.0787857018921818,-0.34388039072212223,-1.0711176704806522,,,,,,0.0,-1.0711176704806522,"['C', 'DH']"
9,9,8 Gran...,Ian Happ,15.9,2.2,4.3,0.6,2.3,2.2,4.6,0.3,0.1,0.272,0.363,0.466,573.0,CHC,LF,Madness,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,72,5,0,0,0.0,h,-0.10905807168657944,,,-1.1182957402634053,-0.6498858895532363,-0.7913684007837943,-0.3396717142444304,-0.22119477770965798,-3.120416522554524,,,,,,0.0,-3.120416522554524,"['OF', 'DH']"
