,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
154,Jon Berti,MIA,83,350,308,76,56,13,2,4,44,24,34,0,79,5,2,1,7,22,5,0.247986,0.0970817,0.225679,0.430177,0.330377,0.350472,0.305374,0.68085,0.102486,6.94228,0.317746,,1.86563,38.7799,-1.21441,98.4386,1.86563,3.72,1.231112718582153,4.268941819667816,1.81086,265.54998779296875,,,,12037
155,Hunter Renfroe,LAA,130,559,505,119,66,24,1,29,70,75,45,1,134,4,4,1,8,2,1,0.235698,0.0802974,0.23914,0.335775,0.301315,0.456224,0.326951,0.757539,0.220525,2.79136,0.260996,,-0.369668,71.5225,7.63399,111.927,-0.369668,-1.63,7.129128038883209,-7.648518443107605,1.81045,152.41000366210938,,,,15464
156,Chas McCormick,HOU,105,458,407,97,64,17,2,15,56,51,44,1,121,4,3,1,8,6,2,0.239182,0.0960433,0.264233,0.36348,0.317258,0.398378,0.314635,0.715636,0.159196,4.51671,0.301338,,0.00702944,54.2178,1.78062,105.651,0.00702944,-0.23,2.923059126827866,-0.6039316803216934,1.77421,415.7699890136719,,,,19599
157,Michael A. Taylor,KCR,113,474,432,103,70,20,2,11,51,48,34,0,122,3,3,2,8,9,2,0.239211,0.0711356,0.256243,0.27761,0.297581,0.374652,0.295679,0.672233,0.135441,4.83126,0.304356,,0.371756,48.9528,-5.29985,88.4044,0.371756,5.77,-5.819231420755386,7.513827085494995,1.76163,589.5499877929688,,,,11489
158,Cody Bellinger,CHC,122,514,459,104,61,22,3,18,60,58,49,2,132,3,3,1,6,11,3,0.226116,0.0949594,0.256781,0.369807,0.302571,0.40422,0.308061,0.706791,0.178103,5.17149,0.275037,,0.439365,58.139,-0.688398,98.3063,0.439365,-1.86,-0.5729767084121704,0.0227159261703491,1.75639,187.41000366210935,,,,15998
159,Wilmer Flores,SFG,118,505,449,110,72,22,1,14,54,56,44,0,81,6,5,1,9,0,0,0.244112,0.0880683,0.161117,0.546609,0.317518,0.393851,0.313069,0.711368,0.149738,1.95324,0.265943,,-0.510139,59.1009,1.33339,103.072,-0.510139,-2.05,1.2931911945343018,-1.5441701412200928,1.75513,329.82000732421875,,,,5827
160,DJ LeMahieu,NYY,102,438,389,104,80,16,1,6,49,39,43,0,64,2,3,1,12,2,1,0.26694,0.0984428,0.147011,0.669628,0.341128,0.366266,0.315459,0.707394,0.0993262,3.18153,0.303201,,-0.445207,52.1232,1.98919,106.435,-0.445207,2.27,2.729755938053131,-0.0036625862121582,1.7497,257.6400146484375,,,,9874
161,Anthony Santander,BAL,151,640,577,138,79,29,1,30,74,88,49,2,127,8,5,1,9,1,0,0.239886,0.0767193,0.198705,0.386097,0.305967,0.449236,0.326024,0.755203,0.20935,2.28709,0.25529,,-0.500338,81.4495,8.27261,113.351,-0.500338,-3.7,9.114251017570496,-12.895705461502075,1.73908,132.27000427246094,,,,14551
162,Brian Anderson,,113,490,432,105,68,20,2,15,58,55,45,1,123,10,3,1,10,3,1,0.243266,0.0916095,0.251568,0.364155,0.326812,0.404806,0.32225,0.731618,0.16154,3.52528,0.302859,,-0.333876,60.92,4.86741,108.933,-0.333876,-1.49,4.673684865236282,-4.285659551620483,1.72316,559.0900268554688,,,,18289
163,Alex Verdugo,BOS,141,605,549,152,105,32,3,11,71,65,47,3,85,4,5,0,15,4,1,0.277265,0.0781475,0.141182,0.553523,0.336241,0.409863,0.32535,0.746104,0.132597,3.8474,0.308157,,-0.389405,76.757,7.50454,106.987,-0.389405,-0.73,4.372723996639252,-7.257777690887451,1.71864,203.7700042724609,,,,17027
164,Jose Siri,TBR,118,503,466,99,63,20,3,13,55,48,29,0,173,4,3,1,6,18,4,0.212984,0.0570906,0.344434,0.165752,0.26335,0.355079,0.27129,0.618429,0.142095,6.59698,0.304181,,1.70843,42.1983,-15.3766,79.5386,1.70843,8.32,-9.885108351707458,10.140987277030945,1.70755,304.95001220703125,,,,17452
165,Brandon Drury,LAA,115,496,451,108,66,22,1,19,59,59,36,0,116,5,3,1,9,2,1,0.240192,0.072325,0.233342,0.309953,0.302052,0.420015,0.314868,0.722067,0.179823,3.15265,0.280082,,-0.332855,58.7181,2.01702,103.4,-0.332855,-0.75,1.564181387424469,-1.174926072359085,1.69604,199.63999938964844,,,,11615
166,Max Kepler,MIN,123,526,459,109,66,24,2,17,63,58,57,2,90,6,4,0,9,6,2,0.238473,0.108329,0.170481,0.63543,0.327893,0.410591,0.323806,0.738485,0.172118,4.00192,0.259463,,-0.0369064,66.082,5.87837,112.943,-0.0369064,-2.54,7.631758496165276,-8.23444414138794,1.69414,374.8200073242188,,,,12144
167,Manuel Margot,TBR,128,545,496,124,87,23,3,12,63,54,40,1,94,3,4,1,10,16,5,0.250127,0.0738358,0.172211,0.428752,0.308121,0.379212,0.301838,0.687334,0.129085,5.31869,0.284388,,0.620404,58.8852,-3.42192,101.096,0.620404,1.64,1.2924899458885193,-2.4856446981430054,1.69354,310.54998779296875,,,,14712
168,Joc Pederson,SFG,123,526,461,109,62,23,2,22,64,68,52,3,122,9,4,0,9,3,1,0.237691,0.0988775,0.231248,0.427583,0.32408,0.442463,0.332654,0.766543,0.204771,3.61748,0.271491,,-0.319036,69.7096,9.56808,116.458,-0.319036,-1.63,9.738295942544935,-11.32054603099823,1.68856,247.9499969482422,,,,11899
169,Christian VÃ¡zquez,MIN,100,396,365,90,66,16,1,7,40,37,23,0,68,3,3,1,8,4,2,0.245478,0.0592176,0.171017,0.346268,0.293639,0.349747,0.283816,0.643386,0.10427,3.68559,0.282511,,-0.313119,37.1145,-8.15135,84.7234,-0.313119,3.77,-7.118378609418869,10.560123443603516,1.68274,250.63999938964844,,,,9774
170,Gio Urshela,LAA,107,461,423,110,75,21,1,13,52,51,31,1,92,3,3,1,10,0,0,0.259492,0.0677558,0.198868,0.340708,0.312884,0.402886,0.312378,0.715769,0.143394,2.30046,0.301474,,-0.438126,53.6716,0.963618,101.643,-0.438126,0.66,0.4139549136161804,0.8664043247699738,1.67304,371.3599853515625,,,,10681
171,Kolten Wong,SEA,120,507,448,104,72,20,2,10,56,43,42,2,97,11,4,2,9,15,5,0.232964,0.0831949,0.191307,0.434877,0.312344,0.356524,0.297027,0.668869,0.12356,5.08305,0.27277,,0.528399,52.8454,-5.11994,97.443,0.528399,-1.34,-0.9302409887313844,0.5118516683578491,1.64815,243.41000366210935,,,,12532
172,Josh Naylor,CLE,130,551,495,128,82,25,1,21,66,74,46,4,86,6,4,0,14,3,1,0.25911,0.0827538,0.155403,0.532512,0.326566,0.438422,0.331281,0.764988,0.179312,2.77198,0.274232,,-0.421908,72.4397,9.42438,116.657,-0.421908,-0.05,9.908019125461578,-11.786110688000916,1.6423,223.82000732421875,,,,18839
173,Travis d'Arnaud,ATL,102,423,386,97,64,18,1,13,48,49,27,0,92,5,3,1,9,0,0,0.250411,0.06412,0.218194,0.293868,0.305835,0.404536,0.310365,0.710371,0.154125,2.39652,0.294606,,-0.384424,48.6259,0.208115,97.0895,-0.384424,5.5,-1.816248506307602,3.226337432861328,1.6412,228.22999572753903,,,,7739
174,Joey Wendle,MIA,113,480,441,111,78,24,4,6,51,43,27,1,84,8,3,1,10,12,4,0.251842,0.056649,0.175033,0.323647,0.304961,0.360803,0.293162,0.665764,0.10896,5.49672,0.297183,,0.416834,48.5718,-6.32235,90.0918,0.416834,0.33,-5.109585583209992,4.592688649892807,1.6386,398.2699890136719,,,,13853
175,Mark Canha,NYM,131,571,490,116,80,24,2,11,66,55,56,0,114,21,4,1,12,5,2,0.237854,0.0985354,0.199602,0.493659,0.339169,0.362554,0.315732,0.701723,0.1247,3.91039,0.286106,,-0.385397,68.0064,2.71415,109.114,-0.385397,-3.42,5.6611616015434265,-9.28009557723999,1.63356,347.67999267578125,,,,11445
176,Bryson Stott,PHI,117,500,452,108,72,21,3,11,57,49,41,1,109,2,3,1,9,9,2,0.238701,0.0829621,0.217567,0.381318,0.303748,0.373643,0.297773,0.677392,0.134942,5.17052,0.288756,,0.433986,52.4181,-4.75364,89.4796,0.433986,2.43,-5.677335560321808,4.335864186286926,1.62226,999.0,,,,26294
177,Andrew Vaughn,CHW,141,596,537,141,92,28,1,20,70,71,46,1,110,9,4,1,13,0,0,0.262702,0.0767445,0.183992,0.417109,0.328366,0.429126,0.330534,0.757492,0.166424,2.21359,0.294541,,-0.591268,78.0645,9.84845,115.722,-0.591268,-2.44,9.96331387758255,-13.66977834701538,1.60214,143.27000427246094,,,,26197
178,Jose Miranda,MIN,138,589,540,137,90,30,1,16,63,66,35,1,99,9,4,1,12,1,0,0.252844,0.0588789,0.168358,0.349724,0.306093,0.399702,0.308217,0.705795,0.146858,2.41886,0.281046,,-0.526773,66.6181,-0.714822,101.943,-0.526773,-1.5,0.7607085704803467,-4.460704565048218,1.57704,999.0,,,,20538
179,Christopher Morel,CHC,121,514,463,107,65,21,3,18,62,54,40,1,155,4,3,4,8,12,4,0.230595,0.0774887,0.301371,0.25712,0.295551,0.403854,0.30533,0.699405,0.173259,5.77296,0.304277,,0.535409,57.0234,-1.80398,96.4399,0.535409,-2.7,-1.592515766620636,-0.7317819595336914,1.57012,999.0,,,,21897
180,Garrett Cooper,MIA,130,548,485,125,86,25,1,14,61,59,51,1,137,9,3,1,13,1,0,0.258696,0.092779,0.249088,0.372475,0.33803,0.401574,0.32639,0.739604,0.142878,2.58285,0.330085,,-0.572839,69.9879,7.25174,112.803,-0.572839,-0.77,7.588536024093628,-11.10559892654419,1.56543,424.4500122070313,,,,15279
181,Jorge Soler,MIA,128,542,472,110,63,22,0,25,63,73,57,1,144,7,4,1,9,1,0,0.232574,0.104837,0.266474,0.393423,0.322101,0.438272,0.331501,0.760373,0.205698,1.91228,0.277449,,-0.489828,71.312,9.36005,116.297,-0.489828,-0.67,9.768492847681046,-13.11444467306137,1.55921,292.9100036621094,,,,14221
182,AvisaÃ­l GarcÃ­a,MIA,138,583,532,136,93,22,2,19,65,69,37,2,151,9,4,1,13,7,2,0.25563,0.0640475,0.259081,0.247211,0.313329,0.410427,0.315644,0.723756,0.154797,4.08396,0.319659,,-0.0200719,69.3877,2.73057,105.459,-0.0200719,-1.42,3.676991816610098,-8.417354464530945,1.55791,324.9100036621094,,,,5760
183,Gary Sanchez,,86,348,307,65,36,13,0,16,39,45,33,0,100,5,2,0,5,1,0,0.2113,0.0944053,0.288382,0.327362,0.29682,0.408224,0.309089,0.705044,0.196924,2.08779,0.254504,,-0.289579,39.6271,-0.181607,99.7939,-0.289579,1.09,-0.3716500028967857,3.666252732276917,1.54078,346.7300109863281,,,,11442
184,Dylan Moore,SEA,91,383,335,69,41,14,1,13,49,34,36,1,111,9,2,1,3,22,6,0.204946,0.094796,0.290351,0.326488,0.297787,0.366448,0.295321,0.664235,0.161502,6.65439,0.263269,,1.59469,39.4714,-4.39427,96.2391,1.59469,1.72,-0.0288618803024292,2.500178337097168,1.53997,449.8200073242188,,,,18042
185,Garrett Mitchell,MIL,109,463,417,95,65,18,3,9,53,38,39,1,145,5,2,1,8,14,3,0.227644,0.0832856,0.31354,0.26563,0.298883,0.351057,0.288453,0.64994,0.123413,5.94318,0.323769,,1.20523,45.1673,-7.83825,84.0797,1.20523,4.72,-7.368947982788086,6.4020984172821045,1.53311,999.0,,,,27555
186,Tyrone Taylor,MIL,118,505,462,109,64,22,2,20,59,62,31,0,124,7,3,1,8,5,2,0.236087,0.0621477,0.244706,0.253968,0.293348,0.425408,0.31213,0.718756,0.189321,4.21664,0.276154,,-0.12638,58.7087,0.956422,100.263,-0.12638,1.4,0.0282039642333984,-2.4443072080612183,1.52733,403.1400146484375,,,,13675
187,Lane Thomas,WSN,130,542,489,116,71,25,3,17,64,56,45,0,136,5,3,1,9,10,3,0.236228,0.0828199,0.250448,0.330687,0.304642,0.401239,0.309524,0.705881,0.165011,4.91205,0.290735,,0.328406,61.9522,-0.095652,97.4645,0.328406,1.76,-1.270089477300644,-2.553271532058716,1.51204,271.1400146484375,,,,16939
188,Adolis GarcÃ­a,TEX,152,644,593,137,79,29,3,27,79,76,39,2,188,7,5,1,8,18,5,0.231463,0.0608396,0.290956,0.209102,0.284486,0.423974,0.305981,0.70846,0.192511,5.54962,0.288369,,0.941599,71.7961,-1.92764,98.9126,0.941599,2.16,0.1526364088058471,-6.274462461471558,1.50931,59.40999984741211,,,,19287
189,Esteury Ruiz,OAK,102,421,373,85,57,19,2,7,46,27,27,1,101,7,2,11,5,23,2,0.227852,0.0650161,0.240005,0.270895,0.291217,0.343144,0.281175,0.634361,0.115291,6.80456,0.292672,,3.31964,38.5729,-9.54826,86.6721,3.31964,4.81,-2.992030382156372,3.9854848980903625,1.50902,999.0,,,,21780
190,Brandon Marsh,PHI,122,521,470,112,74,22,4,11,61,49,43,2,166,4,3,1,8,12,3,0.238086,0.0826478,0.317924,0.259961,0.305523,0.374195,0.29843,0.679718,0.13611,5.77877,0.339645,,0.762779,54.8736,-4.68025,89.9282,0.762779,0.0,-5.331725180149078,1.882715940475464,1.47444,292.0899963378906,,,,20202
191,MJ Melendez,KCR,131,531,466,106,60,26,3,18,60,62,57,1,140,3,4,1,7,5,1,0.228194,0.107984,0.263563,0.409706,0.314745,0.410747,0.317491,0.725492,0.182553,4.2491,0.283766,,-0.129239,64.0545,3.26941,103.796,-0.129239,-3.79,2.141730472445488,-5.362359523773193,1.43624,999.0,,,,22197
192,Austin Meadows,DET,125,517,455,110,67,25,4,15,59,56,51,2,92,6,4,0,7,5,1,0.242239,0.0994667,0.178481,0.557295,0.32448,0.413476,0.322588,0.737955,0.171237,4.55535,0.269963,,-0.110657,64.4189,5.27493,111.927,-0.110657,-1.45,6.831370107829571,-9.64203953742981,1.43137,279.82000732421875,,,,15672
193,Luis Rengifo,LAA,105,454,417,103,71,18,2,12,54,45,27,1,80,5,4,2,9,9,3,0.247605,0.0596917,0.175482,0.340159,0.298266,0.38607,0.298746,0.684336,0.138465,5.17548,0.278356,,0.365242,47.9441,-3.96534,92.0227,0.365242,-1.13,-3.709944933652878,2.870289444923401,1.42714,290.2699890136719,,,,19858
194,Reese McGuire,BOS,91,356,323,73,52,16,1,5,34,29,23,1,77,4,2,4,7,1,1,0.226834,0.0645144,0.215215,0.299767,0.283944,0.3262,0.270571,0.610144,0.0993658,3.62844,0.281604,,-0.225098,29.6344,-11.0755,68.3311,-0.225098,8.11,-12.912762716412544,15.131604671478271,1.42134,486.9500122070313,,,,15674
195,Jeimer Candelario,WSN,134,563,506,120,76,28,2,15,58,59,46,2,129,6,3,0,10,0,0,0.237731,0.0823873,0.230106,0.358041,0.307865,0.389663,0.306019,0.697528,0.151933,2.40727,0.288264,,-0.503295,62.7084,-1.66626,95.0688,-0.503295,-0.23,-3.728750467300415,-1.6501250118017197,1.42047,394.5499877929688,,,,13621
196,Elias DÃ­az,COL,96,374,343,84,54,16,1,12,42,44,26,0,74,3,2,0,8,0,0,0.245205,0.0687462,0.198234,0.346794,0.30081,0.406746,0.308732,0.707556,0.161541,2.08445,0.277308,,-0.339298,42.537,-0.301733,83.4999,-0.339298,0.99,-7.521275341510773,8.397407293319702,1.41309,350.6400146484375,,,,11680
197,Roberto Perez,,71,282,249,52,34,8,0,9,29,29,26,0,90,3,1,1,6,1,0,0.206682,0.092787,0.320682,0.289343,0.287497,0.347377,0.283187,0.634873,0.140695,2.82994,0.282801,,-0.225506,26.3087,-5.95009,81.8069,-0.225506,4.81,-6.094932809472084,10.288394927978516,1.40855,748.22998046875,,,,2900
198,Kyle Higashioka,NYY,50,197,181,39,23,8,0,8,20,25,12,0,49,1,2,1,3,0,0,0.217419,0.0613525,0.248238,0.247152,0.269536,0.401478,0.291096,0.671015,0.184059,2.13193,0.247491,,-0.138507,19.5938,-2.91533,89.2426,-0.138507,5.79,-2.521452695131302,9.648024559020996,1.40533,591.27001953125,,,,5517
199,Austin Nola,SDP,83,326,292,70,51,13,1,5,33,31,26,0,53,5,2,1,7,1,0,0.239915,0.0788682,0.163939,0.481082,0.309515,0.342772,0.291163,0.652288,0.102857,2.73675,0.275349,,-0.308477,32.4658,-4.8108,90.1631,-0.308477,0.0,-4.034254968166351,6.40432071685791,1.39841,406.9100036621094,,,,15941
200,Kevin Kiermaier,TOR,100,430,391,92,63,18,3,7,50,38,32,1,105,5,2,0,9,12,3,0.235463,0.0741968,0.244573,0.303373,0.299201,0.354618,0.289092,0.653819,0.119155,6.14237,0.302336,,0.831502,42.1522,-7.05882,87.6907,0.831502,3.19,-5.129847586154938,4.733209848403931,1.39488,544.27001953125,,,,11038
201,Aledmys DÃ­az,OAK,112,461,422,102,68,22,1,12,45,51,27,0,82,6,3,2,9,2,1,0.242397,0.0583919,0.17699,0.329917,0.295142,0.384805,0.297759,0.679947,0.142407,2.80065,0.272025,,-0.306529,48.3166,-4.38754,98.3753,-0.306529,0.08,-1.1492281258106232,-0.2456396967172622,1.39204,412.6799926757813,,,,15937
202,Trey Mancini,CHC,138,595,531,133,88,25,1,19,68,69,51,2,135,9,3,1,13,1,0,0.251158,0.0857062,0.22737,0.376947,0.324665,0.41055,0.322423,0.735214,0.159391,2.40449,0.300429,,-0.585693,74.0564,5.99255,109.054,-0.585693,0.6,5.577035129070282,-11.84152066707611,1.38519,288.4100036621094,,,,15149
203,Kevin Plawecki,,58,230,208,49,35,9,0,4,22,22,16,0,43,4,1,1,5,1,0,0.235628,0.0679373,0.18664,0.364002,0.298882,0.343907,0.285948,0.642788,0.108279,2.63559,0.27616,,-0.22199,21.962,-4.34838,83.7243,-0.22199,5.67,-4.504587039351463,10.145308494567873,1.38196,749.5,,,,13807
204,Bo Naylor,CLE,62,243,216,49,31,11,1,7,28,27,22,0,67,2,2,0,3,4,1,0.227646,0.092035,0.275574,0.333975,0.303673,0.382931,0.301892,0.686604,0.155285,5.09024,0.293609,,0.283019,26.2783,-1.51594,95.918,0.283019,3.21,-0.8335126042366028,6.181085109710693,1.37282,999.0,,,,21865
205,Tom Murphy,SEA,66,262,234,48,28,10,0,10,27,30,24,0,84,2,1,0,4,1,0,0.203742,0.0909548,0.318872,0.285239,0.282547,0.375702,0.289932,0.658249,0.17196,2.54272,0.266375,,-0.194157,25.8632,-4.12662,92.4362,-0.194157,3.56,-2.426512211561203,7.16207766532898,1.37266,692.8200073242188,,,,13499
206,Justin Turner,BOS,130,557,493,128,83,27,1,17,65,66,48,1,98,10,5,1,10,1,1,0.258814,0.0860795,0.1756,0.490203,0.333533,0.417136,0.329014,0.750668,0.158321,2.40767,0.289536,,-0.555787,72.2017,8.52128,109.573,-0.555787,-0.01,5.443734645843506,-10.191326865926383,1.36043,240.0,,,,5235
207,JosÃ© Iglesias,,110,476,445,118,89,24,3,3,48,43,18,0,67,7,3,1,11,4,1,0.26573,0.038789,0.141591,0.27395,0.303254,0.351829,0.288877,0.655082,0.0860989,4.19742,0.305195,,-0.213117,46.5595,-7.89156,85.7584,-0.213117,1.47,-7.968527108430862,5.357893228530884,1.36024,596.8200073242188,,,,10231
208,TJ Friedl,CIN,104,438,389,96,62,19,3,13,53,47,36,1,83,9,3,2,7,9,3,0.247197,0.0811236,0.190008,0.426948,0.321609,0.410238,0.321078,0.731846,0.16304,5.33189,0.281326,,0.368486,54.0284,3.94173,99.8215,0.368486,2.18,0.2776608541607857,-2.1332714557647705,1.34978,376.4100036621094,,,,19522
209,Nick Senzel,CIN,118,499,450,117,80,25,2,9,57,49,37,0,93,5,3,2,9,9,3,0.259426,0.0745974,0.186604,0.399764,0.320213,0.387108,0.311221,0.707322,0.127682,4.82514,0.306273,,0.152549,57.7156,0.585454,93.0847,0.152549,-2.18,-3.8616301119327545,-0.3590124845504761,1.31867,509.1799926757813,,,,19293
210,Logan O'Hoppe,LAA,79,313,282,67,44,13,1,9,34,33,25,2,64,3,2,0,6,2,1,0.235821,0.080523,0.204405,0.393938,0.303879,0.379072,0.299476,0.682951,0.143251,3.69897,0.273718,,-0.0715114,33.2683,-2.55494,92.5378,-0.0715114,-0.81,-2.702253982424736,5.285678803920746,1.31697,999.0,,,,24729
211,Josh Jung,TEX,121,514,473,114,72,24,1,17,55,59,31,1,144,6,3,1,8,4,1,0.240837,0.0608197,0.279489,0.21761,0.294695,0.402811,0.303603,0.697506,0.161974,3.74613,0.307858,,-0.164511,56.3128,-2.50928,97.2347,-0.164511,-1.88,-1.7652691900730133,-2.4028396010398865,1.27945,999.0,,,,26299
212,Tommy Pham,,125,539,472,116,78,22,2,15,67,55,58,1,133,6,3,1,11,12,4,0.246741,0.106908,0.246427,0.433832,0.333935,0.396039,0.322763,0.729973,0.149298,4.95647,0.310308,,0.304843,67.2317,5.57394,109.289,0.304843,-3.26,6.032946437597275,-11.516173124313354,1.27494,384.2300109863281,,,,2967
213,Jurickson Profar,,128,553,482,114,76,25,2,11,63,51,58,1,88,7,3,2,11,7,2,0.236756,0.105219,0.159636,0.65912,0.325338,0.369017,0.309065,0.694355,0.132261,4.43832,0.266198,,-0.0857767,62.9604,-0.298927,99.7775,-0.0857767,0.16,-0.2265338897705078,-5.765925735235214,1.26954,377.1400146484375,,,,10815
214,Trayce Thompson,LAD,107,460,414,85,47,17,1,19,55,58,40,1,166,4,2,0,5,4,2,0.206357,0.0866649,0.360495,0.240405,0.280743,0.395211,0.295106,0.675954,0.188854,4.04811,0.285969,,-0.148973,47.287,-5.3517,90.7797,-0.148973,1.27,-5.080400124192238,1.62190243601799,1.26018,430.8599853515625,,,,9952
215,Austin Hays,BAL,138,585,537,132,86,27,2,16,64,64,34,0,117,8,4,1,11,5,2,0.245317,0.0584629,0.199614,0.29288,0.298413,0.395114,0.303496,0.693526,0.149797,4.07874,0.283027,,-0.256603,63.9791,-2.90307,97.4529,-0.256603,1.51,-1.933130919933319,-4.678453207015991,1.25818,260.9100036621094,,,,19363
216,Michael Brantley,HOU,107,465,417,115,81,23,2,8,55,49,41,2,58,4,3,1,12,1,1,0.275293,0.0875719,0.1238,0.707368,0.343379,0.399883,0.326427,0.743263,0.12459,2.99444,0.300935,,-0.481318,59.4122,6.16824,113.972,-0.481318,0.08,6.839803755283356,-9.677295610308647,1.25633,347.67999267578125,,,,4106
217,Victor Caratini,MIL,66,261,231,53,36,10,0,7,26,26,24,2,58,4,1,1,6,0,0,0.228637,0.0910456,0.223854,0.406719,0.310489,0.359747,0.296919,0.670235,0.13111,1.84125,0.275728,,-0.25936,27.179,-2.65783,89.8665,-0.25936,1.67,-3.3314456045627594,6.507963061332703,1.25365,636.0,,,,14968
218,Evan Longoria,ARI,100,427,386,93,57,18,1,17,48,56,32,2,110,4,3,1,8,1,0,0.241221,0.0759019,0.256999,0.295339,0.304071,0.422098,0.315054,0.72617,0.180877,2.51059,0.290738,,-0.371083,50.6175,1.7997,100.949,-0.371083,-0.12,0.0995815098285675,-2.559267394244671,1.24722,485.5899963378906,,,,9368
219,Matt Carpenter,SDP,104,448,385,84,46,19,1,17,53,56,52,2,122,6,3,1,6,2,1,0.218717,0.117075,0.27271,0.429302,0.319788,0.408467,0.319745,0.728255,0.18975,3.09363,0.269929,,-0.360049,54.7842,3.55737,109.699,-0.360049,-0.23,4.688400834798813,-7.909012302756309,1.24162,440.2699890136719,,,,8090
220,Oscar Gonzalez,CLE,130,551,519,140,95,29,2,15,61,69,24,3,112,4,4,1,12,3,1,0.270539,0.0429623,0.203516,0.2111,0.305438,0.418284,0.312058,0.723722,0.147745,3.40025,0.31793,,-0.291953,64.0271,1.01172,103.092,-0.291953,-0.61,1.6253108978271484,-7.43098771572113,1.22992,183.08999633789065,,,,20970
221,CÃ©sar HernÃ¡ndez,,94,406,365,92,66,17,2,6,44,37,34,1,81,3,2,2,9,4,1,0.250574,0.0839018,0.198773,0.422098,0.318232,0.363531,0.301872,0.681763,0.112958,4.51794,0.303532,,-0.0544838,43.9039,-2.5396,94.7824,-0.0544838,0.8,-2.47796268761158,0.7999999649209286,1.21782,708.8200073242188,,,,10556
222,Jonathan Schoop,DET,131,544,506,121,82,23,2,14,52,56,26,1,112,7,4,1,11,2,1,0.2381,0.0484304,0.205123,0.236104,0.283243,0.371593,0.286689,0.654836,0.133493,3.04231,0.277345,,-0.371122,52.2542,-9.96224,86.5936,-0.371122,0.81,-8.57966035604477,2.831604778766632,1.21265,447.3599853515625,,,,11265
223,AJ Pollock,SEA,120,518,474,120,74,26,2,18,62,64,34,1,107,6,4,1,9,6,2,0.252663,0.0657709,0.206027,0.319234,0.308882,0.430649,0.321075,0.739532,0.177987,4.1269,0.288241,,-0.0634868,63.9175,4.66197,108.117,-0.0634868,-1.77,4.746645212173462,-10.165061473846436,1.20964,433.1400146484375,,,,9256
224,Endy Rodriguez,PIT,62,240,219,56,35,14,1,5,25,27,17,1,49,2,2,0,4,1,0,0.253521,0.0699145,0.202595,0.345094,0.310428,0.398911,0.309637,0.709339,0.14539,3.57546,0.30176,,-0.0999053,27.3841,-0.0207783,98.5233,-0.0999053,0.0,-0.5110990479588509,3.963844776153565,1.20766,999.0,,,,sa3008272
225,Carson Kelly,ARI,84,327,291,66,44,14,1,7,32,34,29,0,67,4,2,0,6,0,0,0.225071,0.0896534,0.205353,0.436582,0.302236,0.353772,0.291847,0.656008,0.128701,2.34623,0.265371,,-0.309616,32.8008,-4.65614,85.0865,-0.309616,0.0,-5.9854995906353,6.481481552124023,1.2072,416.5,,,,13620
226,Anthony Volpe,NYY,71,306,276,63,38,15,2,8,35,30,23,1,68,4,2,0,4,9,1,0.227406,0.0759342,0.220556,0.344285,0.295285,0.37883,0.295778,0.674115,0.151425,5.80293,0.270486,,1.03463,31.6177,-3.39654,92.5464,1.03463,0.0,-1.533750057220459,3.287037134170532,1.2062,999.0,,,,sa3010868
227,Victor Robles,WSN,117,488,436,98,64,19,2,11,55,39,30,1,123,14,3,6,7,15,4,0.223686,0.0606778,0.252642,0.240173,0.29253,0.35778,0.288055,0.65031,0.134094,6.14173,0.283501,,1.05678,47.4311,-8.41201,82.7907,1.05678,1.9,-8.707787036895752,3.705555438995361,1.19692,495.4100036621094,,,,18363
228,Nick Gordon,MIN,86,367,337,85,55,19,2,9,44,38,22,1,88,4,2,1,6,9,2,0.251903,0.0609892,0.23926,0.254908,0.304974,0.402505,0.307961,0.70748,0.150603,5.55724,0.311961,,0.401173,41.4637,-0.520409,101.762,0.401173,-0.09,1.1292586624622345,-1.417160481214523,1.19534,277.2699890136719,,,,16337
229,Ji Hwan Bae,PIT,83,351,319,82,59,17,2,4,40,30,26,1,71,3,2,1,7,13,2,0.257277,0.0731691,0.201988,0.362244,0.316625,0.364548,0.300656,0.681172,0.10727,6.08951,0.316776,,1.30518,37.5653,-2.53123,92.3849,1.30518,-0.7,-1.7972782850265503,1.3845437169075012,1.19319,999.0,,,,23818
230,Whit Merrifield,TOR,121,520,480,123,88,25,3,8,62,48,32,0,88,3,4,1,9,19,5,0.257278,0.0624042,0.168244,0.370916,0.30609,0.370174,0.297215,0.676265,0.112896,6.06847,0.297801,,1.19683,54.3491,-5.18032,93.4236,1.19683,0.7,-2.65590763092041,-2.5997210144996643,1.18591,194.82000732421875,,,,11281
231,Jace Peterson,OAK,97,401,353,78,52,16,2,8,42,35,39,1,105,3,2,3,6,10,2,0.222232,0.098476,0.261336,0.376818,0.30435,0.350153,0.290586,0.654503,0.127922,5.36912,0.289828,,0.653081,39.7315,-6.09812,93.3137,0.653081,0.04,-2.36257004737854,0.8882509842514992,1.18302,472.5899963378906,,,,12325
