,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
47,AndrÃ©s GimÃ©nez,CLE,144,613,552,143,96,27,4,16,78,66,37,3,132,17,4,3,12,23,5,0.258723,0.0605483,0.2159,0.280446,0.323102,0.408702,0.319644,0.731804,0.149979,6.34455,0.311517,,1.98835,74.9237,4.81914,108.445,1.98835,3.08,7.81491482257843,5.651785135269165,3.46039,88.31999969482422,,,,19950
48,Jonah Heim,TEX,107,415,376,85,52,17,1,16,44,49,34,1,82,2,3,0,7,2,1,0.227364,0.081027,0.197751,0.409742,0.292747,0.403085,0.303325,0.695832,0.175721,2.74974,0.247911,,-0.270852,45.3874,-2.11844,97.0382,-0.270852,13.75,-1.6555536091327667,21.105499267578125,3.42893,250.32000732421875,,,,16930
49,Bobby Witt Jr.,KCR,149,623,574,151,90,32,5,23,81,77,37,2,136,6,5,1,7,24,5,0.262247,0.0596488,0.217931,0.273704,0.311433,0.457405,0.330725,0.768838,0.195158,6.51446,0.302859,,2.28611,81.692,10.3886,113.136,2.28611,-5.36,11.50345754623413,1.0382823944091797,3.39827,999.0,,,,25764
50,Tommy Edman,STL,147,632,578,150,104,30,4,12,79,60,42,2,106,6,4,1,11,25,6,0.25915,0.0667962,0.167291,0.39928,0.314631,0.385499,0.306865,0.70013,0.126349,6.25997,0.297067,,1.94811,70.8151,-1.44572,100.594,1.94811,2.41,2.38417249917984,8.716980218887329,3.39402,80.2699966430664,,,,19470
51,Jorge Polanco,MIN,138,589,519,131,80,26,2,22,74,70,59,2,118,4,5,1,8,9,3,0.251563,0.100383,0.201239,0.498825,0.33014,0.436529,0.33354,0.766669,0.184966,4.55606,0.283664,,0.122379,78.4594,11.1264,119.813,0.122379,-2.35,13.251126028597357,-0.120152473449707,3.34423,170.5,,,,13152
52,Eugenio SuÃ¡rez,SEA,144,609,529,115,65,20,1,29,69,81,67,1,185,8,4,1,9,0,0,0.218407,0.11069,0.304039,0.364066,0.313965,0.424794,0.323248,0.738759,0.206386,1.64952,0.270539,,-0.576574,76.2521,6.53701,115.946,-0.576574,0.32,10.363893985748293,1.9429710507392883,3.32724,152.4499969482422,,,,12552
53,Anthony Rendon,LAA,131,565,489,124,76,28,1,18,70,64,64,3,96,7,5,1,9,2,1,0.253931,0.113146,0.170183,0.664847,0.34497,0.429517,0.338443,0.774487,0.175586,2.95658,0.279157,,-0.525146,77.5788,12.8917,120.036,-0.525146,0.22,12.229640543460846,1.2432813346385956,3.3029,242.4499969482422,,,,12861
54,Danny Jansen,TOR,123,499,440,103,57,21,1,23,61,66,45,2,106,9,3,3,8,2,1,0.23367,0.089701,0.212554,0.422014,0.314495,0.445262,0.329735,0.759757,0.211592,2.938,0.253938,,-0.343015,64.9525,7.91768,116.372,-0.343015,3.86,8.84662264585495,6.613651275634766,3.28819,182.5,,,,16535
55,Luis Robert Jr.,CHW,139,589,541,149,95,30,2,22,78,73,36,2,124,8,4,1,10,14,4,0.275816,0.0607701,0.210864,0.288196,0.328079,0.462008,0.340937,0.790087,0.186191,4.94205,0.318878,,0.49126,82.039,14.607,123.063,0.49126,-4.98,15.796302020549774,-3.23401951789856,3.28741,48.95000076293945,,,,20043
56,Gunnar Henderson,BAL,139,592,525,129,82,28,4,15,71,61,57,1,162,5,4,0,11,9,2,0.24602,0.0969806,0.273656,0.354389,0.324474,0.40247,0.319245,0.726945,0.15645,5.22541,0.323748,,0.386182,72.1333,4.46433,108.567,0.386182,1.36,6.091481775045395,6.398400664329529,3.28673,999.0,,,,26289
57,Luis Arraez,MIA,136,582,522,155,119,28,3,5,67,56,51,3,48,3,5,1,14,5,2,0.296936,0.0877027,0.0829557,1.05722,0.360089,0.391673,0.33113,0.751762,0.0947368,3.84725,0.31663,,-0.471218,76.4226,9.88181,118.112,-0.471218,2.89,11.38933601975441,1.3281280994415283,3.27769,215.5,,,,18568
58,Taylor Ward,LAA,141,607,532,141,87,28,2,24,82,74,63,1,137,7,4,1,10,5,2,0.264172,0.104041,0.225333,0.461721,0.347753,0.457924,0.350641,0.805677,0.193752,3.87131,0.311495,,-0.217626,89.2115,19.7327,128.644,-0.217626,-1.17,19.36808606982231,-7.5965718030929565,3.26413,132.27000427246094,,,,17548
59,George Springer,TOR,138,590,519,133,81,25,2,25,79,75,58,1,115,8,3,1,10,10,3,0.255833,0.0987946,0.194416,0.50816,0.337768,0.455207,0.34532,0.792975,0.199374,4.43381,0.281797,,0.0438855,84.1348,16.6681,127.37,0.0438855,-0.79,18.216576866805557,-6.1767101883888245,3.23358,84.68000030517578,,,,12856
60,Amed Rosario,CLE,143,606,569,158,117,27,4,10,72,63,29,0,106,4,4,1,14,14,4,0.278667,0.0478295,0.175318,0.272816,0.315695,0.3934,0.310029,0.709095,0.114733,5.45824,0.325491,,0.638338,69.4532,0.136261,101.66,0.638338,3.09,1.7707030773162842,9.710370302200316,3.22891,121.7300033569336,,,,15518
61,Matt Olson,ATL,156,671,580,144,79,29,2,34,90,95,78,6,148,8,5,0,11,2,1,0.247752,0.115981,0.219921,0.527376,0.342803,0.480146,0.353649,0.822949,0.232394,2.9612,0.271713,,-0.553211,100.135,23.3973,126.674,-0.553211,-0.44,20.24495553970337,-12.477036893367767,3.1821,46.5,,,,14344
62,Jeff McNeil,NYM,144,627,565,154,112,31,3,9,69,65,44,2,76,13,5,1,14,2,1,0.273365,0.0706981,0.121232,0.583164,0.337276,0.384896,0.318338,0.722171,0.11153,3.51648,0.300731,,-0.523941,76.0214,4.28062,110.896,-0.523941,0.62,7.418219268321991,1.411826252937317,3.13952,201.17999267578125,,,,15362
