Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Pedro Severino,MIL,80,299,269,64,11,1,10,28,34,25,74,2,0,0,0.24,0.309,0.399,0.708,0.307,89,0.9,479.7,2.68,0.06,0.93,14523
Joey Bart,SFG,99,370,344,82,15,1,8,39,39,20,115,6,1,1,0.239,0.292,0.365,0.657,0.287,79,0.9,272.9,2.3,0.79,0.6,21524
Andrew McCutchen,,111,484,415,99,20,1,20,65,61,62,108,4,5,2,0.24,0.342,0.438,0.78,0.336,108,0.9,369.1,2.11,-1.74,0.3,9847
Alek Thomas,ARI,63,258,235,63,12,3,6,33,27,19,58,3,5,3,0.267,0.327,0.422,0.749,0.323,99,0.9,551.9,5.43,0.22,1.33,sa3006892
Andy Ibáñez,TEX,82,325,297,79,16,1,11,38,35,23,50,3,2,1,0.265,0.321,0.44,0.76,0.326,108,0.9,588.3,3.33,-2.85,1.01,18819
Alec Bohm,PHI,121,487,440,116,21,1,13,56,56,39,113,3,5,2,0.264,0.326,0.408,0.734,0.318,96,0.9,289.9,2.26,-1,0.55,21618
Ben Gamel,PIT,139,532,462,113,25,3,13,59,50,61,139,5,6,3,0.245,0.337,0.396,0.733,0.321,100,0.9,571.3,4.26,0.01,0.39,12160
Jason Castro,HOU,50,172,148,32,6,0,7,20,19,21,54,2,0,0,0.216,0.32,0.4,0.721,0.315,101,0.9,596,2.01,-0.66,1.2,8722
J.D. Davis,NYM,88,322,282,72,14,1,11,37,36,33,89,5,1,1,0.256,0.343,0.426,0.769,0.334,110,0.9,460,3.98,1.19,0.91,16219
Darin Ruf,SFG,96,328,284,71,13,1,14,41,43,39,86,3,2,1,0.251,0.348,0.458,0.805,0.347,119,0.9,409.2,6.53,1.51,0.71,9929
Jason Heyward,CHC,100,387,344,83,15,2,11,42,40,37,74,4,5,1,0.242,0.32,0.39,0.71,0.309,93,0.9,600.1,2.37,0.47,0.72,4940
Brad Miller,,88,315,276,65,12,2,15,41,42,36,90,2,2,1,0.235,0.326,0.448,0.774,0.332,105,0.9,549.5,3.03,-1.27,0.61,12775
Didi Gregorius,PHI,114,468,427,103,20,2,16,52,62,29,72,6,3,1,0.242,0.296,0.412,0.708,0.303,87,0.8,468.9,3.86,-0.12,0.33,6012
Cal Raleigh,SEA,70,262,242,54,13,0,9,25,30,16,71,2,1,1,0.224,0.277,0.393,0.67,0.288,85,0.8,530.3,2.86,-0.66,0.94,21534
Elvis Andrus,OAK,102,404,373,92,18,2,6,42,34,24,62,3,9,3,0.246,0.296,0.35,0.645,0.282,81,0.8,553.4,2.1,0.35,1.11,8709
Eddie Rosario,,115,494,458,120,22,2,22,62,74,29,75,1,8,3,0.262,0.305,0.463,0.768,0.324,100,0.8,180.5,3.47,-0.52,0.38,12155
Curt Casali,SFG,78,262,231,51,10,0,7,25,27,26,73,4,0,0,0.22,0.307,0.361,0.669,0.294,84,0.8,592.7,2.85,0.67,0.93,12510
Austin Barnes,LAD,62,220,193,43,8,0,6,26,24,21,53,4,2,1,0.225,0.311,0.359,0.67,0.296,85,0.8,591.5,1.73,0.24,1.08,12158
Jed Lowrie,,103,415,370,91,21,1,12,46,50,40,88,2,0,0,0.247,0.321,0.406,0.728,0.312,101,0.8,591.8,1.7,-1.01,0.42,4418
Odúbel Herrera,,90,370,338,89,19,2,10,44,41,24,65,4,4,2,0.262,0.317,0.418,0.735,0.316,95,0.8,585.4,5.8,0.19,0.86,11476
Frank Schwindel,CHC,131,552,515,136,27,1,21,68,73,30,98,4,2,1,0.265,0.31,0.443,0.753,0.322,102,0.8,233.2,4.71,0.32,0.41,15351
Gavin Sheets,CHW,110,419,378,96,17,1,18,51,59,35,95,3,1,1,0.254,0.321,0.447,0.768,0.33,107,0.8,483.8,4.84,-0.52,0.47,19901
Donovan Solano,,88,337,310,84,17,1,6,36,36,19,61,5,1,0,0.272,0.322,0.394,0.716,0.311,95,0.8,596.1,2.47,-2.49,1.16,8623
Kevin Plawecki,BOS,64,225,204,53,11,1,5,24,25,17,39,4,1,0,0.258,0.324,0.393,0.718,0.311,92,0.8,578.3,1.28,-1.83,1.3,13807
Jordan Luplow,ARI,85,331,286,68,15,1,14,42,42,39,83,4,3,2,0.236,0.334,0.443,0.777,0.336,107,0.8,598.3,3.28,-0.7,0.61,16424
Victor Caratini,SDP,70,239,212,51,9,0,5,24,26,22,53,3,1,1,0.24,0.319,0.362,0.68,0.299,87,0.8,562.4,1.97,-1.34,1.14,14968
Vidal Bruján,TBR,69,268,243,60,13,2,5,34,26,22,49,2,15,5,0.248,0.314,0.378,0.692,0.302,89,0.8,350.5,4.72,-0.11,1.69,20536
Niko Goodrum,,87,350,313,69,15,2,11,42,34,32,111,3,12,4,0.221,0.295,0.381,0.676,0.294,85,0.8,571.2,6.02,0.13,1.21,12092
Luis Torrens,SEA,80,306,277,66,13,1,11,32,37,24,75,2,0,0,0.239,0.303,0.414,0.716,0.306,97,0.8,392.9,4.69,0.01,0.81,15905
Miguel Sanó,MIN,138,561,494,111,24,1,33,76,82,62,200,4,1,1,0.224,0.314,0.476,0.79,0.336,113,0.8,271.9,2.29,0.08,1.36,12164
Carlos Santana,KCR,124,525,447,104,19,1,17,60,60,73,85,3,1,1,0.233,0.342,0.395,0.737,0.322,102,0.8,461.5,5.41,0.54,0.33,2396
Rowdy Tellez,MIL,114,433,389,99,20,1,20,53,61,34,91,6,1,0,0.254,0.32,0.466,0.787,0.334,107,0.8,318.5,4.95,-0.58,0.48,15679
Kyle Higashioka,NYY,64,232,214,46,9,0,11,25,32,15,63,1,0,0,0.216,0.271,0.42,0.69,0.295,84,0.8,564.9,1.06,0.09,0.91,5517
Steven Kwan,CLE,72,296,268,73,14,2,6,34,30,22,35,2,4,1,0.274,0.333,0.412,0.745,0.322,104,0.8,518.2,4.6,-1.6,1.31,sa3008536
Riley Adams,WSN,79,281,246,56,12,1,8,31,30,27,93,7,1,1,0.227,0.319,0.375,0.695,0.307,89,0.7,588.6,3.06,0.1,0.81,19864
Thairo Estrada,SFG,66,229,211,55,10,1,7,29,26,13,44,3,3,1,0.26,0.313,0.42,0.733,0.316,98,0.7,600.3,2.6,-0.66,1.26,16426
Jake Fraley,SEA,85,332,286,64,14,1,11,38,37,39,93,4,11,4,0.224,0.325,0.391,0.716,0.314,103,0.7,591.9,2.44,-0.77,1.13,19260
Adam Engel,CHW,87,328,299,71,15,2,11,41,36,20,84,7,11,3,0.238,0.301,0.412,0.712,0.308,93,0.7,596.2,2.91,-2.35,1.14,15082
Leody Taveras,TEX,65,258,233,53,10,2,6,30,24,22,70,1,11,3,0.228,0.297,0.369,0.666,0.29,83,0.7,546.2,4.29,0.49,1.43,18900
Christian Walker,ARI,124,507,454,114,25,2,17,63,63,44,121,5,2,1,0.25,0.32,0.426,0.746,0.322,98,0.7,462.1,2.31,-0.16,0.17,13419
Christian Arroyo,BOS,59,228,208,52,11,1,8,29,27,13,54,5,2,1,0.249,0.307,0.421,0.728,0.314,94,0.7,593.8,3.38,0.83,1.13,16434
Charlie Blackmon,COL,127,550,490,136,27,4,17,76,71,47,92,8,3,1,0.278,0.347,0.449,0.796,0.342,100,0.7,238.4,2.07,1.51,0.68,7859
Austin Allen,OAK,50,167,158,38,8,0,6,17,19,8,43,1,0,0,0.238,0.28,0.404,0.684,0.293,88,0.7,599.6,4.09,0.03,1.36,18083
Eric Haase,DET,88,335,303,67,12,1,16,39,44,24,109,2,1,1,0.22,0.278,0.426,0.704,0.299,88,0.7,303.7,4.4,0.21,0.59,14111
