Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Trevor Larnach,MIN,94,386,341,79,16,1,11,42,41,36,124,6,1,1,0.233,0.316,0.382,0.697,0.305,92,0.3,539.8,2.45,-0.2,0.48,21501
Cam Gallagher,KCR,32,111,100,24,5,0,2,11,10,8,20,1,0,0,0.242,0.302,0.346,0.648,0.285,78,0.3,600.5,2.05,0.81,1.65,12981
Taylor Ward,LAA,36,137,122,30,7,0,5,18,15,13,35,1,1,0,0.249,0.327,0.432,0.759,0.328,107,0.3,600,8,0.55,1.49,17548
Oswald Peraza,NYY,28,112,103,26,5,0,3,12,11,6,23,1,5,1,0.252,0.302,0.389,0.691,0.299,87,0.3,600.1,4.47,2.44,1.81,sa3003305
Yu Chang,CLE,61,222,204,47,11,1,7,26,27,15,62,2,1,1,0.231,0.29,0.401,0.692,0.298,88,0.3,596.7,2.03,-0.5,1.05,14773
Clint Frazier,CHC,98,384,335,78,17,1,13,44,42,42,108,5,4,1,0.234,0.326,0.414,0.74,0.322,102,0.3,441.3,3.21,0.9,0.55,15983
Gabriel Arias,CLE,27,89,83,21,4,0,2,10,9,5,23,1,1,0,0.255,0.304,0.393,0.698,0.302,90,0.3,600.1,4.79,2.92,1.74,sa3004047
Kelvin Gutierrez,BAL,90,349,321,77,12,2,6,33,32,23,92,3,3,1,0.24,0.297,0.351,0.648,0.285,77,0.3,598.8,2.45,-0.95,0.9,17468
Jacob Nottingham,BAL,49,174,156,31,6,0,6,18,21,12,59,4,1,1,0.201,0.275,0.363,0.638,0.278,72,0.3,600.5,4.47,0.5,1.18,16448
Zach McKinstry,LAD,48,179,163,39,8,1,6,22,22,13,45,2,2,1,0.237,0.299,0.406,0.705,0.304,90,0.3,591.7,4.56,1.86,1.29,19392
Jake Rogers,DET,18,70,61,13,2,0,3,8,8,6,23,1,0,0,0.21,0.291,0.38,0.671,0.293,84,0.3,600.8,2.79,1.54,1.71,19452
Reese McGuire,TOR,30,106,96,22,4,0,2,11,9,7,22,1,0,0,0.234,0.296,0.353,0.648,0.284,75,0.3,600.3,3.89,2.26,1.64,15674
Michael Hermosillo,CHC,41,151,131,30,6,1,5,18,17,12,43,4,3,1,0.226,0.308,0.403,0.71,0.308,93,0.3,599,4.25,0.97,1.41,16285
Jake Burger,CHW,27,102,93,23,4,0,4,12,12,7,30,1,0,0,0.243,0.303,0.417,0.719,0.31,94,0.3,584.7,5.04,1.9,1.6,22275
Yonny Hernandez,TEX,25,100,85,20,3,0,0,11,6,12,18,2,5,2,0.241,0.343,0.305,0.648,0.296,87,0.3,598.9,4.48,2.36,1.89,19432
Robinson Canó,NYM,80,324,298,78,16,1,10,37,40,20,51,3,1,0,0.262,0.313,0.425,0.738,0.315,97,0.3,483.5,2.36,-0.86,0.91,3269
Nick Fortes,MIA,26,96,88,21,4,0,2,10,10,7,18,1,1,0,0.24,0.303,0.364,0.667,0.292,85,0.3,596.7,3.39,1.47,1.7,21538
Josh Lowe,TBR,57,219,195,46,10,1,7,26,26,22,63,1,7,2,0.237,0.313,0.399,0.713,0.309,94,0.3,408.9,9.21,0.25,1.36,19953
Rylan Bannon,BAL,39,151,134,29,6,1,5,16,16,14,35,2,2,1,0.219,0.297,0.382,0.679,0.296,84,0.3,600.3,2.83,1.45,1.41,sa3004162
Greg Allen,PIT,56,199,175,43,9,1,3,24,17,14,46,6,12,2,0.247,0.319,0.368,0.687,0.301,87,0.3,600.8,5.61,1.09,1.81,16623
Cooper Hummel,ARI,34,134,115,28,6,1,4,16,15,16,31,2,1,0,0.243,0.343,0.403,0.746,0.327,102,0.3,999,2.53,2.64,1.52,sa918412
Romy Gonzalez,CHW,25,96,88,21,4,0,4,11,11,7,30,1,3,1,0.235,0.298,0.416,0.714,0.307,92,0.3,999,3.67,2.57,1.69,21562
Luis Guillorme,NYM,37,122,106,27,4,0,1,13,10,14,21,1,1,1,0.251,0.34,0.333,0.673,0.302,89,0.3,999,4.13,2.15,1.67,16451
Lars Nootbaar,STL,93,320,284,71,11,2,10,37,35,30,67,2,4,2,0.249,0.322,0.402,0.723,0.313,96,0.3,555.2,2.82,-0.18,0.95,21454
Harold Ramirez,CHC,58,229,214,59,12,1,6,25,27,11,40,3,2,1,0.277,0.319,0.428,0.748,0.321,102,0.3,532.7,4.78,0.39,1.45,14387
Mitch Moreland,,70,264,237,55,11,1,12,31,36,23,60,2,0,0,0.234,0.304,0.433,0.737,0.314,102,0.3,600.9,2.78,0.24,0.83,3086
Stephen Vogt,,41,144,128,28,6,1,5,15,16,14,35,1,0,0,0.218,0.293,0.383,0.676,0.29,77,0.3,999,1.15,0.62,1.37,5000
Daniel Vogelbach,,48,175,147,34,6,0,7,22,21,27,41,1,0,0,0.23,0.352,0.417,0.769,0.337,109,0.3,599.8,2.68,2.02,1.22,14130
Jose Siri,HOU,65,235,218,50,10,2,8,28,27,14,82,2,9,2,0.228,0.281,0.396,0.677,0.291,86,0.3,554.3,4.78,1.29,1.35,17452
Ben Rortvedt,MIN,21,72,65,14,3,0,2,8,7,5,19,1,0,0,0.221,0.285,0.357,0.642,0.281,76,0.3,999,1.81,1.07,1.71,20287
Tyler Freeman,CLE,18,56,52,15,4,0,1,7,5,2,7,1,1,0,0.286,0.328,0.403,0.731,0.316,100,0.3,999,3.6,0.22,1.93,sa3004755
Travis Shaw,,54,200,175,38,8,0,7,22,25,22,53,2,1,0,0.219,0.31,0.394,0.704,0.306,88,0.3,600.8,1.89,0.35,1.09,11982
William Contreras,ATL,17,66,60,15,3,0,3,7,8,5,17,0,0,0,0.246,0.31,0.42,0.73,0.315,93,0.3,590.4,5.58,2.09,1.77,20503
Alex Jackson,MIA,35,122,110,21,4,0,4,12,14,9,49,4,0,0,0.19,0.27,0.353,0.623,0.273,73,0.2,999,3.46,0.29,1.37,17276
Josh Jung,TEX,23,96,87,22,5,0,3,11,12,7,22,1,1,0,0.258,0.321,0.421,0.742,0.32,103,0.2,326,12.6,0.24,1.69,sa3011468
Aristides Aquino,CIN,83,295,262,59,11,1,16,38,40,27,94,3,4,1,0.225,0.304,0.462,0.767,0.326,98,0.2,594.3,6.96,0.95,0.77,15482
Shed Long Jr.,,33,131,119,27,5,1,4,14,13,11,37,1,2,1,0.227,0.294,0.371,0.666,0.291,87,0.2,999,1.85,0.45,1.53,16542
Cristian Pache,ATL,59,217,199,47,10,1,5,26,22,13,64,2,3,2,0.235,0.288,0.373,0.661,0.287,75,0.2,587.5,3.53,0.58,1.19,19948
Adam Eaton,,54,220,192,47,9,2,4,27,19,19,46,4,3,1,0.243,0.323,0.375,0.697,0.306,93,0.2,999,2.45,1.93,1.29,11205
Justin Upton,LAA,87,345,304,67,12,0,16,45,44,35,100,4,3,1,0.222,0.307,0.423,0.73,0.313,97,0.2,548,3.13,1.28,0.53,5222
Tomás Nido,NYM,52,175,165,36,7,0,4,16,18,8,45,2,1,0,0.219,0.261,0.344,0.605,0.262,63,0.2,600.8,1.91,0.18,1.29,13755
Willie Calhoun,TEX,111,432,393,100,19,2,15,48,49,31,60,4,1,1,0.254,0.312,0.425,0.737,0.317,101,0.2,433.8,5.68,0.53,0.52,17838
Vimael Machín,OAK,38,139,123,28,5,1,3,14,12,12,30,1,1,0,0.23,0.306,0.345,0.651,0.287,84,0.2,999,3.97,1.09,1.51,17684
Garrett Stubbs,PHI,29,92,78,17,4,0,1,10,7,9,19,1,1,0,0.217,0.301,0.309,0.61,0.273,67,0.2,999,2.47,1.01,1.69,18067
Luis Campusano,SDP,38,147,134,34,6,1,4,16,17,10,34,2,0,0,0.253,0.316,0.405,0.721,0.313,96,0.2,999,3.73,1,1.51,22217
Seth Beer,ARI,82,297,265,67,14,1,11,36,37,21,68,9,1,0,0.253,0.329,0.433,0.762,0.329,103,0.2,538.3,4.82,0.02,0.86,20493
Andrew Velazquez,LAA,33,117,105,24,5,1,2,13,11,9,37,1,6,1,0.223,0.288,0.355,0.643,0.282,76,0.2,999,3.12,2.74,1.73,14196
Seth Brown,OAK,120,436,400,90,19,2,20,54,58,31,130,3,5,2,0.226,0.284,0.433,0.717,0.306,97,0.2,485.5,5.46,0,0.58,18171
Geraldo Perdomo,ARI,25,96,85,20,4,1,1,11,8,9,21,1,2,1,0.236,0.32,0.341,0.661,0.294,80,0.2,592.1,2.9,0.41,1.72,22799
Ronald Guzmán,,48,176,158,36,7,1,7,20,20,15,49,2,1,1,0.229,0.305,0.406,0.711,0.308,95,0.2,999,1.94,2.37,1.26,14388
Owen Miller,CLE,43,168,155,39,8,1,4,17,17,10,40,1,1,0,0.25,0.301,0.376,0.677,0.294,85,0.2,600.5,2.94,0.63,1.48,24655
Danny Mendick,CHW,50,179,161,37,7,0,4,19,17,15,39,2,2,1,0.229,0.299,0.343,0.641,0.283,77,0.2,999,3.62,1.69,1.35,18889
José Peraza,NYY,39,137,127,32,5,0,3,15,14,7,21,2,2,1,0.25,0.298,0.38,0.678,0.293,83,0.2,600.8,5.11,0.79,1.58,13593
Kurt Suzuki,,35,130,116,27,6,0,4,13,15,8,21,4,0,0,0.236,0.3,0.379,0.679,0.294,84,0.2,600.6,1.91,2.02,1.51,8259
Nick Allen,OAK,47,190,173,41,8,1,3,19,15,11,40,2,4,1,0.235,0.285,0.339,0.623,0.272,74,0.2,999,2.05,0.68,1.49,sa3004723
Alan Trejo,COL,78,251,233,58,13,1,7,27,29,12,61,2,1,1,0.247,0.285,0.405,0.69,0.294,69,0.2,999,5,-1.15,1.1,20056
TJ Friedl,CIN,60,213,188,47,9,2,5,25,20,17,36,4,4,1,0.249,0.32,0.388,0.708,0.308,86,0.2,598.8,5.19,-0.56,1.39,19522
Elehuris Montero,COL,17,66,61,16,3,0,3,8,9,5,15,0,0,0,0.262,0.315,0.461,0.776,0.331,93,0.2,599.6,5.27,3.37,1.78,sa872477
Colton Welker,COL,81,286,261,69,15,1,7,35,36,21,62,2,1,1,0.267,0.327,0.416,0.742,0.32,86,0.2,592.7,5.16,0.46,1.07,19961
Derek Hill,DET,54,192,177,42,7,2,4,22,17,12,57,2,6,2,0.236,0.293,0.37,0.662,0.289,81,0.2,999,3.98,0.72,1.49,16947
Brock Holt,,58,218,193,45,9,1,2,21,18,21,43,2,3,1,0.234,0.314,0.323,0.637,0.285,79,0.2,999,1.13,0.29,1.35,9345
Phil Gosselin,,49,188,172,43,8,1,4,21,20,14,43,1,2,1,0.25,0.311,0.375,0.686,0.3,89,0.2,594.7,2.9,0.75,1.39,10953
Bryan Lavastida,CLE,10,37,34,9,2,0,1,4,4,3,8,0,1,0,0.254,0.322,0.396,0.718,0.311,97,0.2,999,4.37,4.09,1.92,sa3006917
Tim Locastro,,55,194,174,42,9,1,3,25,17,12,39,6,7,2,0.239,0.308,0.358,0.666,0.294,84,0.2,594.6,3.46,0.84,1.55,15124
Jordan Groshans,TOR,16,63,57,14,3,0,1,7,7,5,14,0,0,0,0.253,0.314,0.379,0.694,0.303,87,0.2,600.5,4.14,1.08,1.81,sa3006893
Daz Cameron,DET,49,188,170,39,8,1,5,23,19,15,53,3,6,2,0.231,0.304,0.386,0.689,0.301,89,0.2,598.4,5.1,0.49,1.44,18353
Estevan Florial,NYY,51,184,166,36,8,1,6,22,19,17,63,1,5,2,0.216,0.292,0.381,0.673,0.293,83,0.2,600.4,3.03,-0.2,1.34,19151
Jack Mayfield,LAA,40,153,140,32,7,0,5,17,18,9,35,2,2,1,0.226,0.277,0.383,0.66,0.284,78,0.2,999,4.69,2.34,1.39,15402
Chance Sisco,NYM,20,72,63,13,3,0,2,7,7,7,21,2,0,0,0.209,0.305,0.344,0.648,0.289,80,0.1,999,2.24,2.01,1.7,15694
Ryan McKenna,BAL,24,85,74,17,3,1,3,10,8,9,26,1,2,1,0.227,0.316,0.405,0.72,0.314,96,0.1,999,3.84,1.13,1.71,19928
Marwin Gonzalez,,62,237,214,49,10,0,6,25,25,17,56,4,2,1,0.23,0.296,0.362,0.658,0.287,83,0.1,999,3.09,-0.96,1.09,5497
Zack Short,DET,16,58,50,10,2,0,2,7,6,7,17,0,0,0,0.207,0.3,0.371,0.671,0.293,84,0.1,999,3.68,0.75,1.75,19562
Taylor Trammell,SEA,26,101,89,19,3,0,3,11,10,10,32,1,2,1,0.209,0.298,0.354,0.652,0.288,85,0.1,600.9,3.88,1.45,1.6,19960
Hanser Alberto,,34,103,98,26,5,0,2,11,10,2,11,1,1,0,0.266,0.288,0.376,0.664,0.286,78,0.1,600.7,2.59,1.57,1.77,11902
Curtis Terry,MIN,14,54,50,11,3,0,2,6,7,3,15,1,0,0,0.227,0.286,0.41,0.696,0.3,89,0.1,999,3.84,3.21,1.79,18881
Keston Hiura,MIL,86,331,294,68,14,1,15,41,41,27,112,7,5,2,0.231,0.309,0.435,0.744,0.32,98,0.1,444,3.18,0.25,0.7,20003
Renato Núñez,,23,93,84,20,4,0,4,11,13,7,25,2,0,0,0.239,0.306,0.439,0.745,0.32,102,0.1,599.6,5.52,3.65,1.61,14503
CJ Abrams,SDP,21,86,79,19,5,0,1,10,8,5,17,1,4,1,0.238,0.292,0.355,0.647,0.282,75,0.1,573.3,3.32,0.03,1.81,sa3010152
Skye Bolt,OAK,17,55,49,11,3,0,1,6,5,5,15,0,1,0,0.22,0.29,0.356,0.645,0.283,81,0.1,999,3.61,0.69,1.83,17723
Charlie Culberson,,60,193,179,42,9,1,4,21,19,11,51,2,4,1,0.238,0.286,0.37,0.656,0.285,79,0.1,597.2,1.91,-0.49,1.39,3298
Austin Romine,,36,122,115,26,5,0,3,12,13,6,36,1,0,0,0.23,0.268,0.352,0.619,0.269,67,0.1,999,1.59,0.86,1.53,5491
Emmanuel Rivera,KCR,20,77,72,18,4,0,3,9,9,4,16,1,1,0,0.256,0.303,0.423,0.727,0.312,95,0.1,999,3.56,1.87,1.77,19890
Jonathan Araúz,BOS,15,56,50,12,3,0,1,7,6,5,11,0,0,0,0.239,0.307,0.368,0.674,0.295,81,0.1,999,5.52,2.26,1.81,20275
Richie Palacios,CLE,10,37,33,9,2,0,1,4,4,3,7,0,1,0,0.261,0.335,0.387,0.722,0.316,100,0.1,600.5,4.43,4.1,1.94,sa3006908
Otto Lopez,TOR,23,62,57,15,3,0,1,7,6,4,18,1,1,1,0.264,0.314,0.372,0.686,0.299,84,0.1,999,4.88,3.62,1.88,19608
Alcides Escobar,WSN,105,435,402,102,20,1,6,49,42,22,79,6,5,2,0.254,0.301,0.359,0.66,0.288,77,0.1,581.6,4.29,0.74,0.76,6310
Oswaldo Cabrera,NYY,12,46,43,10,2,0,2,5,5,3,11,0,1,1,0.237,0.285,0.404,0.69,0.296,85,0.1,999,5.24,3.56,1.86,sa916954
Miguel Andújar,NYY,38,151,141,37,7,0,6,19,19,8,26,1,1,0,0.261,0.303,0.435,0.738,0.315,98,0.1,593,3.72,-0.3,1.47,15878
Luke Raley,LAD,22,76,69,16,3,0,3,10,10,4,23,2,1,0,0.233,0.301,0.407,0.707,0.306,92,0.1,999,4.71,1.73,1.68,19354
Taylor Jones,HOU,22,85,76,18,4,0,2,10,10,7,22,1,0,0,0.238,0.311,0.39,0.701,0.305,95,0.1,999,3.62,2.54,1.67,19533
Kyle Garlick,MIN,23,70,65,15,4,0,4,9,9,4,22,1,0,0,0.228,0.282,0.457,0.739,0.313,98,0.1,999,4.8,0.1,1.69,18063
Dustin Garneau,DET,11,42,37,8,2,0,2,4,5,3,11,1,0,0,0.206,0.281,0.384,0.665,0.286,79,0.1,999,2.39,1.45,1.83,9433
Ernie Clement,CLE,27,99,92,23,5,0,1,10,8,5,14,1,1,0,0.247,0.292,0.348,0.64,0.28,75,0.1,999,3.44,-0.16,1.75,20352
Matt Beaty,LAD,89,287,258,66,13,1,8,36,37,21,53,7,3,1,0.255,0.327,0.407,0.734,0.32,101,0.1,585.1,1.82,-0.84,0.93,17710
Rafael Marchan,PHI,24,87,80,19,3,0,1,9,7,6,16,1,0,0,0.233,0.29,0.313,0.603,0.268,64,0.1,999,2.34,1.62,1.71,21646
Yairo Muñoz,PHI,23,87,81,22,4,0,2,10,9,4,16,1,2,1,0.267,0.308,0.399,0.707,0.306,88,0.1,999,4.42,1.84,1.81,16313
Jose Herrera,ARI,12,44,40,9,2,0,1,5,4,4,10,0,0,0,0.222,0.297,0.33,0.627,0.277,69,0.1,999,2.61,1.49,1.85,sa830295
Jahmai Jones,BAL,35,130,118,27,5,1,3,13,12,11,34,1,2,1,0.227,0.297,0.353,0.65,0.286,78,0.1,600.7,4.12,1.05,1.57,18872
Rob Refsnyder,BOS,40,148,132,33,7,1,3,17,15,13,40,1,1,0,0.249,0.317,0.386,0.703,0.304,87,0.1,999,3.16,0.35,1.51,13770
Cole Tucker,PIT,77,296,265,61,13,2,5,31,25,26,70,2,6,2,0.229,0.301,0.351,0.652,0.287,78,0.1,573.2,3.88,0.1,1.14,17326
Jake Marisnick,,65,202,184,41,8,1,6,24,22,12,64,4,4,1,0.221,0.283,0.38,0.663,0.287,79,0.1,999,1.84,-0.16,1.24,11339
Joe Panik,,55,196,177,43,8,1,3,19,17,16,27,2,2,1,0.242,0.308,0.342,0.65,0.286,81,0.1,999,1.59,-0.27,1.41,11936
Donovan Walton,SEA,9,32,29,7,1,0,1,4,3,3,6,0,0,0,0.24,0.308,0.373,0.681,0.298,92,0.1,999,4.65,2.18,1.92,19314
Jace Peterson,MIL,59,220,191,45,9,1,5,26,23,25,52,2,6,1,0.235,0.325,0.372,0.698,0.304,87,0.1,560,3.45,0.05,1.33,12325
Jake McCarthy,ARI,78,293,264,61,12,3,7,35,29,23,83,3,13,3,0.23,0.298,0.382,0.68,0.296,81,0.1,600.1,3.77,0.22,1.45,21622
Pablo Reyes,MIL,18,57,52,12,3,0,1,7,6,4,12,0,1,0,0.236,0.296,0.365,0.661,0.289,77,0.1,999,2.67,1.32,1.83,16357
Alfonso Rivas,CHC,35,136,120,30,6,0,2,15,13,13,34,2,1,0,0.251,0.332,0.361,0.693,0.307,92,0.1,999,2.65,1.31,1.58,21560
Korey Lee,HOU,6,22,20,5,1,0,1,2,2,1,5,0,0,0,0.236,0.286,0.385,0.671,0.287,83,0.1,999,3.82,3.79,1.95,sa3010034
Drew Ellis,ARI,27,102,90,19,5,0,3,12,11,9,30,2,0,0,0.213,0.298,0.369,0.667,0.293,80,0.1,999,2.71,1.46,1.52,19873
Yermín Mercedes,CHW,14,47,43,11,2,0,2,5,6,3,8,0,0,0,0.253,0.303,0.408,0.71,0.306,91,0.1,593.9,3.83,3.05,1.86,17423
Brett Cumberland,BAL,9,34,29,6,1,0,1,4,3,3,11,1,0,0,0.19,0.292,0.329,0.621,0.278,72,0.1,999,2.14,1.57,1.86,sa915611
Anthony Bemboom,,16,60,53,11,2,0,2,6,5,5,17,1,0,0,0.2,0.275,0.324,0.599,0.265,63,0.1,999,1.52,1.95,1.76,13854
Tres Barrera,WSN,21,77,69,15,3,0,2,7,7,7,18,1,0,0,0.216,0.291,0.329,0.62,0.275,68,0.1,999,2.67,1.27,1.71,19977
Yonathan Daza,COL,77,284,263,73,14,2,3,30,26,16,49,2,3,2,0.278,0.322,0.376,0.698,0.304,76,0.1,599.8,4.21,-0.25,1.48,15794
Zach Reks,TEX,35,126,113,26,5,0,4,14,13,11,44,2,1,0,0.227,0.308,0.378,0.686,0.301,91,0.1,999,3.42,2.08,1.49,19667
Michael Stefanic,LAA,7,26,24,6,1,0,1,3,3,2,4,0,0,0,0.262,0.322,0.372,0.694,0.303,91,0.1,999,4.11,4.59,1.97,sa3008479
Gilberto Celestino,MIN,14,51,46,11,3,0,1,6,5,4,11,1,0,0,0.247,0.312,0.381,0.693,0.302,90,0.1,999,3.14,2.21,1.86,20233
Ryan McBroom,,18,39,36,8,2,0,1,4,5,3,13,0,0,0,0.228,0.285,0.388,0.674,0.291,82,0.1,999,5.84,3.13,1.86,16524
Patrick Mazeika,NYM,16,53,49,11,2,0,2,5,6,4,10,1,0,0,0.218,0.277,0.355,0.632,0.275,71,0.1,999,3.11,1.48,1.8,18142
Edwin Ríos,LAD,41,146,132,29,6,0,7,18,20,11,48,2,0,0,0.222,0.293,0.433,0.726,0.311,95,0.1,567,6.73,0.51,1.29,18316
Taylor Motter,,13,35,31,7,1,0,1,4,4,4,9,0,0,0,0.214,0.3,0.406,0.706,0.305,88,0.1,999,2.2,2.15,1.86,12399
Danny Santana,,43,166,153,36,7,1,6,21,19,11,48,1,5,2,0.233,0.288,0.41,0.699,0.298,83,0.1,999,3.95,1.59,1.44,10322
Tucupita Marcano,PIT,18,60,54,13,2,0,0,6,5,5,9,0,1,1,0.247,0.314,0.329,0.643,0.286,77,0.1,600.6,3.26,2.9,1.87,22871
Kevin Padlo,SEA,11,32,29,6,1,0,1,3,4,3,12,0,0,0,0.203,0.277,0.366,0.642,0.28,80,0.1,600.3,2.89,2.1,1.87,16593
Payton Henry,MIA,5,20,18,4,1,0,1,2,2,1,6,0,0,0,0.218,0.29,0.363,0.653,0.286,81,0.1,999,2.43,1.52,1.95,22164
Eguy Rosario,SDP,8,26,24,6,1,0,0,3,3,2,6,0,1,0,0.244,0.302,0.372,0.674,0.292,82,0.1,999,5.56,3.24,1.96,sa917140
Mickey Moniak,PHI,73,231,212,48,10,3,7,23,26,15,69,1,2,1,0.226,0.281,0.391,0.672,0.288,77,0.1,600.4,4.95,-0.97,1.11,19956
Esteban Quiroz,TBR,6,23,20,4,1,0,1,3,2,2,6,0,0,0,0.224,0.317,0.39,0.708,0.31,94,0.1,999,2.33,1.39,1.93,sa596560
Brian Goodwin,,47,177,157,36,8,1,5,20,19,17,48,1,2,1,0.229,0.308,0.39,0.698,0.303,90,0.1,600.6,3,0.4,1.3,12858
Connor Wong,BOS,8,27,26,6,1,0,1,3,3,1,9,0,0,0,0.23,0.268,0.392,0.66,0.283,73,0.1,999,3.3,3.42,1.92,19896
Jason Vosler,SFG,11,36,32,7,2,0,1,4,4,3,8,0,0,0,0.226,0.294,0.378,0.673,0.292,82,0.1,999,3.18,3.02,1.88,16686
Christin Stewart,BOS,24,95,85,20,4,1,4,11,12,8,26,1,0,0,0.233,0.308,0.433,0.741,0.317,96,0.1,999,4.24,3.35,1.6,17714
Ali Sánchez,STL,9,30,28,7,1,0,0,3,3,2,6,0,0,0,0.241,0.287,0.323,0.61,0.268,67,0.1,999,1.83,1.73,1.94,18551
Mark Kolozsvary,CIN,9,33,30,6,1,0,1,4,3,3,12,1,0,0,0.203,0.287,0.342,0.629,0.279,67,0.1,999,1.68,0.54,1.87,sa3004996
Tyler Nevin,BAL,19,70,63,15,3,0,2,7,7,6,16,1,0,0,0.234,0.304,0.382,0.686,0.3,87,0.1,999,4.46,2.29,1.76,17893
Sam Huff,TEX,7,27,25,5,1,0,1,3,3,2,10,0,0,0,0.215,0.262,0.399,0.661,0.282,78,0.1,587.5,3.46,2.88,1.9,22209
Nick Maton,PHI,18,65,58,13,3,0,1,7,6,6,18,1,1,0,0.219,0.299,0.343,0.643,0.284,74,0.1,999,2.77,0.85,1.78,21635
Nomar Mazara,,75,292,266,64,13,1,9,31,34,22,72,3,1,1,0.241,0.304,0.398,0.701,0.302,89,0.1,600.1,2.27,-1.23,0.88,14553
Tony Wolters,LAD,12,41,36,8,1,0,0,4,3,4,11,1,0,0,0.211,0.293,0.292,0.585,0.261,62,0.1,999,2.11,2.81,1.87,11470
Alejo Lopez,CIN,9,28,26,7,1,0,0,4,3,2,4,0,0,0,0.272,0.329,0.36,0.689,0.303,83,0,999,4.05,2.84,1.96,21127
Jurickson Profar,SDP,121,449,394,93,19,2,10,52,45,44,68,7,9,3,0.235,0.321,0.37,0.691,0.304,90,0,501.5,1.45,-0.45,0.78,10815
Brendon Davis,LAA,5,22,20,5,1,0,1,3,3,2,6,0,0,0,0.235,0.297,0.392,0.689,0.298,87,0,999,5.5,2.2,1.94,sa875089
José Devers,MIA,23,61,55,14,3,0,1,7,5,4,12,1,1,0,0.251,0.305,0.344,0.65,0.284,80,0,999,3.33,0.61,1.85,20540
Daniel Johnson,CLE,17,60,55,13,2,0,2,7,6,4,19,1,1,0,0.228,0.292,0.396,0.688,0.298,87,0,999,2.68,0.1,1.8,19643
Luke Maile,MIL,19,64,57,12,2,0,1,6,5,6,21,1,0,0,0.204,0.282,0.292,0.574,0.258,58,0,999,1.38,-0.3,1.76,13355
Max Moroff,,9,31,27,6,1,0,1,4,4,3,12,0,0,0,0.213,0.305,0.379,0.684,0.301,88,0,999,10.9,0.09,1.88,14556
Franchy Cordero,BOS,24,86,77,19,5,0,2,11,9,7,27,1,1,0,0.243,0.309,0.394,0.703,0.305,88,0,999,4.18,1.91,1.71,14567
Ronald Torreyes,PHI,51,183,171,42,7,1,3,17,17,9,23,2,1,1,0.244,0.287,0.343,0.631,0.276,69,0,600.7,1.69,1.36,1.43,11400
Colin Moran,,104,405,364,91,16,1,13,44,52,35,98,3,1,0,0.25,0.319,0.408,0.727,0.315,97,0,579.4,6.68,-0.44,0.53,16909
Sheldon Neuse,LAD,11,31,29,7,1,0,1,4,3,2,10,0,0,0,0.233,0.282,0.378,0.659,0.285,78,0,999,5.31,3.27,1.91,19635
Khalil Lee,NYM,21,70,60,13,3,0,2,9,6,8,26,2,2,1,0.214,0.32,0.346,0.666,0.298,87,0,596.7,3.68,0.79,1.76,19952
Mario Feliciano,MIL,5,20,19,5,0,0,0,2,2,1,6,0,0,0,0.247,0.299,0.334,0.633,0.279,71,0,999,3.22,2.65,1.97,20263
Juan Lagares,,53,181,168,41,9,1,4,20,18,9,43,1,1,1,0.246,0.289,0.375,0.665,0.287,80,0,999,2.34,-0.13,1.4,5384
Greg Deichmann,CHC,10,30,26,6,1,0,1,3,3,3,9,0,0,0,0.214,0.298,0.338,0.636,0.282,76,0,999,3.46,1.71,1.91,19872
Andy Burns,LAD,22,32,29,6,1,0,1,4,3,3,8,0,0,0,0.212,0.293,0.357,0.65,0.286,78,0,999,3.05,2.19,1.89,12779
Eli White,TEX,33,127,114,25,5,1,3,14,11,10,37,2,2,1,0.218,0.291,0.35,0.641,0.282,78,0,999,4.09,1.68,1.55,19346
Nelson Velazquez,CHC,10,39,36,9,2,0,2,4,5,2,12,0,1,0,0.238,0.286,0.416,0.702,0.299,87,0,600.7,4.99,3.19,1.89,sa3005129
José Godoy,SEA,9,25,24,5,1,0,0,2,2,1,6,0,0,0,0.219,0.268,0.317,0.585,0.257,65,0,999,2.72,3.94,1.93,15808
Jake Lamb,,54,198,172,37,8,1,7,23,23,22,55,3,0,0,0.215,0.311,0.386,0.697,0.299,85,0,999,2.02,-0.19,1.07,13329
Ryan O'Hearn,KCR,28,105,94,22,5,0,4,11,13,9,27,0,0,0,0.229,0.297,0.422,0.719,0.308,93,0,599.8,5.08,0.82,1.57,16442
Stuart Fairchild,ARI,7,21,19,4,1,0,1,2,2,2,5,0,0,0,0.241,0.313,0.385,0.697,0.305,87,0,999,2.96,2.01,1.96,20321
Micker Adolfo,CHW,12,49,44,10,2,0,2,6,6,3,17,1,0,0,0.224,0.288,0.415,0.703,0.302,89,0,999,3.27,2.19,1.8,sa830303
Daniel Robertson,,21,66,58,13,3,0,1,7,6,7,17,1,0,0,0.226,0.314,0.314,0.628,0.281,72,0,999,3.91,-0.2,1.76,14145
Jeter Downs,BOS,7,26,24,6,2,0,1,3,2,2,7,0,0,0,0.231,0.292,0.367,0.659,0.286,75,0,598.2,4.58,1.85,1.93,sa3004615
Omar Estévez,LAD,7,29,27,6,1,0,1,3,3,2,8,0,0,0,0.227,0.286,0.364,0.649,0.282,76,0,999,2.79,0.38,1.91,sa914242
