,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
10,10,9 Gran...,Steven Kwan,224.0,39.0,64.0,3.0,20.0,26.0,29.0,9.0,1.0,0.286,0.362,0.402,136.0,CLE,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,87,5,0,0,0.0,h,2.4538274117111527,,,0.699777498381963,-1.924265809133529,-1.8328097355954012,0.8572434584557465,0.5114375253424821,-1.6886170625487387,,,,,,0.0,-1.6886170625487387,"['OF', 'DH']"
11,11,9 Gran...,J.D. Davis,189.0,29.0,54.0,8.0,31.0,23.0,57.0,1.0,0.0,0.286,0.369,0.481,172.0,SF,DH,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,67,0,0,71,0,5,0,0,0.0,h,2.070416878631285,,,-0.7406901901265841,-0.4406849617632442,-0.3704950152212161,-0.8597834390733933,0.4315254120077193,-1.9801281941767184,,,,,,0.0,-1.9801281941767184,"['3B', 'CI', 'DH']"
12,12,9 Gran...,Ian Happ,197.0,26.0,54.0,6.0,29.0,30.0,55.0,4.0,1.0,0.274,0.374,0.447,213.0,CHC,LF,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,84,5,0,0,0.0,h,-0.12766071380760025,,,-1.1728304966791483,-1.0341173007113582,-0.6363704189256134,-0.21589835249996583,-0.026607608685764405,-3.08582417750185,,,,,,0.0,-3.08582417750185,"['OF', 'DH']"
13,13,9 Gran...,Ke'Bryan Hayes,213.0,28.0,55.0,4.0,27.0,16.0,50.0,7.0,2.0,0.258,0.312,0.39,242.0,PIT,3B,9 Gran...,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,75,0,0,75,0,5,0,0,0.0,h,-3.5238158986853776,,,-0.8847369589774389,-1.627549639659472,-0.9022458226300107,0.42798673407346155,-0.7344492421858577,-3.7209949293793176,,,,,,0.0,-3.7209949293793176,"['3B', 'CI', 'DH']"
14,14,9 Gran...,Jose Siri,138.0,24.0,32.0,7.0,22.0,11.0,45.0,5.0,1.0,0.232,0.291,0.442,310.0,TB,CF,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56,5,0,0,0.0,h,-5.916838469570806,,,-1.4609240343808576,-0.7374011312373011,-1.5669343318910038,-0.0012699903088233824,-1.233213554582582,-4.999743042400568,,,,,,0.0,-4.999743042400568,"['OF', 'DH']"
15,15,9 Gran...,Willi Castro,142.0,24.0,36.0,4.0,15.0,11.0,34.0,9.0,2.0,0.254,0.329,0.401,319.0,MIN,RF,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,22,7,15,22,57,5,0,0,0.0,h,-3.0158772657902517,,,-1.4609240343808576,-1.627549639659472,-2.4974982448563945,0.8572434584557465,-0.6285824333818221,-5.357310893822799,,,,,,0.0,-5.357310893822799,"['2B', '3B', 'SS', 'OF', 'MI', 'CI', 'DH']"
16,16,9 Gran...,Tyler Stephenson,194.0,26.0,54.0,5.0,25.0,20.0,52.0,0.0,0.0,0.278,0.352,0.412,328.0,CIN,C,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,6,0,0,0,0,6,0,5,0,0,0.0,h,0.6966183833569843,,,-1.1728304966791483,-1.330833470185415,-1.168121226334408,-1.0744118012645356,0.14519227407429255,-4.601004720389214,,,,,,0.0,-4.601004720389214,"['C', '1B', 'CI', 'DH']"
17,17,9 Gran...,Kevin Kiermaier,167.0,23.0,46.0,4.0,17.0,13.0,40.0,6.0,1.0,0.275,0.333,0.437,334.0,TOR,CF,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,73,5,0,0,0.0,h,0.11513025783822428,,,-1.6049708032317125,-1.627549639659472,-2.231622841151997,0.21335837188231907,0.023995955819795776,-5.226788956341067,,,,,,0.0,-5.226788956341067,"['OF', 'DH']"
18,18,9 Gran...,Mauricio Dubon,157.0,27.0,45.0,4.0,17.0,9.0,25.0,3.0,1.0,0.287,0.325,0.44,335.0,HOU,CF,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,55,0,9,64,2,5,5,0,0,0.0,h,1.8627272483868325,,,-1.0287837278282936,-1.627549639659472,-2.231622841151997,-0.4305267146911083,0.3882378237997752,-4.9302450995310965,,,,,,0.0,-4.9302450995310965,"['2B', 'SS', 'OF', 'MI', 'DH']"
19,19,9 Gran...,Luis Garcia,186.0,23.0,51.0,4.0,23.0,10.0,32.0,2.0,2.0,0.274,0.306,0.398,370.0,WAS,SS,9 Gran...,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,81,0,0,81,0,0,5,0,0,0.0,h,-0.10530402420413054,,,-1.6049708032317125,-1.627549639659472,-1.4339966300388054,-0.6451550768822507,-0.021947928892850566,-5.333620078705091,,,,,,0.0,-5.333620078705091,"['2B', 'MI', 'DH']"
20,0,9 Gran...,Clayton Kershaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,LAD,SP,9 Gran...,0.0,1.0,1.0,0.0,1.0,64.0,11.0,11.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,68.0,16.0,56.0,2.81,1.12,0.0,19.982222222222223,0,0,0,0,0,0,0,0,0,16,0,5.0,p,,39.895801041064175,2.3828802776171187,,,,,,0.0,1.4077188647140297,0.11964556591893813,-0.5354723220071731,1.3614560463000376,0.39754494210601793,2.7508930970318506,2.7508930970318506,"['SP', 'P']"
21,1,9 Gran...,Zac Gallen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,ARI,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,81.0,13.0,13.0,8.0,0.0,5.0,3.0,0.0,0.0,0.0,82.0,22.0,68.0,3.33,1.11,0.0,29.970000000000002,0,0,0,0,0,0,0,0,0,19,0,5.0,p,,8.373123192596836,4.140832851359164,,,,,,0.0,0.408100908663025,0.8441659373169542,-0.5354723220071731,0.28573531297798926,0.6908308284000083,1.6933606653508035,1.6933606653508035,"['SP', 'P']"
22,2,9 Gran...,Josh Hader,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,SD,RP,9 Gran...,0.0,0.0,1.0,0.0,1.0,27.0,29.0,0.0,0.0,0.0,1.0,1.0,16.0,2.0,1.0,41.0,13.0,14.0,2.0,1.0,17.0,6.0,0,0,0,0,0,0,0,0,0,0,35,5.0,p,,38.70104106419895,4.380277617119724,,,,,,0.0,-1.5911350034389846,-1.2776437217772356,2.041749009627351,1.3206845076434706,0.7307783055922157,1.2244330976468172,1.2244330976468172,"['RP', 'P']"
23,3,9 Gran...,Devin Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,MIL,RP,9 Gran...,0.0,0.0,1.0,0.0,1.0,26.0,29.0,0.0,0.0,0.0,1.0,1.0,16.0,2.0,1.0,38.0,14.0,14.0,2.08,1.08,17.0,6.0088888888888885,0,0,0,0,0,0,0,0,0,0,34,5.0,p,,35.18766917293233,2.2180451127819545,,,,,,0.0,-1.5911350034389846,-1.4328980870768107,2.041749009627351,1.20078964955196,0.37004486722732505,0.5885504358908413,0.5885504358908413,"['RP', 'P']"
24,4,9 Gran...,Alex Cobb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,SF,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,78.0,14.0,14.0,6.0,0.0,5.0,3.0,0.0,0.0,0.0,75.0,18.0,83.0,3.35,1.29,0.0,29.033333333333335,0,0,0,0,0,0,0,0,0,16,0,5.0,p,,6.503007518796949,-10.345864661654133,,,,,,0.0,0.408100908663025,0.48190575161794613,-0.5354723220071731,0.22191706080767487,-1.726039787473895,-1.1495883883924223,-1.1495883883924223,"['SP', 'P']"
25,5,9 Gran...,Domingo German,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,NYY,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,65.0,12.0,12.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,62.0,16.0,52.0,3.74,1.05,0.0,27.011111111111113,0,0,0,0,0,0,0,0,0,17,0,5.0,p,,-19.930827067669213,7.545112781954884,,,,,,0.0,-0.0917080693624774,-0.1908631646802116,-0.5354723220071731,-0.6801453865059395,1.2587797432631205,-0.23940919929268123,-0.23940919929268123,"['SP', 'P']"
26,6,9 Gran...,Bryce Elder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,ATL,SP,9 Gran...,0.0,0.0,1.0,0.0,1.0,80.0,14.0,14.0,9.0,0.0,5.0,2.0,0.0,0.0,0.0,65.0,26.0,75.0,3.49,1.26,0.0,31.022222222222226,0,0,0,0,0,0,0,0,0,18,0,5.0,p,,-4.530248698669823,-8.021399652978602,,,,,,0.0,0.408100908663025,-0.03560879938063674,-0.5354723220071731,-0.15459608081809195,-1.3382404859389232,-1.6558167794818,-1.6558167794818,"['SP', 'P']"
