Player,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP
Max Fried,0,0,0,0,0,0,0,0,0,5,0
Ty France,0,75,0,0,0,0,75,0,0,0,0
Ryne Nelson,0,0,0,0,0,0,0,0,0,16,0
Jarred Kelenic,0,0,0,0,0,0,0,72,2,0,0
Dylan Floro,0,0,0,0,0,0,0,0,0,0,34
Christian Walker,0,72,0,0,0,0,72,0,3,0,0
A.J. Puk,0,0,0,0,0,0,0,0,0,0,24
Taijuan Walker,0,0,0,0,0,0,0,0,0,16,0
Yandy Diaz,0,59,0,4,0,0,63,0,5,0,0
Corey Julks,0,0,0,0,0,0,0,44,13,0,0
Merrill Kelly,0,0,0,0,0,0,0,0,0,16,0
George Springer,0,0,0,0,0,0,0,65,10,0,0
Michael Wacha,0,0,0,0,0,0,0,0,0,14,0
Lourdes Gurriel,0,1,0,0,0,0,1,48,20,0,0
Anthony Santander,0,4,0,0,0,0,4,45,24,0,0
Michael Lorenzen,0,0,0,0,0,0,0,0,0,13,0
J.D. Martinez,0,0,0,0,0,0,0,3,59,0,0
Jake McCarthy,0,0,0,0,0,0,0,49,1,0,0
J.P. France,0,0,0,0,0,0,0,0,0,9,0
Ezequiel Tovar,0,0,0,0,73,73,0,0,0,0,0
Josh Rojas,0,0,5,46,0,5,46,2,5,0,0
Corbin Burnes,0,0,0,0,0,0,0,0,0,16,0
Yasmani Grandal,52,1,0,0,0,0,1,0,8,0,0
Marcus Semien,0,0,77,0,0,77,0,0,0,0,0
Bobby Witt,0,0,0,0,69,69,0,0,8,0,0
Alejandro Kirk,43,0,0,0,0,0,0,0,12,0,0
Dylan Cease,0,0,0,0,0,0,0,0,0,16,0
Freddy Peralta,0,0,0,0,0,0,0,0,0,15,0
Orlando Arcia,0,0,0,0,56,56,0,0,0,0,0
Camilo Doval,0,0,0,0,0,0,0,0,0,0,36
Logan Taylor Allen,0,0,0,0,0,0,0,0,0,11,0
Andrew Benintendi,0,0,0,0,0,0,0,72,1,0,0
Raisel Iglesias,0,0,0,0,0,0,0,0,0,0,23
Randy Arozarena,0,0,0,0,0,0,0,67,10,0,0
Riley Greene,0,0,0,0,0,0,0,51,1,0,0
Elly De La Cruz,0,0,0,8,9,9,8,0,0,0,0
Christian Yelich,0,0,0,0,0,0,0,68,5,0,0
Drew Rasmussen,0,0,0,0,0,0,0,0,0,8,0
Bo Bichette,0,0,0,0,77,77,0,0,1,0,0
Nick Castellanos,0,0,0,0,0,0,0,69,6,0,0
C.J. Cron,0,36,0,0,0,0,36,0,0,0,0
Gavin Williams,0,0,0,0,0,0,0,0,0,1,0
Luis Castillo,0,0,0,0,0,0,0,0,0,15,0
Andrew Chafin,0,0,0,0,0,0,0,0,0,0,34
Brayan Bello,0,0,0,0,0,0,0,0,0,12,0
Matt Moore,0,0,0,0,0,0,0,0,0,0,22
Mike Yastrzemski,0,0,0,0,0,0,0,55,0,0,0
Joey Wiemer,0,0,0,0,0,0,0,75,0,0,0
Marcus Stroman,0,0,0,0,0,0,0,0,0,17,0
Jack Suwinski,0,0,0,0,0,0,0,67,1,0,0
Harrison Bader,0,0,0,0,0,0,0,32,0,0,0
Michael King,0,0,0,0,0,0,0,0,0,0,26
Isaac Paredes,0,14,2,62,0,2,71,0,0,0,0
Harold Ramirez,0,4,0,0,0,0,4,5,49,0,0
Framber Valdez,0,0,0,0,0,0,0,0,0,15,0
Brandon Woodruff,0,0,0,0,0,0,0,0,0,2,0
Trevor Rogers,0,0,0,0,0,0,0,0,0,4,0
James Paxton,0,0,0,0,0,0,0,0,0,8,0
Josh Jung,0,0,0,73,0,0,73,0,0,0,0
Blake Snell,0,0,0,0,0,0,0,0,0,15,0
Giovanny Gallegos,0,0,0,0,0,0,0,0,0,0,28
Will Smith,50,0,0,0,0,0,0,0,5,0,0
Oneil Cruz,0,0,0,0,9,9,0,0,0,0,0
Zachary Neto,0,0,0,0,55,55,0,0,0,0,0
Ezequiel Duran,0,1,4,2,26,30,3,18,9,0,0
Colton Cowser,0,0,0,0,0,0,0,0,0,0,0
Yennier Cano,0,0,0,0,0,0,0,0,0,0,32
Bryce Miller,0,0,0,0,0,0,0,0,0,10,0
Javier Baez,0,0,0,0,69,69,0,0,2,0,0
Owen Miller,0,12,36,20,0,36,32,9,2,0,0
Chris Bassitt,0,0,0,0,0,0,0,0,0,16,0
Mike Trout,0,0,0,0,0,0,0,71,2,0,0
Bryan Woo,0,0,0,0,0,0,0,0,0,4,0
Brent Rooker,0,0,0,0,0,0,0,27,38,0,0
Josiah Gray,0,0,0,0,0,0,0,0,0,16,0
Spencer Strider,0,0,0,0,0,0,0,0,0,15,0
Alec Bohm,0,46,0,27,0,0,65,0,3,0,0
Johan Oviedo,0,0,0,0,0,0,0,0,0,16,0
Francisco Alvarez,50,0,0,0,0,0,0,0,2,0,0
Bryson Stott,0,0,72,0,0,72,0,0,0,0,0
Justin Verlander,0,0,0,0,0,0,0,0,0,9,0
Shane Bieber,0,0,0,0,0,0,0,0,0,16,0
Nico Hoerner,0,0,65,0,5,68,0,0,1,0,0
Manny Machado,0,0,0,60,0,0,60,0,2,0,0
Justin Turner,0,20,4,5,0,4,25,0,50,0,0
Sean Manaea,0,0,0,0,0,0,0,0,0,6,11
Cody Bellinger,0,8,0,0,0,0,8,37,0,0,0
Nolan Jones,0,9,0,1,0,0,10,18,0,0,0
Luis Robert,0,0,0,0,0,0,0,75,0,0,0
Nate Lowe,0,76,0,0,0,0,76,0,0,0,0
Jack Flaherty,0,0,0,0,0,0,0,0,0,15,0
Adam Ottavino,0,0,0,0,0,0,0,0,0,0,33
Cal Raleigh,59,0,0,0,0,0,0,0,8,0,0
Chris Sale,0,0,0,0,0,0,0,0,0,11,0
Sandy Alcantara,0,0,0,0,0,0,0,0,0,15,0
Masataka Yoshida,0,0,0,0,0,0,0,44,24,0,0
Jean Segura,0,0,0,59,0,0,59,0,0,0,0
Peter Fairbanks,0,0,0,0,0,0,0,0,0,0,17
Jorge Lopez,0,0,0,0,0,0,0,0,0,0,29
Ronald Acuna,0,0,0,0,0,0,0,76,0,0,0
Edouard Julien,0,0,26,0,0,26,0,0,5,0,0
Jackson Chourio,0,0,0,0,0,0,0,0,0,0,0
Jonah Heim,63,0,0,0,0,0,0,0,6,0,0
Alek Manoah,0,0,0,0,0,0,0,0,0,13,0
Luis Severino,0,0,0,0,0,0,0,0,0,7,0
Andrew Vaughn,0,72,0,0,0,0,72,0,5,0,0
David Robertson,0,0,0,0,0,0,0,0,0,0,29
Jose Berrios,0,0,0,0,0,0,0,0,0,16,0
Nathan Eovaldi,0,0,0,0,0,0,0,0,0,16,0
Jake Cronenworth,0,68,20,0,0,20,68,0,0,0,0
Ryan Pressly,0,0,0,0,0,0,0,0,0,0,33
Trea Turner,0,0,0,0,75,75,0,0,1,0,0
Matt Chapman,0,0,0,74,0,0,74,0,2,0,0
Jordan Walker,0,0,0,0,0,0,0,38,3,0,0
Tommy Edman,0,0,22,0,27,49,0,29,0,0,0
Tyler Glasnow,0,0,0,0,0,0,0,0,0,6,0
Alex Kirilloff,0,32,0,0,0,0,32,18,3,0,0
Luis Urias,0,0,9,10,0,9,10,0,0,0,0
Mark Canha,0,11,0,2,0,0,13,45,11,0,0
Carlos Correa,0,0,0,0,69,69,0,0,0,0,0
Dane Dunning,0,0,0,0,0,0,0,0,0,9,8
Tyler Wells,0,0,0,0,0,0,0,0,0,14,1
Yordan Alvarez,0,0,0,0,0,0,0,22,35,0,0
Trey Mancini,0,37,0,0,0,0,37,5,18,0,0
Brandon Marsh,0,0,0,0,0,0,0,68,1,0,0
Felix Bautista,0,0,0,0,0,0,0,0,0,0,35
Eugenio Suarez,0,0,0,74,0,0,74,0,2,0,0
Miles Mikolas,0,0,0,0,0,0,0,0,0,16,0
Lane Thomas,0,0,0,0,0,0,0,76,0,0,0
LaMonte Wade,0,57,0,0,0,0,57,18,0,0,0
Clay Holmes,0,0,0,0,0,0,0,0,0,0,34
Travis d'Arnaud,24,0,0,0,0,0,0,0,7,0,0
Cedric Mullins,0,0,0,0,0,0,0,52,1,0,0
Jon Berti,0,0,4,24,39,43,24,3,1,0,0
