last_name, first_name,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Tatis Jr., Fernando,665487,2020,164,8.7,32.3,113.4,95.9,100.2,91.6,458,176,410,102,22.1,62.2,32,19.5,12.5
Seager, Corey,608369,2020,177,11.9,38.4,113.1,93.2,98.3,86.3,447,195,411,99,22,55.9,28,15.8,12.1
Soto, Juan,665742,2020,126,4.3,33.3,113.3,92.1,99.5,86.3,466,162,416,65,21.8,51.6,23,18.3,11.7
Jiménez, Eloy,650391,2020,158,5.7,32.9,113.6,92.4,97.7,89.3,466,153,393,88,20.1,55.7,26,16.5,11.5
Hernández, Teoscar,606192,2020,128,15.3,40.6,115.9,93.3,98.2,86.6,466,196,418,68,17.4,53.1,23,18,11.1
Sanó, Miguel,593934,2020,96,20.2,31.3,115.8,95.2,101.3,91,458,205,412,55,13.4,57.3,22,22.9,10.7
Lowe, Brandon,664040,2020,137,18.1,37.2,111.4,89.8,94.3,83.2,459,199,406,59,14.3,43.1,24,17.5,10.7
Harper, Bryce,547180,2020,150,16,33.3,114.7,92.5,96,88.3,470,202,405,76,17.1,50.7,26,17.3,10.7
Davidson, Matt,571602,2020,30,18.1,36.7,113.1,92.8,92.5,93,449,211,418,17,17.5,56.7,5,16.7,10.6
Belt, Brandon,474832,2020,113,18,40.7,109.1,90.7,95.1,83.3,429,217,400,53,18.2,46.9,19,16.8,10.6
Chapman, Matt,656305,2020,89,24.1,40.4,115.9,93.6,99,86.8,444,206,413,46,15.7,51.7,16,18,10.5
Higashioka, Kyle,543309,2020,37,18.5,35.1,106.4,89.7,92.5,86.4,428,189,398,11,11.6,29.7,5,13.5,10.4
Perez, Salvador,521692,2020,115,14.2,41.7,110.4,91,94.4,86.5,447,200,415,54,16.3,47,16,13.9,10.3
Walsh, Jared,665120,2020,87,13.1,29.9,112.8,88.1,93.6,87,450,169,415,34,17.3,39.1,11,12.6,10.2
Taylor, Michael A.,572191,2020,65,12.4,27.7,108.6,89,92.7,84.9,429,168,418,24,12.8,36.9,10,15.4,10.1
Abreu, José,547989,2020,182,10.9,37.4,114,92.9,97.1,89.2,452,179,406,97,19.5,53.3,26,14.3,9.9
Freeman, Freddie,518692,2020,177,17.2,49.2,109.3,92.4,96.1,88.1,443,208,409,96,19.5,54.2,26,14.7,9.9
Castellanos, Nick,592206,2020,150,16.5,39.3,108.5,91,95,86.2,433,202,409,70,14,46.7,24,16,9.9
Moreland, Mitch,519048,2020,104,12.5,31.7,110.1,88.2,93.9,82,427,175,397,42,15.7,40.4,15,14.4,9.9
Dalbec, Bobby,666915,2020,41,14.8,36.6,110.4,89.9,99.8,79.1,449,199,399,18,9.7,43.9,9,22,9.8
Soler, Jorge,624585,2020,90,15.5,36.7,114,92.5,98,87.2,448,184,410,46,16.3,51.1,17,18.9,9.8
Osuna, José,591741,2020,62,14.7,37.1,110,89.1,93.3,85,429,192,385,26,16.3,41.9,8,12.9,9.8
Taylor, Tyrone,621438,2020,30,14.1,30,105.1,87.3,95.7,81.7,423,176,421,13,17.8,43.3,4,13.3,9.8
Ozuna, Marcell,542303,2020,169,16.4,39.1,115.6,93,96.6,89,469,191,429,92,18.5,54.4,26,15.4,9.7
Ríos, Edwin,621458,2020,59,14.5,40.7,110.8,91.5,96.6,83.6,434,208,400,27,18.4,45.8,8,13.6,9.6
Trevino, Jose,624431,2020,64,10.1,31.3,106.7,87.9,95.5,82.3,393,170,379,26,20,40.6,8,12.5,9.6
Myers, Wil,571976,2020,142,13.4,40.8,109.2,91,94.6,87.2,445,194,407,65,18.5,45.8,21,14.8,9.6
Buxton, Byron,621439,2020,96,23.6,25,111.9,91.2,96.8,86.6,442,188,409,46,16.2,47.9,13,13.5,9.6
Gyorko, Jedd,576397,2020,81,15.3,35.8,108,88.6,95.1,83.4,423,181,396,35,14.6,43.2,13,16,9.6
Cron, C.J.,543068,2020,26,20.6,34.6,112,85.5,97.6,76.9,447,178,396,9,9.1,34.6,5,19.2,9.6
Stanton, Giancarlo,519317,2020,49,8.3,38.8,121.3,91.1,97.4,89,483,157,439,25,16.7,51,9,18.4,9.6
Cordero, Franchy,614173,2020,34,-1.1,35.3,111.8,91.2,95.1,88.7,430,136,427,16,18,47.1,4,11.8,9.5
Bichette, Bo,666182,2020,96,12,37.5,109.2,89.2,95.9,84.5,435,178,404,39,14.5,40.6,12,12.5,9.4
Trout, Mike,545361,2020,147,23.1,36.1,112.9,93.7,96.1,91.5,449,220,413,81,21.6,55.1,22,15,9.1
Duvall, Adam,594807,2020,137,22.9,30.7,114.2,88.1,94.4,79,450,203,397,55,14.1,40.1,19,13.9,9.1
Smith, Dominic,642086,2020,135,10.8,43,110.7,89.8,94.9,83.1,441,180,403,63,16,46.7,18,13.3,9
Sánchez, Gary,596142,2020,92,19.2,29.3,117.5,91.8,99,85.9,457,189,405,46,13.6,50,16,17.4,9
Voit, Luke,572228,2020,160,15.2,37.5,111.7,88.9,95.9,82.2,437,178,397,64,13.5,40,21,13.1,9
Stewart, DJ,621466,2020,52,17.8,28.8,107.8,91.4,97.9,87.8,415,162,386,24,10,46.2,10,19.2,8.9
Cruz, Nelson,443558,2020,127,9.4,39.4,114.4,91.6,98,86.1,448,169,417,60,14.9,47.2,19,15,8.9
Smith, Will,669257,2020,93,24.2,41.9,108.8,90.8,94.5,81.3,439,219,395,44,18.9,47.3,12,12.9,8.8
Realmuto, J.T.,592663,2020,125,11.6,32.8,112.4,90.2,95.5,87.2,431,164,397,53,15.8,42.4,17,13.6,8.7
Slater, Austin,596103,2020,64,10.9,45.3,109.1,89.2,90.9,87.9,400,182,392,29,16.3,45.3,9,14.1,8.7
Hoskins, Rhys,656555,2020,108,24.8,32.4,111.2,89.8,93.9,85.7,421,199,393,46,14.4,42.6,16,14.8,8.6
Longoria, Evan,446334,2020,157,10.7,29.9,111.5,91.7,95.9,88.7,432,165,401,71,19.9,45.2,18,11.5,8.6
Springer, George,543807,2020,153,18.3,35.3,115,88.7,94.3,85.1,455,188,412,65,16.6,42.5,19,12.4,8.6
Braun, Ryan,460075,2020,103,15.3,35.9,110.2,89.8,92.6,90.3,426,175,397,42,16.2,40.8,12,11.7,8.5
Moran, Colin,592567,2020,127,8.3,32.3,112,91.9,96.6,89.9,450,147,410,60,14.9,47.2,17,13.4,8.5
Gurriel Jr., Lourdes,666971,2020,162,10.5,39.5,109.5,90.8,93.9,88.2,447,170,402,80,18.8,49.4,19,11.7,8.5
Machado, Manny,592518,2020,191,15.6,34.6,115.7,90.2,94.1,88.2,436,179,413,83,19,43.5,21,11,8.3
McBroom, Ryan,643436,2020,51,20.1,29.4,108.2,89,90.5,87.8,430,198,414,16,9.7,31.4,7,13.7,8.2
Suárez, Eugenio,553993,2020,132,17.8,28.8,111.4,89.1,94.4,84.1,434,195,404,59,14.1,44.7,19,14.4,8.2
Grichuk, Randal,545341,2020,169,12.6,27.2,110.9,88.9,95.9,84.1,428,166,393,67,15.2,39.6,19,11.2,8.2
Díaz, Elias,553869,2020,53,12.9,34,110.1,87.4,94,84.5,408,172,399,22,15.7,41.5,6,11.3,8.2
Moore, Dylan,664238,2020,94,17.3,39.4,109.8,90.4,95,85.5,436,191,398,42,15.4,44.7,13,13.8,8.2
Devers, Rafael,646240,2020,165,10.6,33.3,116.7,93,94.7,91.5,449,173,414,72,13.5,43.6,20,12.1,8.1
Jeffers, Ryan,680777,2020,36,10.3,27.8,112.9,91.6,99.4,87.1,437,154,428,15,14.3,41.7,5,13.9,8.1
Turner, Justin,457759,2020,125,17.5,40.8,107.8,90.3,93.1,87,436,205,403,55,18.8,44,14,11.2,8
Alonso, Pete,624413,2020,148,15.5,30.4,118.4,90.2,96.3,86.5,456,176,405,61,14.3,41.2,19,12.8,7.9
Acuña Jr., Ronald,660670,2020,100,18.6,34,114.8,92.4,99.5,84.9,495,207,414,57,16.1,57,16,16,7.9
Arozarena, Randy,668227,2020,43,9.2,32.6,113.1,90.3,96.8,86.1,431,159,393,19,14,44.2,6,14,7.9
Lowe, Nathaniel,663993,2020,39,7.1,41,114.8,88.9,94.9,82,420,165,391,17,14.3,43.6,6,15.4,7.9
Reyes, Franmil,614177,2020,147,11.2,31.3,114.7,92.4,97.5,89.4,462,161,422,66,14.6,44.9,19,12.9,7.9
Santander, Anthony,623993,2020,128,24.7,40.6,113.2,88.6,92.1,87.8,426,205,388,47,15.3,36.7,13,10.2,7.9
Marmolejos, José,592530,2020,75,10.5,33.3,108.8,90.5,94.3,88.7,421,170,409,34,17,45.3,9,12,7.8
Cronenworth, Jake,630105,2020,143,10.6,37.8,110.1,89.8,91.5,88.9,426,170,400,61,20.3,42.7,15,10.5,7.8
Tejeda, Anderson,660731,2020,45,14.3,26.7,112.2,90.8,99.8,86.7,451,154,411,19,13.9,42.2,6,13.3,7.8
Encarnación, Edwin,429665,2020,106,22.8,29.2,112.9,85.4,92.4,79.1,448,188,408,35,9.7,33,14,13.2,7.7
Hiura, Keston,669374,2020,134,14.3,34.3,110.2,87.4,93.7,82.8,438,171,408,53,10.7,39.6,19,14.2,7.7
Hosmer, Eric,543333,2020,117,8.7,33.3,112,90.8,94.4,88.9,443,169,408,55,19.3,47,12,10.3,7.7
Winker, Jesse,608385,2020,104,10.5,37.5,113,92.1,95.3,89.5,447,177,393,51,16.2,49,14,13.5,7.7
Dickerson, Alex,543105,2020,122,17.8,30.3,114.6,90.9,93.1,89.8,480,177,409,54,17.7,44.3,13,10.7,7.6
Stassi, Max,545358,2020,72,15,31.9,108,91.6,95.5,87.3,444,182,410,30,17.6,41.7,8,11.1,7.6
Pollock, AJ,572041,2020,153,13,37.9,110,89.6,94.7,83.8,428,189,403,66,18.6,43.1,16,10.5,7.6
Castro, Jason,488771,2020,47,19.7,42.6,111.1,92.7,94.6,91.1,426,222,424,26,15.2,55.3,7,14.9,7.6
Miller, Brad,543543,2020,97,11.2,33,110.3,89.8,95.2,85.7,446,172,409,42,15,43.3,13,13.4,7.6
Robert, Luis,673357,2020,131,16.7,36.6,115.8,87.9,94.9,82.2,458,181,416,53,10.5,40.5,17,13,7.5
Calhoun, Kole,594777,2020,144,17,36.1,109,89.4,94,84.2,438,193,397,55,13,38.2,17,11.8,7.5
Odor, Rougned,596059,2020,93,20.7,28,110.6,86,93.3,79.9,434,189,394,30,10.1,32.3,11,11.8,7.4
Nottingham, Jacob,641924,2020,28,20.1,28.6,107.4,87,91.7,85.6,436,154,397,11,9.6,39.3,4,14.3,7.4
Núñez, Renato,600524,2020,132,21.1,37.9,110.3,86.3,92.6,79.6,422,185,393,48,10.3,36.4,16,12.1,7.4
Turner, Trea,607208,2020,199,9.5,34.2,111.2,90.5,93.3,88.7,422,167,399,81,16.7,40.7,19,9.5,7.3
Díaz, Lewin,650331,2020,27,23.7,22.2,107.9,86.4,91.5,81.7,395,167,,10,13,37,3,11.1,7.3
Seager, Kyle,572122,2020,176,17.7,30.7,108.7,89.1,93.1,83.9,426,194,391,70,18,39.8,18,10.2,7.3
Muncy, Max,571970,2020,145,14.2,29,109.8,88.5,94.7,81.9,428,181,402,58,14.4,40,18,12.4,7.3
Anderson, Tim,641313,2020,159,6.7,33.3,108.8,87.2,93.7,82.5,422,151,394,57,13.1,35.8,16,10.1,7.2
Bohm, Alec,664761,2020,126,4.8,34.9,109.6,90.2,93.6,87.6,446,147,411,59,18.8,46.8,13,10.3,7.2
Swanson, Dansby,621020,2020,167,14.7,40.7,109.3,89.1,92,84.6,427,192,399,68,13.6,40.7,19,11.4,7.2
Martinez, J.D.,502110,2020,154,14.7,39.6,110.7,89.5,93.9,82.6,437,206,403,64,13.7,41.6,17,11,7.2
Murphy, Sean,669221,2020,79,14.7,31.6,112.5,92.2,97.1,89.1,464,173,418,39,16.3,49.4,10,12.7,7.1
Zunino, Mike,572287,2020,38,26.9,34.2,113.7,87.5,97.1,67,428,205,414,14,7.8,36.8,6,15.8,7.1
Ramírez, José,608070,2020,177,23.2,36.7,114.3,88.7,94.1,84,434,196,395,63,13.3,35.6,18,10.2,7.1
Gallo, Joey,608336,2020,114,26.8,28.9,113.5,91.2,96.8,81.1,448,209,417,50,12,43.9,16,14,7.1
Stewart, Christin,621514,2020,61,24.5,36.1,105.5,85.7,90.1,82,410,196,407,18,9,29.5,7,11.5,7.1
d'Arnaud, Travis,518595,2020,116,8.1,42.2,109.7,93.4,96.2,90.1,434,176,414,67,19.7,57.8,13,11.2,7.1
Judge, Aaron,592450,2020,69,15.7,36.2,113.1,92.2,93.9,92.2,468,198,414,29,13.9,42,8,11.6,7
Taylor, Chris,621035,2020,131,9.1,35.1,109.6,88,95.8,80.4,446,169,397,59,15.4,45,15,11.5,7
Olson, Matt,621566,2020,133,19.6,30.1,112.5,92.3,96.7,90,454,191,412,61,14.3,45.9,17,12.8,6.9
White, Evan,657108,2020,99,13.7,27.3,112.8,91.7,97.2,87.7,440,180,405,52,14.3,52.5,14,14.1,6.9
Goldschmidt, Paul,502671,2020,149,11.7,42.3,111.3,89.2,94.2,84,443,180,405,61,15.4,40.9,16,10.7,6.9
Polanco, Gregory,570256,2020,95,20.8,36.8,114.2,92.9,97,91,446,209,411,49,12.7,51.6,12,12.6,6.9
Frazier, Clint,640449,2020,88,11.6,38.6,108.8,89.4,94.5,82.7,410,181,381,38,15.7,43.2,11,12.5,6.9
Conforto, Michael,624424,2020,145,11,38.6,114.4,88.4,94.6,82.3,434,168,403,53,12.9,36.6,16,11,6.9
Riley, Austin,663586,2020,140,13.6,30.7,111,91,94.2,88.4,471,169,424,60,14.3,42.9,14,10,6.8
