,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,10.0,2.4,3.1,0.6,2.1,1.5,2.3,0.2,0.0,0.314,0.403,0.549,397.0,STL,1B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,72,0,0,0,0,72,0,5,0,0,0.0,h,0.3449638429752069,,,2.930809371975197,1.4328505317461493,1.969225795128095,-0.04746156103690645,1.4049361914169431,7.690360329229478,,,,,,0.0,7.690360329229478,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Adolis Garcia,8.7,1.5,2.2,0.5,1.7,0.7,2.5,0.2,0.0,0.255,0.315,0.487,448.0,TEX,RF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,81,5,0,0,0.0,h,-0.19688145661156975,,,0.15511755704725558,0.7871125587725526,0.8156758492818279,-0.04746156103690645,-0.8018402202005825,0.908604183864147,,,,,,0.0,0.908604183864147,"['OF', 'DH']"
2,2,9 Gran...,Ozzie Albies,9.8,1.6,2.5,0.5,1.6,0.9,2.1,0.2,0.1,0.256,0.321,0.48,451.0,ATL,2B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,84,0,0,84,0,0,5,0,0,0.0,h,-0.1999354338842978,,,0.46352775870591606,0.7871125587725526,0.5272883628202617,-0.04746156103690645,-0.8142781706861029,0.9161889485757211,,,,,,0.0,0.9161889485757211,"['2B', 'MI', 'DH']"
3,3,9 Gran...,Dansby Swanson,10.6,1.6,3.0,0.3,1.5,1.1,2.8,0.2,0.1,0.284,0.351,0.445,456.0,CHC,SS,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,81,0,0,5,0,0,0.0,h,0.07966167355371923,,,0.46352775870591606,-0.5043633871746414,0.23890087635869484,-0.04746156103690645,0.3244385477596442,0.47504223461270734,,,,,,0.0,0.47504223461270734,"['SS', 'MI', 'DH']"
4,4,9 Gran...,Andres Gimenez,9.4,1.3,2.7,0.3,1.3,0.6,1.8,0.4,0.1,0.287,0.356,0.462,461.0,CLE,2B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,78,0,0,78,0,0,5,0,0,0.0,h,0.11026601239669453,,,-0.4617028462700647,-0.5043633871746414,-0.3378740965644383,0.9551639158677219,0.44908101139886575,0.10030459725744328,,,,,,0.0,0.10030459725744328,"['2B', 'MI', 'DH']"
5,5,9 Gran...,Steven Kwan,9.6,1.7,2.9,0.1,0.9,1.2,1.2,0.4,0.1,0.298,0.376,0.414,478.0,CLE,LF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,81,5,0,0,0.0,h,0.2551652892561984,,,0.7719379603645758,-1.7958393331218354,-1.4914240424107048,0.9551639158677219,1.0392131145616073,-0.5209483847386351,,,,,,0.0,-0.5209483847386351,"['OF', 'DH']"
6,6,9 Gran...,Salvador Perez,8.8,1.2,2.4,0.6,1.5,0.3,2.3,0.0,0.0,0.268,0.303,0.515,481.0,KC,C,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1,0,0,0,0,1,0,5,0,0,0.0,h,-0.02443181818181861,,,-0.7701130479287251,1.4328505317461493,0.23890087635869484,-1.0500870379415348,-0.09950360388413962,-0.24795228164955543,,,,,,0.0,-0.24795228164955543,"['C', 'DH']"
7,7,9 Gran...,Jose Siri,6.2,1.3,1.6,0.4,1.2,0.6,1.9,0.3,0.1,0.26,0.325,0.517,498.0,TB,CF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,52,5,0,0,0.0,h,-0.10812241735537187,,,-0.4617028462700647,0.14137458579895576,-0.6262615830260052,0.4538511774154076,-0.44035077976843817,-0.9330894458501447,,,,,,0.0,-0.9330894458501447,"['OF', 'DH']"
8,8,9 Gran...,J.D. Davis,8.2,1.3,2.4,0.3,1.4,1.2,2.3,0.0,0.0,0.3,0.393,0.497,501.0,SF,DH,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,62,0,0,66,0,5,0,0,0.0,h,0.1408703512396694,,,-0.4617028462700647,-0.5043633871746414,-0.04948661010287206,-1.0500870379415348,0.5737234750380854,-1.4919164064510273,,,,,,0.0,-1.4919164064510273,"['3B', 'CI', 'DH']"
9,9,9 Gran...,Jeimer Candelario,9.6,1.4,2.6,0.4,1.4,0.9,2.0,0.1,0.0,0.269,0.343,0.479,505.0,WAS,3B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,80,0,0,80,0,5,0,0,0.0,h,-0.04483471074380141,,,-0.1532926446114049,0.14137458579895576,-0.04948661010287206,-0.5487742994892206,-0.18259857964361761,-0.7927775480481594,,,,,,0.0,-0.7927775480481594,"['3B', 'CI', 'DH']"
