,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
0,0,9 Gran...,Paul Goldschmidt,10.0,2.3,3.2,0.6,2.0,1.5,2.3,0.2,0.0,0.32,0.408,0.554,357.0,STL,1B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77,0,0,0,0,77,0,5,0,0,0.0,h,0.46983094928478586,,,2.649292614363242,1.421601444915455,1.6785991630947066,-0.006304429034122087,1.9884240470865622,7.731612840425845,,,,,,0.0,7.731612840425845,"['1B', 'CI', 'DH']"
1,1,9 Gran...,Adolis Garcia,8.7,1.6,2.3,0.6,1.8,0.8,2.5,0.2,0.0,0.264,0.328,0.512,391.0,TEX,RF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,86,5,0,0,0.0,h,-0.07524707412223641,,,0.521585103981901,1.421601444915455,1.1179603121796762,-0.006304429034122087,-0.3184615485321444,2.736380883510766,,,,,,0.0,2.736380883510766,"['OF', 'DH']"
2,2,9 Gran...,Ozzie Albies,9.7,1.7,2.5,0.5,1.6,0.9,2.1,0.2,0.1,0.26,0.325,0.496,401.0,ATL,2B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,89,0,0,89,0,0,5,0,0,0.0,h,-0.14826397919375767,,,0.8255433197506638,0.7669675370388571,0.5573214612646458,-0.006304429034122087,-0.627484549484013,1.5160433395360315,,,,,,0.0,1.5160433395360315,"['2B', 'MI', 'DH']"
3,3,9 Gran...,Andres Gimenez,9.2,1.3,2.7,0.3,1.3,0.6,1.7,0.5,0.1,0.288,0.361,0.472,413.0,CLE,2B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,84,0,0,84,0,0,5,0,0,0.0,h,0.188244473342003,,,-0.39028954332438826,-0.5423002787143388,-0.28363681510790023,1.5918683311156165,0.7966904651432353,1.1723321591122247,,,,,,0.0,1.1723321591122247,"['2B', 'MI', 'DH']"
4,4,9 Gran...,Steven Kwan,9.7,1.7,2.8,0.1,0.9,1.1,1.2,0.4,0.1,0.294,0.369,0.406,442.0,CLE,LF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,87,5,0,0,0.0,h,0.15173602080624216,,,0.8255433197506638,-1.8515680944675348,-1.4049145169379613,1.0591440777323704,0.6421789646673,-0.7296162492551619,,,,,,0.0,-0.7296162492551619,"['OF', 'DH']"
5,5,9 Gran...,Salvador Perez,8.6,1.1,2.3,0.6,1.4,0.3,2.3,0.0,0.0,0.263,0.301,0.506,457.0,KC,C,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1,0,0,0,0,1,0,5,0,0,0.0,h,-0.04794538361508449,,,-0.9982059748619143,1.421601444915455,-0.003317389650385311,-1.0717529358006146,-0.20291501416020422,-0.8545898695576634,,,,,,0.0,-0.8545898695576634,"['C', 'DH']"
6,6,9 Gran...,Kris Bryant,10.1,1.5,2.9,0.4,1.1,1.1,2.2,0.1,0.0,0.284,0.36,0.437,458.0,COL,LF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,43,5,0,0,0.0,h,0.14252925877763367,,,0.21762688821313775,0.11233362916225935,-0.8442756660229307,-0.5390286824173683,0.6032139985633069,-0.450129832501595,,,,,,0.0,-0.450129832501595,"['OF', 'DH']"
7,7,9 Gran...,J.D. Davis,8.2,1.3,2.4,0.3,1.4,1.1,2.3,0.0,0.0,0.299,0.39,0.496,460.0,SF,DH,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,67,0,0,71,0,5,0,0,0.0,h,0.16126137841352417,,,-0.39028954332438826,-0.5423002787143388,-0.003317389650385311,-1.0717529358006146,0.6824922947113321,-1.325167852778395,,,,,,0.0,-1.325167852778395,"['3B', 'CI', 'DH']"
8,8,9 Gran...,Jeimer Candelario,9.6,1.4,2.5,0.4,1.3,0.9,2.0,0.1,0.0,0.265,0.339,0.47,463.0,WAS,3B,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,84,0,0,84,0,5,0,0,0.0,h,-0.12096228868660575,,,-0.08633132755562559,0.11233362916225935,-0.28363681510790023,-0.5390286824173683,-0.5119380151120727,-1.3086012110307075,,,,,,0.0,-1.3086012110307075,"['3B', 'CI', 'DH']"
9,9,9 Gran...,Mauricio Dubon,9.8,1.6,2.7,0.2,1.0,0.6,1.8,0.2,0.1,0.271,0.319,0.421,481.0,HOU,CF,9 Gran...,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,55,0,9,64,2,5,5,0,0,0.0,h,0.024434330299090146,,,0.521585103981901,-1.1969341865909366,-1.1245950914804461,-0.006304429034122087,0.10341125891158816,-1.7028373442120157,,,,,,0.0,-1.7028373442120157,"['2B', 'SS', 'OF', 'MI', 'DH']"
