Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,playerid
Michael Wacha,BOS,SP,489.7099915,106,-1.896494599,-1.782823347,-6.530506584,-3.600285339,-2.796778582,-16.60688845,8.787425154,-6.819463297,14078
Francisco Perez,WSN,RP,999,42,-5.072020439,-1.782823347,-1.007602208,-2.162026825,-5.351475016,-15.37594783,7.505149695,-6.87079814,21018
Justin Bruihl,LAD,RP,999,44,-5.072020439,-1.782823347,-1.109468543,-1.778512725,-5.677606475,-15.42043153,7.505149695,-6.915281834,23779
Oliver Perez,CLE,RP,999,40,-5.072020439,-1.782823347,-1.471531287,-1.201353698,-5.895027449,-15.42275622,7.505149695,-6.917606524,1514
Ethan Small,MIL,SP,600.8099976,46,-4.278138979,-1.782823347,-2.342925706,-2.739185852,-5.568895989,-16.71196987,8.787425154,-6.924544718,sa3011621
Jakob Junis,,SP,999,80,-2.690376059,-1.782823347,-5.206244229,-2.940382286,-4.101304421,-16.72113034,8.787425154,-6.933705188,13619
Jandel Gustave,MIL,RP,999,48,-5.072020439,-1.782823347,-1.313201213,-1.817996861,-5.460185502,-15.44622736,7.505149695,-6.941077667,14665
Dellin Betances,,RP,999,41,-5.072020439,-1.782823347,-1.239566747,-1.681690261,-5.677606475,-15.45370727,7.505149695,-6.948557575,6216
Tommy Nance,CHC,RP,999,46,-5.072020439,-1.782823347,-1.211334878,-1.932673516,-5.460185502,-15.45903768,7.505149695,-6.953887987,19178
Eli Morgan,CLE,SP,591.9000244,62,-4.278138979,-1.782823347,-4.289447214,-1.552935169,-4.862277826,-16.76562253,8.787425154,-6.97819738,20203
Aaron Civale,CLE,SP,262.2900085,160,-0.30873168,-1.782823347,-9.28089763,-4.80541479,-0.622568851,-16.8004363,8.787425154,-7.013011143,19479
Joe Jimenez,DET,RP,999,54,-4.278138979,-1.782823347,-2.750391046,-2.011641788,-4.699212097,-15.52220726,7.505149695,-7.017057561,15761
Tobias Myers,TBR,RP,999,43,-5.072020439,-1.782823347,-1.907228496,-1.029338715,-5.731961719,-15.52337272,7.505149695,-7.018223022,sa918088
Kyle Muller,ATL,SP/RP,564.289978,44,-4.278138979,-1.782823347,-2.241059371,-3.122699952,-5.460185502,-16.88490715,8.787425154,-7.097481997,20167
Scott Kazmir,,SP/RP,999,53,-4.278138979,-1.782823347,-2.982355585,-2.337817561,-5.514540746,-16.89567622,8.787425154,-7.108251063,4897
Ryan Sherriff,PHI,RP,999,58,-4.278138979,-1.782823347,-1.822532888,-2.85763826,-4.91663307,-15.65776654,7.505149695,-7.152616849,12249
Juan Minaya,,RP,999,41,-5.072020439,-1.782823347,-1.239566747,-1.950527707,-5.623251232,-15.66818947,7.505149695,-7.163039777,10341
Taylor Widener,ARI,SP/RP,598.0499878,65,-4.278138979,-1.782823347,-3.593553595,-2.99394486,-4.318725394,-16.96718617,8.787425154,-7.179761021,19266
Mitch Keller,PIT,SP,590,81,-2.690376059,-1.782823347,-4.408484276,-4.227231187,-3.883883447,-16.99279832,8.787425154,-7.205373161,17594
Jacob Webb,ATL,RP,999,60,-4.278138979,-1.782823347,-2.490194637,-2.47412416,-4.699212097,-15.72449322,7.505149695,-7.219343525,19274
Tyler Chatwood,,RP,999,57,-4.278138979,-1.782823347,-1.488702013,-3.452651479,-4.75356734,-15.75588316,7.505149695,-7.250733463,4338
Fernando Abad,,RP,999,37,-5.072020439,-1.782823347,-1.601629491,-1.104531234,-6.221158908,-15.78216342,7.505149695,-7.277013725,4994
Jake Reed,NYM,RP,999,47,-5.072020439,-1.782823347,-1.545165752,-1.875335188,-5.514540746,-15.78988547,7.505149695,-7.284735777,16209
Wandy Peralta,NYY,RP,999,58,-4.278138979,-1.782823347,-1.822532888,-2.85763826,-5.079698799,-15.82083227,7.505149695,-7.315682579,14295
Steven Cavalli,WSN,SP,550.2399902,55,-4.278138979,-1.782823347,-2.518426506,-3.567328134,-4.970988313,-17.11770528,8.787425154,-7.330280124,sa3014421
Marco Gonzales,SEA,SP,284.4299927,184,0.48514978,-1.782823347,-10.50329365,-5.311157052,-0.024661175,-17.13678544,8.787425154,-7.34936029,15467
Alex Colome,,RP,461.480011,68,-4.278138979,-1.782823347,-2.331864563,-2.821929878,-4.644856853,-15.85961362,7.505149695,-7.354463926,6661
Chaz Roe,,RP,999,42,-5.072020439,-1.782823347,-1.573397622,-1.893189379,-5.623251232,-15.94468202,7.505149695,-7.439532325,9866
Michael Pineda,,SP,394.1000061,167,0.48514978,-1.782823347,-10.48612292,-4.94172139,-0.513858364,-17.23937624,8.787425154,-7.45195109,5372
Michael Rucker,CHC,RP,999,48,-5.072020439,-1.782823347,-1.878996627,-1.817996861,-5.405830259,-15.95766753,7.505149695,-7.452517838,19454
Jordan Yamamoto,NYM,SP/RP,999,47,-5.072020439,-1.782823347,-2.67675658,-2.144172634,-5.568895989,-17.24466899,8.787425154,-7.457243834,17585
Jace Fry,,RP,999,41,-5.072020439,-1.782823347,-0.673771333,-2.757040043,-5.677606475,-15.96326164,7.505149695,-7.458111943,16159
Hirokazu Sawamura,BOS,RP,589.5700073,56,-4.278138979,-1.782823347,-2.286461967,-2.972314915,-4.644856853,-15.96459606,7.505149695,-7.459446367,27515
Jimmy Lambert,CHW,SP/RP,999,49,-4.278138979,-1.782823347,-3.344418329,-2.56717087,-5.297119773,-17.2696713,8.787425154,-7.482246143,19541
Cionel Perez,CIN,RP,999,44,-5.072020439,-1.782823347,-1.109468543,-2.585025061,-5.460185502,-16.00952289,7.505149695,-7.504373198,19614
Cody Stashak,MIN,RP,999,45,-5.072020439,-1.782823347,-2.574890245,-1.183499506,-5.460185502,-16.07341904,7.505149695,-7.568269345,18088
Sean Hjelle,SFG,SP,597,37,-5.072020439,-1.782823347,-1.601629491,-2.448718462,-6.492935125,-17.39812686,8.787425154,-7.610701709,sa3007989
Austin Warren,LAA,RP,999,61,-4.278138979,-1.509322038,-2.258230097,-3.223298169,-4.862277826,-16.13126711,7.505149695,-7.626117416,24937
Chris Archer,,SP,599.8599854,105,-1.896494599,-1.782823347,-6.762471124,-4.464136003,-2.525002366,-17.43092744,8.787425154,-7.643502284,6345
Sean Doolittle,,RP,999,52,-5.072020439,-1.782823347,-2.648524711,-1.588643551,-5.079698799,-16.17171085,7.505149695,-7.666561153,1581
Casey Mize,DET,SP,265.480011,171,0.48514978,-1.782823347,-9.558264766,-6.325392753,-0.296437391,-17.47776848,8.787425154,-7.690343323,20492
Wander Suero,,RP,999,40,-5.072020439,-1.782823347,-2.037326701,-1.470191143,-5.840672205,-16.20303383,7.505149695,-7.69788414,15855
Paul Campbell,MIA,RP,999,44,-5.072020439,-1.782823347,-1.675263957,-1.778512725,-5.895027449,-16.20364792,7.505149695,-7.698498221,22248
Jovani Moran,MIN,RP,999,46,-5.072020439,-1.782823347,-1.211334878,-3.008023298,-5.134054043,-16.208256,7.505149695,-7.703106309,20422
Cole Hamels,,SP,999,64,-3.484257519,-1.782823347,-3.825518135,-3.320120633,-5.079698799,-17.49241843,8.787425154,-7.704993279,4972
Duane Underwood Jr.,PIT,RP,999,60,-4.278138979,-1.782823347,-2.490194637,-2.742961606,-4.91663307,-16.21075164,7.505149695,-7.705601944,14677
Merrill Kelly,ARI,SP,444.1900024,171,0.48514978,-1.782823347,-9.558264766,-6.594230199,-0.079016418,-17.52918495,8.787425154,-7.741759796,11156
Kolby Allard,TEX,SP/RP,591.2399902,44,-5.072020439,-1.782823347,-2.806854785,-2.04735017,-5.895027449,-17.60407619,8.787425154,-7.816651035,18694
Joe Smith,,RP,999,48,-5.072020439,-1.782823347,-1.878996627,-1.817996861,-5.786316962,-16.33815424,7.505149695,-7.833004541,3281
Nick Mears,PIT,RP,999,56,-4.278138979,-1.782823347,-2.286461967,-3.241152361,-4.807922583,-16.39649924,7.505149695,-7.891349542,25376
Rafael Dolis,,RP,999,60,-4.278138979,-1.782823347,-2.490194637,-3.549473942,-4.42743588,-16.52806679,7.505149695,-8.022917091,4185
Martin Perez,,SP,598.4799805,120,-1.10261314,-1.782823347,-6.111980102,-6.292435548,-2.525002366,-17.8148545,8.787425154,-8.027429347,6902
Miguel Del Pozo,DET,RP,999,46,-5.072020439,-1.782823347,-1.777130292,-2.470348407,-5.460185502,-16.56250799,7.505149695,-8.057358292,18792
Greg Holland,,RP,590.3300171,50,-5.072020439,-1.782823347,-1.980862962,-2.509832543,-5.242764529,-16.58830382,7.505149695,-8.083154125,7196
Kwang-hyun Kim,,SP,518.6699829,129,-0.30873168,-1.782823347,-6.853276316,-6.582902938,-2.361936636,-17.88967092,8.787425154,-8.102245763,27458
Ryan Hendrix,CIN,RP,999,38,-5.072020439,-1.782823347,-1.935460366,-2.122542689,-5.731961719,-16.64480856,7.505149695,-8.139658864,19535
Tyler Alexander,DET,SP,553.7600098,106,-1.896494599,-1.782823347,-7.096301998,-3.869122785,-3.285975771,-17.9307185,8.787425154,-8.143293346,17735
Zach Thompson,MIA,SP,484.4299927,115,-1.896494599,-1.782823347,-6.140211971,-5.503777403,-2.633712852,-17.95702017,8.787425154,-8.169595018,16094
Dauri Moreta,CIN,RP,597,44,-5.072020439,-1.782823347,-2.806854785,-1.509675279,-5.514540746,-16.6859146,7.505149695,-8.180764901,21101
Shane Greene,,RP,999,42,-5.072020439,-1.782823347,-2.139193036,-1.893189379,-5.840672205,-16.72789841,7.505149695,-8.222748712,10756
Dillon Maples,,RP,999,38,-5.072020439,-1.782823347,-1.369664952,-2.929055026,-5.623251232,-16.776815,7.505149695,-8.271665301,14672
Jose Suarez,LAA,SP,447.3800049,131,-0.30873168,-1.782823347,-7.520938065,-6.737063729,-1.709673716,-18.05923054,8.787425154,-8.271805383,19911
Jordan Holloway,MIA,RP,999,38,-5.072020439,-1.782823347,-1.369664952,-2.66021758,-5.895027449,-16.77975377,7.505149695,-8.274604071,20631
Robert Stephenson,COL,RP,598.0499878,63,-4.278138979,-1.235820729,-4.057482674,-3.108621515,-4.101304421,-16.78136832,7.505149695,-8.276218623,13594
Justin Wilson,CIN,RP,999,58,-4.278138979,-1.509322038,-2.954123716,-3.395313152,-4.644856853,-16.78175474,7.505149695,-8.276605043,4301
Jon Heasley,KCR,SP,999,37,-5.072020439,-1.782823347,-2.733220319,-2.179881016,-6.329869395,-18.09781452,8.787425154,-8.310389361,22224
Justin Anderson,TEX,RP,999,36,-5.072020439,-1.782823347,-1.833594031,-2.237219344,-5.895027449,-16.82068461,7.505149695,-8.315534914,16201
Noe Ramirez,ARI,RP,999,64,-4.278138979,-1.509322038,-3.825518135,-2.513608296,-4.699212097,-16.82579954,7.505149695,-8.32064985,12800
Thyago Vieira,,RP,598.5499878,47,-5.072020439,-1.782823347,-2.110961166,-2.413010079,-5.460185502,-16.83900053,7.505149695,-8.333850839,14510
Blake Parker,,RP,999,48,-5.072020439,-1.782823347,-2.444792041,-2.086834306,-5.460185502,-16.84665564,7.505149695,-8.341505941,5224
Paolo Espino,WSN,SP/RP,586.4799805,61,-4.278138979,-1.782823347,-4.521411753,-2.416785833,-5.134054043,-18.13321395,8.787425154,-8.3457888,8246
Hunter Strickland,,RP,599.7600098,58,-4.278138979,-1.782823347,-3.51991913,-2.319963369,-4.970988313,-16.87183314,7.505149695,-8.366683443,7836
Alex Claudio,,RP,999,40,-5.072020439,-1.782823347,-1.471531287,-2.27670348,-6.275514151,-16.8785927,7.505149695,-8.373443009,12890
Richard Rodriguez,,RP,478.2399902,65,-4.278138979,-1.782823347,-4.159349009,-1.918595078,-4.75356734,-16.89247375,7.505149695,-8.387324058,13549
Brad Brach,,RP,999,45,-5.072020439,-1.782823347,-2.009094831,-2.527686734,-5.514540746,-16.9061661,7.505149695,-8.401016402,6627
Drew Smyly,,SP,515.9500122,121,-1.10261314,-1.782823347,-8.143197218,-5.428584884,-1.76402896,-18.22124755,8.787425154,-8.433822394,11760
Kyle Tyler,LAA,RP,999,42,-5.072020439,-1.782823347,-2.139193036,-1.893189379,-6.058093178,-16.94531938,7.505149695,-8.440169685,22092
Kyle Funkhouser,DET,RP,999,64,-4.278138979,-1.782823347,-2.128131893,-4.12663297,-4.644856853,-16.96058404,7.505149695,-8.455434347,19456
J.P. Feyereisen,TBR,RP,586,58,-4.278138979,-1.509322038,-2.954123716,-3.395313152,-4.862277826,-16.99917571,7.505149695,-8.494026016,16610
J.B. Bukauskas,ARI,RP,599,52,-5.072020439,-1.782823347,-2.082729297,-2.932830779,-5.134054043,-17.0044579,7.505149695,-8.49930821,20491
Spencer Howard,TEX,SP,576.5700073,111,-1.10261314,-1.782823347,-7.633865543,-5.464293267,-2.307581392,-18.29117669,8.787425154,-8.503751534,23252
Kyle Hendricks,CHC,SP,279.480011,184,1.27903124,-1.782823347,-11.06908906,-6.386506834,-0.350792635,-18.31018064,8.787425154,-8.522755486,12049
Adrian Houser,MIL,SP,406.519989,149,0.48514978,-1.782823347,-6.174553425,-9.468698074,-1.383542257,-18.32446732,8.787425154,-8.537042168,12718
Adam Cimber,TOR,RP,999,68,-4.278138979,-1.509322038,-2.897659977,-3.090767323,-5.297119773,-17.07300809,7.505149695,-8.567858396,15288
Tommy Hunter,,RP,999,41,-5.072020439,-1.782823347,-2.371157575,-1.681690261,-6.166803665,-17.07449529,7.505149695,-8.569345592,1157
Wil Crowe,PIT,SP,588.9500122,97,-2.690376059,-1.782823347,-5.78921037,-4.922842622,-3.177265285,-18.36251768,8.787425154,-8.575092528,19800
Andrew Miller,,RP,999,54,-4.278138979,-1.782823347,-2.750391046,-3.08699157,-5.188409286,-17.08675423,7.505149695,-8.581604533,6785
Ryan Brasier,BOS,RP,999,64,-4.278138979,-1.235820729,-3.825518135,-3.051283187,-4.699212097,-17.08997313,7.505149695,-8.584823432,5615
