last_name,first_name,playerid,player_id,year,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Narváez, Omar,13338,553882,2021,313,17.9,40.3,107.9,84.6,89.3,78.8,415,184,395,80,9.4,25.6,16,5.1,3.6
Castro, Willi,17338,650489,2021,310,11.4,35.2,115.4,85.6,88.8,85.5,424,149,390,91,9.9,29.4,16,5.2,3.6
Galvis, Freddy,6609,520471,2021,284,14.1,34.9,109.3,86.8,90.9,84.3,416,169,383,90,12.1,31.7,14,4.9,3.6
McKenna, Ryan,#N/A,663630,2021,97,11.6,40.2,107.2,86.5,93.1,80.2,398,163,384,33,9,34,7,7.2,3.6
Hayes, Ke'Bryan,18577,663647,2021,277,2.6,27.4,111,90.2,93.5,88.4,424,137,394,127,19.1,45.8,14,5.1,3.5
Marisnick, Jake,11339,545350,2021,115,15.2,34.8,109.4,88.2,90.9,87.2,416,165,405,42,11.1,36.5,7,6.1,3.5
Bauers, Jake,15194,641343,2021,204,20,36.3,112.3,88.1,92.4,84.9,460,179,420,77,13.3,37.7,11,5.4,3.5
Casali, Curt,12510,592200,2021,135,23.3,35.6,105.2,86.4,90.4,81.5,420,195,402,42,10.1,31.1,8,5.9,3.5
Hampson, Garrett,19262,641658,2021,340,13,34.7,107,87,91.6,81.5,456,185,403,106,12.6,31.2,17,5,3.4
Grisham, Trent,18564,663757,2021,348,12.3,31,109.4,88.8,93.1,85.5,419,166,386,128,14.7,36.8,18,5.2,3.4
Harrison, Josh,8202,543281,2021,433,14.5,39.5,108.2,87.2,89.9,85.5,417,174,396,141,13.6,32.6,19,4.4,3.4
Biggio, Cavan,19252,624415,2021,177,15.6,32.8,109.6,88.9,92,85.3,409,178,390,56,12,31.6,10,5.6,3.4
Heyward, Jason,4940,518792,2021,255,7.5,27.5,115.3,88.2,93.3,87.1,428,138,405,108,18.2,42.4,12,4.7,3.4
Fraley, Jake,19260,641584,2021,146,12.1,38.4,109.2,85.3,89.4,80.5,420,175,389,49,10.6,33.6,9,6.2,3.4
Cave, Jake,14477,595909,2021,103,8.4,38.8,109.1,87,91.2,83.6,424,148,392,34,10.4,33,6,5.8,3.4
Trammell, Taylor,sa917943,666211,2021,83,14.9,30.1,109.1,85.9,95.2,78.8,426,153,389,31,8.7,37.3,6,7.2,3.4
Vogt, Stephen,5000,519390,2021,156,19.2,32.1,106.4,88.5,92.3,84,405,200,396,56,12.1,35.9,8,5.1,3.4
Hill, Derek,#N/A,656537,2021,97,9.2,40.2,106.6,86.9,93.5,79.7,404,159,393,29,11.1,29.9,5,5.2,3.3
Rondón, José,14140,602922,2021,65,19.6,35.4,107.3,86.1,91.7,81.9,405,183,385,22,13,33.8,3,4.6,3.3
Robertson, Daniel,14145,621002,2021,47,10.4,31.9,106.6,82.9,85.9,80.6,406,169,403,11,7.5,23.4,3,6.4,3.3
Edman, Tommy,19470,669242,2021,552,9.5,31.5,112.9,87.5,90.5,86,436,154,405,194,15.7,35.1,23,4.2,3.3
Peterson, Jace,12325,607054,2021,193,12,34.2,110.8,87.7,92.1,83.5,450,168,412,67,12.9,34.7,10,5.2,3.3
Trevino, Jose,16725,624431,2021,233,9.5,33.5,110.2,87.5,92.4,83.4,421,158,416,86,16.9,36.9,10,4.3,3.3
McNeil, Jeff,15362,643446,2021,329,12,30.4,108.3,88.1,91.6,87.2,417,156,404,110,13,33.4,14,4.3,3.3
Maldonado, Martín,6887,455117,2021,247,17.6,30.8,108.2,88,91.6,83.1,401,181,378,82,10.7,33.2,14,5.7,3.3
O'Grady, Brian,16729,657434,2021,36,21.5,22.2,106,89.6,90.8,93.7,407,194,386,16,13.4,44.4,2,5.6,3.3
Mejía, Francisco,16403,642336,2021,204,14.9,34.8,107,85.7,90.2,83,412,163,393,59,10.5,28.9,9,4.4,3.2
Peraza, José,13593,606299,2021,116,20.8,31,108.3,85.6,87.5,86.8,411,183,393,29,11.2,25,5,4.3,3.2
Chavis, Michael,17321,656308,2021,80,8.1,37.5,109.4,89.7,93,87.9,429,150,406,33,12.5,41.3,4,5,3.2
VanMeter, Josh,15170,642165,2021,193,19.6,30.1,110,89.3,93.3,85,411,189,385,71,13.5,36.8,10,5.2,3.2
Nootbaar, Lars,#N/A,663457,2021,83,12.1,24.1,109.5,89.1,90.6,89.9,449,162,414,30,16.2,36.1,4,4.8,3.2
Senzel, Nick,19293,669222,2021,96,10.5,33.3,109.8,88.9,91.6,86.7,367,163,367,38,17.4,39.6,4,4.2,3.2
Romine, Austin,5491,519222,2021,38,9.7,23.7,111.8,87.3,88.4,87.7,383,143,383,13,10.8,34.2,2,5.3,3.2
Farmer, Kyle,14813,571657,2021,392,15.8,36,107.6,87.2,92,83.5,424,171,394,125,12.8,31.9,17,4.3,3.2
Dubón, Mauricio,16530,643289,2021,136,14.9,30.1,107.1,86.1,88.1,85.9,414,163,400,41,12,30.1,6,4.4,3.2
Valaika, Pat,14885,642162,2021,187,19.8,40.6,109.7,86.8,90.1,83.9,422,197,391,61,10.6,32.6,9,4.8,3.2
Wendle, Joey,13853,621563,2021,350,6.2,30.6,108.7,87.9,91.8,84.9,451,154,390,121,13.6,34.6,16,4.6,3.2
Garcia, Aramis,16925,605244,2021,62,9.7,27.4,106.9,88.5,93.2,86,408,139,381,23,12.9,37.1,3,4.8,3.2
Haggerty, Sam,18054,664059,2021,59,7.6,35.6,106.8,87.5,93.5,83.7,409,148,408,23,13.9,39,3,5.1,3.2
Cain, Lorenzo,9077,456715,2021,210,7.2,29,110.4,88.4,91.4,87.2,446,145,405,79,15.6,37.6,9,4.3,3.1
Tauchman, Mike,15274,643565,2021,109,10,36.7,107.7,87.5,94.3,82.1,409,158,382,39,10.1,35.8,6,5.5,3.1
Leyba, Domingo,16404,642736,2021,64,13.8,32.8,108.8,80.9,84.4,78.9,398,160,398,10,5.6,15.6,3,4.7,3.1
Rojas, Josh,19734,668942,2021,351,8.4,40.7,104.6,88.2,91.6,85.6,422,161,404,109,11.2,31.1,17,4.8,3.1
Craig, Will,#N/A,643269,2021,38,2.8,28.9,107.8,79.9,84.8,76,395,126,395,6,4.8,15.8,2,5.3,3.1
Stallings, Jacob,13723,607732,2021,291,10.7,37.1,106.2,88.1,91.1,85.5,409,166,393,106,14.7,36.4,13,4.5,3
Bradley Jr., Jackie,12984,598265,2021,258,9.6,27.9,108.4,89.7,93.5,87.6,415,146,403,104,13,40.3,13,5,3
Kim, Ha-Seong,0,673490,2021,201,13.6,31.3,112.3,86.7,91,85.6,420,159,390,64,12.2,31.8,9,4.5,3
Clement, Ernie,#N/A,676391,2021,105,15,33.3,105.4,86.7,89,84.2,396,174,389,26,12.3,24.8,4,3.8,3
Mercado, Oscar,16375,640458,2021,173,16.2,24.9,108,86.2,90.8,84,427,155,388,48,11.3,27.7,7,4,2.9
Cordero, Franchy,14567,614173,2021,77,7.7,33.8,118.6,88.6,95.3,82.5,474,144,474,31,10.7,40.3,4,5.2,2.9
Pache, Cristian,19948,665506,2021,40,8,20,104.7,81.7,84.4,82.5,411,125,411,11,8.1,27.5,2,5,2.9
Gonzalez, Marwin,5497,503556,2021,200,8.9,31.5,110.3,87.9,92,85.6,418,139,396,69,12.3,34.5,9,4.5,2.9
Difo, Wilmer,14320,594694,2021,166,12.2,31.9,109.9,83.7,86.4,82.4,412,151,392,39,8,23.5,7,4.2,2.9
White, Evan,20078,657108,2021,66,19.6,30.3,110.7,85.2,91.4,81.3,421,156,419,19,9.6,28.8,3,4.5,2.9
Ruiz, Rio,14103,547004,2021,90,9.9,25.6,107.4,86.8,93.4,82.6,406,149,383,24,8.2,26.7,4,4.4,2.8
Evans, Phillip,#N/A,595943,2021,161,5.3,25.5,109.6,88.4,91.2,88.7,445,132,414,69,16.6,42.9,7,4.3,2.8
Suzuki, Kurt,8259,435559,2021,180,14.6,28.9,105,85.2,89.3,82.4,405,163,386,49,11,27.2,7,3.9,2.8
Calhoun, Willie,17838,641432,2021,227,14.9,28.6,110.6,90.2,92.3,91.9,418,169,399,95,20.9,41.9,8,3.5,2.8
